"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Jordan Young","LB","13","34","69","103","8","2.0","1","-1","-1.0","0","0","1","0","0","0","","old-dominion","2021"
"2","R'Tarriun Johnson","S","13","49","42","91","3","0.0","2","15","7.5","0","6","0","0","0","0","","old-dominion","2021"
"3","Jason Henderson","LB","12","36","44","80","4","1.0","0","0","","0","0","1","0","0","2","","old-dominion","2021"
"4","Ryan Henry","LB","11","27","53","80","2","0.0","0","0","","0","0","0","0","0","1","","old-dominion","2021"
"5","Tre Hawkins","CB","13","54","22","76","4","0.0","0","0","","0","7","0","0","0","1","","old-dominion","2021"
"6","Terry Jones","S","13","32","37","69","3","0.0","0","0","","0","1","0","0","0","0","","old-dominion","2021"
"7","Joe Joe Headen","S","13","23","35","58","1","0.0","2","89","44.5","0","7","1","0","0","1","","old-dominion","2021"
"8","Harrell Blackmon","S","13","17","37","54","3","0.0","0","0","","0","2","0","0","0","0","","old-dominion","2021"
"9","Roger Cray","CB","11","24","15","39","1","0.0","1","16","16.0","0","12","0","0","0","0","","old-dominion","2021"
"10","Alonzo Ford","DT","13","11","27","38","3","0.5","0","0","","0","0","1","0","0","1","","old-dominion","2021"
"11","Amorie Morrison","DE","12","12","20","32","5","3.5","0","0","","0","0","0","0","0","0","","old-dominion","2021"
"12","Devin Brandt-Epps","DT","13","10","21","31","5","0.0","0","0","","0","1","1","0","0","0","","old-dominion","2021"
"13","Cory Jackson","DE","11","14","17","31","5","2.0","0","0","","0","1","0","0","0","2","","old-dominion","2021"
"14","Sokoya McDuffie","DT","13","9","19","28","6","4.0","0","0","","0","1","0","0","0","0","","old-dominion","2021"
"15","Marcus Haynes","DE","13","13","14","27","6","5.5","0","0","","0","2","0","0","0","1","","old-dominion","2021"
"16","Chazz Wallace","DT","13","10","16","26","2","2.0","0","0","","0","0","0","0","0","0","","old-dominion","2021"
"17","Deeve Harris","DE","13","11","13","24","5","2.5","1","0","0.0","0","0","1","0","1","0","","old-dominion","2021"
