"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Easton Mascarenas","LB","12","49","58","107","7","2.0","2","10","5.0","0","0","0","0","0","0","","oregon-state","2023"
"2","Kitan Oladapo","DB","13","44","30","74","3","1.0","2","14","7.0","0","8","1","0","0","1","","oregon-state","2023"
"3","Calvin Hart Jr.","LB","11","25","36","61","7","3.5","0","0","","0","0","1","0","0","1","","oregon-state","2023"
"4","Akili Arnold","DB","11","24","36","60","2","0.5","2","13","6.5","0","6","1","0","0","0","","oregon-state","2023"
"5","Sione Lolohea","DL","13","24","23","47","9","1.5","0","0","","0","0","1","0","0","2","","oregon-state","2023"
"6","John McCartan","LB","13","25","22","47","9","5.0","1","0","0.0","0","1","0","0","0","1","","oregon-state","2023"
"7","Joe Golden","DL","13","18","24","42","4","3.5","0","0","","0","0","1","0","0","0","","oregon-state","2023"
"8","Ryan Cooper Jr.","DB","10","24","13","37","2","0.5","1","67","67.0","1","7","0","0","0","0","","oregon-state","2023"
"9","Jaden Robinson","DB","12","22","11","33","1","0.5","0","0","","0","8","0","0","0","1","","oregon-state","2023"
"10","Cory Stover","LB","12","14","18","32","4","2.0","0","0","","0","0","1","0","0","1","","oregon-state","2023"
"11","Jermod McCoy","DB","12","16","15","31","1","0.0","2","17","8.5","0","7","1","0","0","0","","oregon-state","2023"
"12","Andrew Chatfield","LB","13","17","11","28","10","9.5","2","32","16.0","0","2","0","0","0","2","","oregon-state","2023"
"13","James Rawls","DL","13","14","12","26","6","0.5","0","0","","0","1","0","0","0","2","","oregon-state","2023"
"14","Jack Kane","DB","9","11","12","23","1","0.0","0","0","","0","3","0","0","0","0","","oregon-state","2023"
"15","Melvin Jordan IV","LB","13","10","12","22","4","1.0","0","0","","0","0","0","0","0","0","","oregon-state","2023"
"16","Isaac Hodgins","DL","11","8","12","20","6","3.0","0","0","","0","0","0","0","0","0","","oregon-state","2023"
"17","Noble Thomas","DB","6","11","8","19","0","0.0","0","0","","0","3","0","0","0","0","","oregon-state","2023"
"18","Tyrice Ivy Jr.","DB","5","11","5","16","0","0.0","0","0","","0","0","0","0","0","0","","oregon-state","2023"
"19","Josiah Johnson","DB","8","6","9","15","0","0.0","0","0","","0","1","0","0","0","0","","oregon-state","2023"
"20","Isaiah Chisom","LB","5","9","5","14","4","1.0","0","0","","0","1","0","0","0","0","","oregon-state","2023"
"21","John Miller","LB","5","4","7","11","0","0.0","0","0","","0","1","0","0","0","0","","oregon-state","2023"
"22","Andre Jordan","DB","7","8","3","11","1","0.0","0","0","","0","1","0","0","0","0","","oregon-state","2023"
"23","Jake Reichle","RB","13","6","3","9","0","0.0","0","0","","0","0","0","0","0","0","","oregon-state","2023"
"24","Takari Hickle","DL","8","2","4","6","3","2.0","0","0","","0","0","0","0","0","1","","oregon-state","2023"
"25","Semisi Saluni","DL","13","4","2","6","1","0.0","0","0","","0","0","0","0","0","0","","oregon-state","2023"
"26","Makiya Tongue","LB","3","2","4","6","1","0.0","0","0","","0","0","0","0","0","1","","oregon-state","2023"
"27","Jesiah Irish","WR","12","2","3","5","0","0.0","0","0","","0","0","0","0","0","0","","oregon-state","2023"
"28","Oluwaseyi Omotosho","LB","7","3","1","4","1","1.0","0","0","","0","0","0","0","0","1","","oregon-state","2023"
"29","Dylan Black","LS","13","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","oregon-state","2023"
"30","Joe Swen","DB","3","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","oregon-state","2023"
"31","Michael Erhart","LB","9","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","oregon-state","2023"
"32","Nikko Taylor","LB","13","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","oregon-state","2023"
"33","Jaydin Young","DB","8","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","oregon-state","2023"
"34","Jack Velling","TE","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","oregon-state","2023"
"35","Wynston Russell","DB","5","2","0","2","1","0.0","0","0","","0","1","0","0","0","0","","oregon-state","2023"
"36","Silas Bolden","WR","13","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","oregon-state","2023"
"37","Tyree Blake","LB","7","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","oregon-state","2023"
"38","Zachary Card","WR","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oregon-state","2023"
"39","Rweha Munyagi Jr.","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oregon-state","2023"
"40","Quincy Wright","DL","6","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oregon-state","2023"
"41","Luka Vincic","OL","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oregon-state","2023"
"42","D.J. Uiagalelei","QB","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","oregon-state","2023"
"43","Atticus Sappington","K","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oregon-state","2023"
"44","Alton Julian","DB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oregon-state","2023"
