"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Evan Williams","DB","13","49","33","82","5","4.5","0","0","","0","2","2","0","0","1","","oregon","2023"
"2","Jeffrey Bassa","LB","14","42","30","72","4","0.0","1","45","45.0","1","1","0","0","0","0","","oregon","2023"
"3","Tysheem Johnson","DB","14","37","33","70","5","1.0","2","0","0.0","0","7","0","0","0","0","","oregon","2023"
"4","Steve Stephens","DB","14","33","23","56","2","0.0","2","6","3.0","0","2","0","0","0","1","","oregon","2023"
"5","Bryce Boettcher","LB","14","15","22","37","3","1.0","0","0","","0","0","1","0","0","1","","oregon","2023"
"6","Khyree Jackson","DB","12","25","9","34","5","2.0","3","7","2.3","0","7","0","0","0","0","","oregon","2023"
"7","Jordan Burch","DE","14","13","21","34","8","3.0","0","0","","0","1","0","0","0","0","","oregon","2023"
"8","Jestin Jacobs","LB","8","18","14","32","1","1.0","0","0","","0","1","0","0","0","0","","oregon","2023"
"9","Jamal Hill","LB","14","13","18","31","5","2.0","0","0","","0","2","0","0","0","2","","oregon","2023"
"10","Teitum Tuioti","LB","13","19","11","30","4","2.0","0","0","","0","1","0","0","0","0","","oregon","2023"
"11","Jahlil Florence","DB","11","21","6","27","2","1.0","1","0","0.0","0","1","0","0","0","0","","oregon","2023"
"12","Brandon Dorlus","DE","14","14","11","25","7","5.0","0","0","","0","9","1","0","0","0","","oregon","2023"
"13","Nikko Reed","CB","14","18","7","25","2","1.0","0","0","","0","7","0","0","0","0","","oregon","2023"
"14","Dontae Manning","DB","13","17","8","25","0","0.0","1","0","0.0","0","6","0","0","0","0","","oregon","2023"
"15","Sam Taimani","DL","14","8","14","22","2","0.0","0","0","","0","0","1","0","0","0","","oregon","2023"
"16","Casey Rogers","DL","14","5","17","22","3","1.5","0","0","","0","0","0","0","0","1","","oregon","2023"
"17","Cole Martin","DB","14","13","8","21","0","0.0","1","0","0.0","0","1","0","0","0","0","","oregon","2023"
"18","Keyon Ware-Hudson","DT","14","9","12","21","1","1.0","0","0","","0","2","0","0","0","0","","oregon","2023"
"19","Connor Soelle","LB","14","8","11","19","0","0.0","0","0","","0","0","0","0","0","0","","oregon","2023"
"20","Mase Funa","LB","13","8","11","19","3","1.0","0","0","","0","0","0","0","0","1","","oregon","2023"
"21","Emar'rion Winston","LB","14","5","14","19","1","0.0","0","0","","0","1","0","0","0","0","","oregon","2023"
"22","Matayo Uiagalelei","DE","13","9","9","18","3","2.0","0","0","","0","2","0","0","0","0","","oregon","2023"
"23","Popo Aumavae","DT","13","9","9","18","3","3.0","0","0","","0","0","0","0","0","0","","oregon","2023"
"24","Devon Jackson","LB","12","5","12","17","2","0.0","0","0","","0","0","0","0","0","0","","oregon","2023"
"25","Trikweze Bridges","DB","13","7","9","16","1","0.0","0","0","","0","3","0","0","0","0","","oregon","2023"
"26","Bryan Addison","DB","4","4","7","11","0","0.0","1","0","0.0","0","0","0","0","0","0","","oregon","2023"
"27","Jake Shipley","LB","13","3","4","7","2","0.0","0","0","","0","0","0","0","0","0","","oregon","2023"
"28","Khamari Terrell","DB","9","2","5","7","0","0.0","0","0","","0","1","0","0","0","0","","oregon","2023"
"29","Jerry Mixon","LB","8","3","2","5","1","1.0","0","0","","0","0","0","0","0","0","","oregon","2023"
"30","Blake Purchase","LB","14","4","1","5","2","1.0","0","0","","0","1","0","0","0","0","","oregon","2023"
"31","Rodrick Pleasant","DB","7","2","2","4","0","0.0","0","0","","0","1","0","0","0","1","","oregon","2023"
"32","Terrance Green","DL","3","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","oregon","2023"
"33","Luke Basso","LS","14","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","oregon","2023"
"34","Daylen Austin","DB","3","1","2","3","0","0.0","0","0","","0","1","0","0","0","0","","oregon","2023"
"35","Daymon David","DB","3","1","1","2","0","0.0","0","0","","0","1","0","0","0","0","","oregon","2023"
"36","A'Mauri Washington","DL","8","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","oregon","2023"
"37","Ben Roberts","DL","5","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","oregon","2023"
"38","Kenyon Sadiq","TE","14","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","oregon","2023"
"39","Johnny Bowens III","DL","3","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","oregon","2023"
"40","Jaeden Moore","LB","4","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","oregon","2023"
"41","Traeshon Holden","WR","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oregon","2023"
"42","Zach Grisham","DB","9","0","1","1","0","0.0","0","0","","0","0","1","0","0","0","","oregon","2023"
"43","Ross James","P","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","oregon","2023"
"44","My'Keil Gardner","DL","3","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","oregon","2023"
"45","Jordan James","RB","14","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","oregon","2023"
"46","Ellis Bynum","RB","9","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","oregon","2023"
"47","Ashton Porter","DE","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","oregon","2023"
