"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Sanoussi Kane","DB","14","54","18","72","5","1.0","0","0","","0","3","1","29","0","2","","purdue","2022"
"2","Jalen Graham","LB","9","37","15","52","5","1.0","1","29","29.0","0","5","0","0","0","1","","purdue","2022"
"3","Cam Allen","DB","14","40","9","49","2","0.0","3","107","35.7","1","6","2","0","0","0","","purdue","2022"
"4","Kieren Douglas","LB","14","30","13","43","3","1.0","1","0","0.0","0","0","0","0","0","0","","purdue","2022"
"5","Bryce Hampton","DB","14","30","12","42","2","0.0","0","0","","0","3","0","0","0","0","","purdue","2022"
"6","O.C. Brothers","LB","12","33","9","42","1","1.0","0","0","","0","3","1","0","0","0","","purdue","2022"
"7","Jacob Wahlberg","LB","14","28","13","41","1","0.0","1","1","1.0","0","0","0","0","0","1","","purdue","2022"
"8","Jack Sullivan","DE","14","24","14","38","7","5.5","0","0","","0","1","0","0","0","1","","purdue","2022"
"9","Reese Taylor","DB","13","27","7","34","1","0.0","1","0","0.0","0","4","1","0","0","0","","purdue","2022"
"10","Cory Trice","CB","13","28","6","34","2","0.0","2","8","4.0","1","10","0","0","0","0","","purdue","2022"
"11","Semisi Fakasiieiki","LB","12","22","11","33","3","0.0","0","0","","0","0","0","0","0","0","","purdue","2022"
"12","Kydran Jenkins","LB","14","24","8","32","8","4.0","0","0","","0","1","0","0","0","1","","purdue","2022"
"13","Lawrence Johnson","DT","14","16","13","29","3","1.5","0","0","","0","1","0","0","0","1","","purdue","2022"
"14","Branson Deen","DL","12","18","10","28","4","2.5","0","0","","0","0","0","0","0","0","","purdue","2022"
"15","Khordae Sydnor","LB","14","17","5","22","7","4.5","0","0","","0","1","0","0","0","0","","purdue","2022"
"16","Nic Scourton","DE","14","15","7","22","2","2.0","0","0","","0","0","0","0","0","1","","purdue","2022"
"17","Sulaiman Kpaka","DE","12","11","8","19","2","0.5","0","0","","0","0","0","0","0","0","","purdue","2022"
"18","Chris Jefferson","S","5","12","5","17","0","0.0","2","127","63.5","1","5","0","0","0","0","","purdue","2022"
"19","Scotty Humpich","LB","13","10","6","16","2","1.0","0","0","","0","1","0","0","0","0","","purdue","2022"
"20","Jamari Brown","DB","14","14","1","15","2","1.0","3","2","0.7","0","3","0","0","0","0","","purdue","2022"
"21","Clyde Washington","LB","9","10","4","14","0","0.0","1","15","15.0","0","0","0","0","0","0","","purdue","2022"
"22","Prince Boyd Jr.","DE","13","7","7","14","3","0.5","0","0","","0","0","0","0","0","0","","purdue","2022"
"23","Cole Brevard","DT","14","6","4","10","0","0.0","0","0","","0","0","0","0","0","0","","purdue","2022"
"24","Antonio Stevens","DB","13","7","1","8","0","0.0","0","0","","0","0","0","0","0","0","","purdue","2022"
"25","Jah'von Grigsby","S","8","6","1","7","0","0.0","0","0","","0","0","0","0","0","0","","purdue","2022"
"26","Mo Omonode","DT","11","5","2","7","1","0.5","0","0","","0","0","0","0","0","0","","purdue","2022"
"27","Deion Burks","WR","14","5","0","5","0","0.0","0","0","","0","0","0","0","0","0","","purdue","2022"
"28","Ryan Brandt","S","14","4","0","4","0","0.0","0","0","","0","0","0","0","0","0","","purdue","2022"
"29","Tyrone Tracy Jr.","RB","14","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","purdue","2022"
"30","Yanni Karlaftis","LB","9","2","2","4","1","0.5","0","0","","0","0","0","0","0","0","","purdue","2022"
"31","Dylan Downing","RB","12","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","purdue","2022"
"32","Camdyn Childers","DB","4","2","1","3","0","0.0","0","0","","0","1","0","0","0","0","","purdue","2022"
"33","Ben Kreul","LB","12","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","purdue","2022"
"34","Kobe Lewis","RB","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","purdue","2022"
"35","Nick Zecchino","LS","14","1","1","2","0","0.0","0","0","","0","0","1","0","0","0","","purdue","2022"
"36","Devin Mockobee","RB","13","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","purdue","2022"
"37","Joseph Anderson","DE","5","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","purdue","2022"
"38","Hudson Miller","LB","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","purdue","2022"
"39","Gus Hartwig","OL","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","purdue","2022"
"40","Greg Hudgins III","DE","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","purdue","2022"
"41","Drew Biber","TE","11","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","purdue","2022"
"42","DJ Washington","OL","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","purdue","2022"
"43","TJ Sheffield","WR","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","purdue","2022"
"44","Ben Freehill","K","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","purdue","2022"
