"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Deion Jennings","LB","13","41","54","95","5","0.0","0","0","","0","4","0","0","0","0","","rutgers","2023"
"2","Mohamed Toure","LB","13","42","51","93","10","4.5","1","5","5.0","0","2","0","0","0","1","","rutgers","2023"
"3","Michael Dixon","DB","13","51","25","76","2","0.0","1","0","0.0","0","6","0","0","0","1","","rutgers","2023"
"4","Shaquan Loyal","DB","13","41","25","66","3","1.0","1","37","37.0","0","2","0","0","0","1","","rutgers","2023"
"5","Desmond Igbinosun","DB","13","33","31","64","7","1.0","0","0","","0","1","1","12","0","0","","rutgers","2023"
"6","Tyreem Powell","LB","8","25","28","53","2","2.0","0","0","","0","2","0","0","0","1","","rutgers","2023"
"7","Aaron Lewis","DL","13","15","36","51","5","3.0","0","0","","0","2","0","0","0","0","","rutgers","2023"
"8","Robert Longerbeam","DB","13","29","14","43","1","1.0","1","0","0.0","0","10","2","0","0","2","","rutgers","2023"
"9","Isaiah Iton","DL","13","9","29","38","2","0.5","0","0","","0","1","1","0","0","0","","rutgers","2023"
"10","Max Melton","DB","12","21","11","32","4","1.0","3","5","1.7","0","6","1","0","0","1","","rutgers","2023"
"11","Kyonte Hamilton","DL","13","5","23","28","1","1.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"12","Wesley Bailey","DL","13","9","18","27","5","4.0","0","0","","0","3","1","0","0","0","","rutgers","2023"
"13","Jordan Thompson","DL","13","8","17","25","1","0.0","1","2","2.0","0","0","0","0","0","0","","rutgers","2023"
"14","Eric Rogers","DB","13","10","9","19","0","0.0","0","0","","0","6","0","0","0","0","","rutgers","2023"
"15","Dariel Djabome","LB","10","6","9","15","1","0.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"16","Mayan Ahanotu","DL","11","6","9","15","2","0.0","0","0","","0","0","1","0","0","0","","rutgers","2023"
"17","Troy Rainey","DL","13","3","9","12","0","0.0","0","0","","0","0","1","0","0","0","","rutgers","2023"
"18","Zaire Angoy","DL","9","4","5","9","0","0.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"19","Rene Konga","DL","10","5","3","8","2","1.0","0","0","","0","0","0","0","0","1","","rutgers","2023"
"20","Trevor Yeboah-Kodie","DB","13","3","3","6","0","0.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"21","Timmy Hinspeter","LB","7","2","3","5","0","0.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"22","Kenny Fletcher","DL","13","1","4","5","2","1.0","0","0","","0","0","0","0","0","1","","rutgers","2023"
"23","Al-Shadee Salaam","DB","13","4","1","5","0","0.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"24","Moses Walker","LB","12","1","4","5","1","0.0","0","0","","0","0","0","0","0","1","","rutgers","2023"
"25","Joe Lusardi","DB","13","1","3","4","1","0.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"26","Thomas Amankwaa","DB","13","2","2","4","0","0.0","0","0","","0","1","0","0","0","0","","rutgers","2023"
"27","Jamier Wright-Collins","LB","13","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"28","Timmy Ward","DB","13","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"29","Davoun Fuse","WR","8","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"30","Carnell Davis","DB","5","2","0","2","0","0.0","0","0","","0","1","0","0","0","0","","rutgers","2023"
"31","Bo Mascoe","DB","1","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"32","Victor Konopka","TE","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"33","Keshon Griffin","DL","3","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"34","Michael O’Connor","LS","11","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"35","Max Patterson","WR","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"36","Kessawn Abraham","DB","9","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"37","Isaiah Washington","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"38","Ian Strong","WR","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"39","Flynn Appleby","P","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"40","Elijuwan Mack","DB","3","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"41","Christian Dremel","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"42","Bryan Felter","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","rutgers","2023"
"43","Abram Wright","LB","5","0","1","1","0","0.0","1","3","3.0","0","0","0","0","0","0","","rutgers","2023"
"44","Aaron Young","RB","9","0","0","0","0","0.0","0","0","","0","0","1","0","1","0","","rutgers","2023"
