"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Byrun Parham","LB","13","60","46","106","5","2.5","1","20","20.0","0","3","2","0","0","1","","san-jose-state","2023"
"2","Jordan Pollard","LB","13","52","27","79","4","0.0","2","16","8.0","0","0","1","0","0","1","","san-jose-state","2023"
"3","Tre Jenkins","DB","13","40","27","67","1","0.0","2","15","7.5","0","4","0","0","0","0","","san-jose-state","2023"
"4","Tre Smith","DL","13","30","36","66","10","6.5","0","0","","0","0","0","0","0","1","","san-jose-state","2023"
"5","Chase Williams","S","13","29","20","49","1","0.0","1","0","0.0","0","2","0","0","0","0","","san-jose-state","2023"
"6","Noah Lavulo","DL","13","21","28","49","7","3.5","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"7","Taniela Latu","LB","12","20","24","44","5","0.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"8","Jay Kakiva","DL","13","16","27","43","7","2.5","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"9","Jay'Vion Cole","DB","13","28","10","38","3","1.0","3","66","22.0","0","10","1","0","0","0","","san-jose-state","2023"
"10","Soane Toia","DL","13","17","20","37","7","5.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"11","Kenyon Reed","DB","13","27","6","33","4","1.0","0","0","","0","3","0","0","0","0","","san-jose-state","2023"
"12","DJ Harvey","DB","11","22","6","28","2","0.0","0","0","","0","5","0","0","0","0","","san-jose-state","2023"
"13","Matthew Tago","LB","13","9","18","27","3","0.0","1","15","15.0","0","3","0","0","0","0","","san-jose-state","2023"
"14","Jordan Cobbs","LB","12","14","8","22","1","0.0","0","0","","0","1","0","0","0","0","","san-jose-state","2023"
"15","Michael Dansby","DB","8","10","5","15","1","0.0","1","98","98.0","1","4","0","0","0","0","","san-jose-state","2023"
"16","Charles Rogers","LB","13","3","7","10","1","0.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"17","Quincy Likio","DL","12","6","3","9","1","0.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"18","Jaylan Lawson","DB","10","2","7","9","0","0.0","0","0","","0","0","1","0","0","1","","san-jose-state","2023"
"19","Andrew Jenkins","DB","13","5","4","9","0","0.0","1","0","0.0","0","1","1","0","0","0","","san-jose-state","2023"
"20","Jalen Apalit-Williams","CB","13","4","4","8","0","0.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"21","Justin Stearns","DE","12","6","2","8","3","0.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"22","Gafa Faga","DL","10","3","3","6","0","0.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"23","Dejon Roney","DL","12","3","3","6","0","0.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"24","John Norwood","DL","11","3","3","6","1","1.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"25","Elisha Guidry","DB","3","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"26","Natano Woods","DL","2","2","1","3","1","1.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"27","Zavion Reese","DB","4","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"28","Jairus Satele","DL","9","0","3","3","1","0.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"29","Ethan Powell","LB","6","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"30","Dylan Lee","LB","1","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"31","Mata Hola","DL","5","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"32","Kayden Collins","RB","11","1","1","2","0","0.0","0","0","","0","0","1","0","0","0","","san-jose-state","2023"
"33","Isiah Revis","DB","8","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"34","Vaka Hansen","DL","10","0","2","2","1","0.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"35","Alex Weir","P","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"36","Malik Williams","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"37","Jalen Bainer","CB","9","1","0","1","0","0.0","0","0","","0","2","1","0","0","1","","san-jose-state","2023"
"38","Fernando Carmona Jr.","OT","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"39","Taren Schive","K","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","san-jose-state","2023"
"40","Andrew Gonneville","LS","13","1","0","1","0","0.0","0","0","","0","0","1","0","0","0","","san-jose-state","2023"
