"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Nick Emmanwori","DB","13","62","23","85","1","0.0","0","0","","0","1","1","0","0","0","","south-carolina","2022"
"2","Sherrod Greene","LB","12","37","40","77","4","2.5","1","26","26.0","0","1","0","0","0","0","","south-carolina","2022"
"3","Jordan Burch","DL","13","32","28","60","8","3.5","0","0","","0","3","1","0","0","0","","south-carolina","2022"
"4","DQ Smith","DB","13","40","14","54","1","1.0","2","50","25.0","1","5","0","0","0","1","","south-carolina","2022"
"5","Brad Johnson","LB","12","31","17","48","0","0.0","1","15","15.0","0","0","0","0","0","0","","south-carolina","2022"
"6","Marcellas Dial","DB","13","33","12","45","1","0.0","3","3","1.0","0","12","0","0","0","0","","south-carolina","2022"
"7","Debo Williams","LB","13","27","16","43","5","1.5","0","0","","0","0","0","0","0","1","","south-carolina","2022"
"8","Zacch Pickens","DL","12","22","20","42","4","2.5","0","0","","0","3","1","0","0","0","","south-carolina","2022"
"9","Gilber Edmond","LB","12","15","24","39","9","2.0","0","0","","0","0","0","0","0","0","","south-carolina","2022"
"10","Devonni Reed","DB","11","28","11","39","2","0.0","0","0","","0","1","0","0","0","0","","south-carolina","2022"
"11","Darius Rush","DB","10","28","10","38","2","0.0","2","59","29.5","0","7","0","0","0","1","","south-carolina","2022"
"12","Tonka Hemingway","DL","13","19","14","33","8","4.0","0","0","","0","1","2","32","0","0","","south-carolina","2022"
"13","Cam Smith","DB","11","23","4","27","1","0.0","1","0","0.0","0","5","0","0","0","0","","south-carolina","2022"
"14","M.J. Webb","DL","13","10","12","22","1","0.0","0","0","","0","0","0","0","0","0","","south-carolina","2022"
"15","Alex Huntley","DL","11","12","9","21","1","1.0","0","0","","0","2","1","0","0","0","","south-carolina","2022"
"16","Bam Martin-Scott","LB","13","10","6","16","1","0.0","1","37","37.0","0","3","0","0","0","1","","south-carolina","2022"
"17","T.J. Sanders","DT","12","6","10","16","1","1.0","0","0","","0","1","0","0","0","0","","south-carolina","2022"
"18","O'Donnell Fortune","DB","9","13","3","16","0","0.0","2","105","52.5","1","0","0","0","0","1","","south-carolina","2022"
"19","Nick Barrett","DL","13","3","11","14","0","0.0","1","-5","-5.0","0","1","0","0","0","0","","south-carolina","2022"
"20","Jordan Strachan","DE","2","5","5","10","3","1.0","0","0","","0","0","0","0","0","0","","south-carolina","2022"
"21","Tyreek Johnson","DL","12","7","3","10","2","0.0","0","0","","0","0","1","0","0","0","","south-carolina","2022"
"22","BJ Gibson","DB","6","7","1","8","0","0.0","0","0","","0","0","0","0","0","0","","south-carolina","2022"
"23","Tyrese Ross","DB","6","3","5","8","1","0.0","0","0","","0","0","0","0","0","0","","south-carolina","2022"
"24","Mohamed Kaba","LB","2","5","3","8","1","0.0","0","0","","0","1","0","0","0","0","","south-carolina","2022"
"25","R.J. Roderick","DB","3","6","1","7","1","0.0","0","0","","0","0","0","0","0","0","","south-carolina","2022"
"26","Stone Blanton","LB","12","5","2","7","2","0.0","0","0","","0","1","0","0","0","0","","south-carolina","2022"
"27","David Spaulding","DB","4","5","2","7","1","0.0","1","9","9.0","0","3","0","0","0","1","","south-carolina","2022"
"28","Bryan Thomas Jr.","DE","10","3","3","6","0","0.0","0","0","","0","0","0","0","0","0","","south-carolina","2022"
"29","Kajuan Banks","DB","13","2","4","6","0","0.0","0","0","","0","1","0","0","0","0","","south-carolina","2022"
"30","Traevon Kenion","TE","12","3","1","4","0","0.0","0","0","","0","0","1","0","0","0","","south-carolina","2022"
"31","Keenan Nelson Jr.","DB","4","1","3","4","0","0.0","0","0","","0","1","0","0","0","0","","south-carolina","2022"
"32","Jalen Brooks","WR","12","3","1","4","0","0.0","0","0","","0","0","0","0","0","1","","south-carolina","2022"
"33","Xavier Legette","WR","13","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","south-carolina","2022"
"34","Peyton Williams","DB","3","1","2","3","0","0.0","0","0","","0","1","0","0","0","0","","south-carolina","2022"
"35","Hunter Rogers","LS","13","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","south-carolina","2022"
"36","King-Demenian Ford","DB","7","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","south-carolina","2022"
"37","Juju McDowell","RB","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","south-carolina","2022"
"38","Payton Mangrum","WR","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","south-carolina","2022"
"39","Spencer Rattler","QB","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","south-carolina","2022"
"40","Terrell Dawkins","DL","3","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","south-carolina","2022"
"41","Antwane Wells Jr.","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","south-carolina","2022"
"42","Mitch Jeter","K","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","south-carolina","2022"
