"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Max Williams","DB","14","49","30","79","2","0.0","2","32","16.0","0","5","0","0","0","2","","southern-california","2022"
"2","Shane Lee","LB","13","52","27","79","8","3.5","2","41","20.5","1","1","0","0","0","0","","southern-california","2022"
"3","Eric Gentry","LB","11","50","21","71","4","2.0","1","0","0.0","0","3","0","0","0","2","","southern-california","2022"
"4","Mekhi Blackmon","DB","14","46","21","67","2","0.0","3","31","10.3","0","12","1","0","0","1","","southern-california","2022"
"5","Bryson Shaw","DB","14","36","14","50","1","0.0","1","17","17.0","0","4","1","0","0","0","","southern-california","2022"
"6","Calen Bullock","DB","14","29","19","48","0","0.0","5","172","34.4","1","5","0","0","0","0","","southern-california","2022"
"7","Tuli Tuipulotu","DL","14","31","15","46","22","13.5","0","0","","0","3","0","0","0","2","AA","southern-california","2022"
"8","Ralen Goforth","LB","11","35","8","43","0","0.0","1","31","31.0","1","0","1","0","0","0","","southern-california","2022"
"9","Jaylin Smith","DB","11","26","11","37","1","0.0","0","0","","0","1","0","0","0","0","","southern-california","2022"
"10","Ceyair Wright","DB","14","21","7","28","0","0.0","1","14","14.0","0","2","0","0","0","0","","southern-california","2022"
"11","Solomon Byrd","DL","14","18","10","28","8","4.0","0","0","","0","1","2","0","0","1","","southern-california","2022"
"12","Stanley Ta'ufo'ou","DL","14","21","6","27","6","1.0","0","0","","0","0","2","0","0","0","","southern-california","2022"
"13","Nick Figueroa","DL","14","19","7","26","6","5.5","0","0","","0","1","0","0","0","0","","southern-california","2022"
"14","Tuasivi Nomura","LB","12","12","14","26","2","0.0","0","0","","0","1","0","0","0","0","","southern-california","2022"
"15","Brandon Pili","DL","14","13","12","25","3","1.0","0","0","","0","1","0","0","0","0","","southern-california","2022"
"16","Tyrone Taleni","DL","12","11","14","25","8","5.0","0","0","","0","0","0","0","0","1","","southern-california","2022"
"17","Latrell McCutchin","DB","14","17","5","22","1","1.0","0","0","","0","0","1","6","0","1","","southern-california","2022"
"18","Jacobe Covington","DB","14","13","5","18","0","0.0","0","0","","0","4","1","0","0","0","","southern-california","2022"
"19","De'jon Benton","DL","13","7","7","14","2","0.0","0","0","","0","0","0","0","0","0","","southern-california","2022"
"20","Korey Foreman","DE","12","9","4","13","1","0.0","1","1","1.0","0","0","0","0","0","0","","southern-california","2022"
"21","Anthony Beavers Jr.","DB","14","8","4","12","2","0.0","0","0","","0","0","0","0","0","0","","southern-california","2022"
"22","Solomon Tuliaupupu","DE","14","5","5","10","3","2.5","0","0","","0","0","0","0","0","0","","southern-california","2022"
"23","Xamarion Gordon","DB","14","8","1","9","0","0.0","1","0","0.0","0","0","0","0","0","0","","southern-california","2022"
"24","Raesjon Davis","LB","14","5","3","8","0","0.0","0","0","","0","0","0","0","0","0","","southern-california","2022"
"25","Prophet Brown","DB","14","2","3","5","0","0.0","0","0","","0","0","0","0","0","0","","southern-california","2022"
"26","Alex Stadthaus","K","14","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","southern-california","2022"
"27","Clyde Moore","LB","12","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","southern-california","2022"
"28","Brandon Outlaw","RB","14","1","3","4","0","0.0","0","0","","0","0","0","0","0","0","","southern-california","2022"
"29","Micah Croom","DB","14","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","southern-california","2022"
"30","Jamar Sekona","DL","5","3","0","3","1","1.0","0","0","","0","0","0","0","0","0","","southern-california","2022"
"31","Domani Jackson","DB","7","2","0","2","0","0.0","0","0","","0","1","0","0","0","0","","southern-california","2022"
"32","Terrell Bynum","WR","12","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","southern-california","2022"
"33","Kyron Ware-Hudson","WR","14","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-california","2022"
"34","Jac Casasante","LS","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-california","2022"
"35","Chris Thompson Jr.","LB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-california","2022"
"36","Tahj Washington","WR","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-california","2022"
"37","Caleb Williams","QB","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","H-1,Maxwell,AA,Camp","southern-california","2022"
"38","Brenden Rice","WR","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-california","2022"
"39","Aadyn Sleep-Dalton","P","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-california","2022"
"40","Malcolm Epps","TE","14","0","0","0","0","0.0","1","0","0.0","0","0","0","0","0","0","","southern-california","2022"
"41","Raleek Brown","RB","14","0","0","0","0","0.0","0","0","","0","0","1","0","0","0","","southern-california","2022"
