"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Jimmy Phillips Jr.","LB","13","50","35","85","8","1.0","0","0","","0","5","0","0","0","0","","southern-methodist","2022"
"2","Isaac Slade-Matautia","LB","13","33","34","67","4","3.0","1","-3","-3.0","0","2","0","0","0","0","","southern-methodist","2022"
"3","Nick Roberts","S","13","47","17","64","1","0.0","3","88","29.3","0","2","2","0","0","2","","southern-methodist","2022"
"4","Shanon Reid","LB","13","43","16","59","4","1.0","2","7","3.5","0","1","1","0","0","0","","southern-methodist","2022"
"5","Nelson Paul","DE","13","31","13","44","9","5.0","0","0","","0","1","0","0","0","1","","southern-methodist","2022"
"6","Brandon Crossley","CB","12","33","9","42","6","0.0","1","0","0.0","0","5","0","0","0","0","","southern-methodist","2022"
"7","Bryan Massey","S","11","23","17","40","0","0.0","0","0","","0","1","0","0","0","0","","southern-methodist","2022"
"8","Elijah Chatman","DT","13","21","18","39","4","3.0","0","0","","0","0","1","23","1","0","","southern-methodist","2022"
"9","Ar'mani Johnson","CB","12","27","10","37","1","0.0","0","0","","0","4","0","0","0","0","","southern-methodist","2022"
"10","Gary Wiley","LB","13","18","15","33","2","0.5","0","0","","0","0","1","0","0","0","","southern-methodist","2022"
"11","Roderick Roberson Jr.","S","8","18","11","29","0","0.0","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"12","Ahmaad Moses","S","13","21","6","27","2","1.0","0","0","","0","1","0","0","0","0","","southern-methodist","2022"
"13","Devere Levelston","DT","13","18","9","27","3","2.0","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"14","Jahari Rogers","CB","12","19","6","25","1","0.0","2","20","10.0","0","3","0","0","0","0","","southern-methodist","2022"
"15","Junior Aho","DT","13","13","10","23","2","2.0","0","0","","0","0","0","0","0","1","","southern-methodist","2022"
"16","Sam Westfall","CB","13","11","4","15","0","0.0","0","0","","0","3","0","0","0","0","","southern-methodist","2022"
"17","Stephon Wright","DL","5","8","7","15","2","0.5","1","1","1.0","0","0","0","0","0","0","","southern-methodist","2022"
"18","Chris Adimora","DB","12","6","7","13","0","0.0","0","0","","0","0","1","0","0","1","","southern-methodist","2022"
"19","Je'lin Samuels","DE","9","7","6","13","4","3.0","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"20","Jaqwondis Burns","LB","12","7","5","12","1","0.0","0","0","","0","1","0","0","0","1","","southern-methodist","2022"
"21","Terrance Newman","DT","11","4","8","12","2","0.5","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"22","Jayden Jones","DE","10","7","4","11","2","0.0","0","0","","0","0","0","0","0","1","","southern-methodist","2022"
"23","Isaiah Nwokobia","S","4","5","5","10","0","0.0","0","0","","0","0","0","0","0","1","","southern-methodist","2022"
"24","Isaiah Smith","DE","13","6","4","10","5","3.0","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"25","Kamryn Farrar","LB","11","8","1","9","0","0.0","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"26","Mike Yoan Sandjo-Njiki","DT","12","6","3","9","3","0.5","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"27","Deuce Palmer","LB","13","6","2","8","0","0.0","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"28","Kevaris Hall","CB","10","7","1","8","0","0.0","0","0","","0","2","1","0","0","0","","southern-methodist","2022"
"29","AJ Davis","CB","4","3","3","6","0","0.0","0","0","","0","1","0","0","0","0","","southern-methodist","2022"
"30","Keke Burns","LB","10","4","1","5","1","1.0","0","0","","0","1","0","0","0","0","","southern-methodist","2022"
"31","Darren Brown","DT","8","2","3","5","0","0.0","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"32","Chace Cromartie","S","4","3","1","4","0","0.0","0","0","","0","0","1","0","0","0","","southern-methodist","2022"
"33","Teddy Knox","WR","12","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"34","Kamryn Farrar","TE","1","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"35","JaQwondis Burns","LB","1","2","0","2","1","0.0","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"36","Pierre Goree","LB","10","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"37","Rashee Rice","WR","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"38","Ben Furgal","LB","1","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"39","Will Benton","LS","13","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"40","David Abiara","DE","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"41","Preston Stone","QB","6","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"42","Kelvontay Dixon","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"43","Chris Adimora","S","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"44","Carter Campbell","WR","5","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"45","Tanner Mordecai","QB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
"46","Trevion Sneed","LB","6","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-methodist","2022"
