"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Malik Shorts","DB","12","54","35","89","2","0.0","2","13","6.5","0","7","1","0","0","0","","southern-mississippi","2021"
"2","Hayes Maples","LB","12","31","29","60","5","1.5","0","0","","0","1","0","0","0","2","","southern-mississippi","2021"
"3","Josh Carr Jr.","DL","12","32","23","55","9","4.5","1","0","0.0","0","1","0","0","0","1","","southern-mississippi","2021"
"4","Jay Stanley","DB","12","30","25","55","5","1.0","2","61","30.5","1","1","1","0","0","1","","southern-mississippi","2021"
"5","Santrell Latham","LB","11","24","28","52","7","1.0","0","0","","0","1","3","72","0","4","","southern-mississippi","2021"
"6","Camron Harrell","DB","12","25","12","37","5","0.0","0","0","","0","4","1","0","0","1","","southern-mississippi","2021"
"7","Lakevias Daniel","DB","12","22","13","35","1","0.0","2","0","0.0","0","3","0","0","0","0","","southern-mississippi","2021"
"8","Josh Ratcliff","DL","12","13","21","34","5","0.5","0","0","","0","0","1","0","0","0","","southern-mississippi","2021"
"9","Averie Habas","LB","12","12","21","33","3","2.0","1","6","6.0","1","1","0","0","0","0","","southern-mississippi","2021"
"10","TQ Newsome","LB","10","12","18","30","2","1.5","0","0","","0","0","0","0","0","1","","southern-mississippi","2021"
"11","Eriq Kitchen","DL","12","12","16","28","8","3.5","0","0","","0","0","1","0","0","0","","southern-mississippi","2021"
"12","Michael Pleas Jr.","LB","12","12","11","23","2","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"13","Tyrek Moody","DB","10","9","14","23","1","0.0","0","0","","0","2","0","0","0","0","","southern-mississippi","2021"
"14","Tahj Sykes","DL","11","10","10","20","3","0.0","0","0","","0","0","0","0","0","1","","southern-mississippi","2021"
"15","Swayzee Bozeman","LB","4","8","12","20","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"16","Eric Scott Jr.","DB","12","15","5","20","0","0.0","2","23","11.5","0","2","2","0","0","0","","southern-mississippi","2021"
"17","Natrone Brooks","DB","10","11","7","18","2","0.0","1","34","34.0","1","8","0","0","0","0","","southern-mississippi","2021"
"18","Dashawn Crawford","DL","12","6","11","17","4","1.5","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"19","Everitt Cunningham","DL","10","6","11","17","3","2.0","0","0","","0","0","1","47","1","0","","southern-mississippi","2021"
"20","Rachuan Mitchell","DB","11","10","4","14","1","1.0","0","0","","0","2","0","0","0","0","","southern-mississippi","2021"
"21","Brendon Toles","DB","9","8","5","13","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"22","Dominic Quewon","DL","7","6","1","7","3","3.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"23","Devin Thomas","LB","11","6","0","6","0","0.0","0","0","","0","0","0","0","0","1","","southern-mississippi","2021"
"24","Kristin Booth","DL","6","3","3","6","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"25","Khalen Leonard","DB","9","2","3","5","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"26","Jay Jones","DB","8","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"27","Andrew Cole","DL","7","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"28","Antavious Willis","WR","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"29","Justin Hulett","LS","11","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"30","Scott Rhea","DB","9","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"31","Briason Mays","","11","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"32","Josh Perry","DB","7","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"33","Coker Wright","OL","8","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"34","Tyrese Hopkins","LB","4","1","0","1","0","0.0","0","0","","0","0","1","0","0","0","","southern-mississippi","2021"
"35","Antoine Robinson","WR","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"36","Arian Gregory","LB","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"37","Avery White","LB","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"38","Brad Dennis","WR","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"39","Briason Mayes","OL","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"40","Bryce Foxworth","OL","9","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"41","Cole Cavallo","TE","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"42","Dee Baker","RB","3","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"43","Demarcus Jones","WR","11","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"44","Khalique Washington","OL","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"45","Fred Smith","DB","3","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"46","Jalen May","WR","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"47","Jason Brownlee","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","southern-mississippi","2021"
"48","Da'quan Bailey-Brown","WR","9","0","0","0","0","0.0","0","0","","0","0","1","0","0","0","","southern-mississippi","2021"
