"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Marlowe Wax","LB","13","72","38","110","12","4.0","1","14","14.0","0","2","0","0","0","4","","syracuse","2023"
"2","Justin Barron","DB","13","51","39","90","5","0.5","1","5","5.0","0","7","1","19","0","3","","syracuse","2023"
"3","Derek McDonald","LB","13","27","40","67","4","2.5","0","0","","0","1","1","0","0","0","","syracuse","2023"
"4","Alijah Clark","DB","13","38","28","66","5","0.0","0","0","","0","3","2","41","0","1","","syracuse","2023"
"5","Isaiah Johnson","CB","12","36","21","57","1","0.0","1","6","6.0","0","6","0","0","0","1","","syracuse","2023"
"6","Stefon Thompson","LB","13","27","26","53","4","1.5","0","0","","0","0","0","0","0","1","","syracuse","2023"
"7","Leon Lowery","LB","12","24","22","46","8","3.5","0","0","","0","1","1","0","0","0","","syracuse","2023"
"8","Jason Simmons Jr.","DB","13","33","13","46","0","0.0","2","84","42.0","1","7","0","0","0","0","","syracuse","2023"
"9","Kevon Darton","DL","13","22","20","42","8","5.0","0","0","","0","0","1","0","0","1","","syracuse","2023"
"10","Caleb Okechukwu","DL","13","18","17","35","8","4.5","0","0","","0","1","1","0","0","0","","syracuse","2023"
"11","Kevin Jobity Jr.","DL","13","16","15","31","8","2.5","0","0","","0","0","0","0","0","1","","syracuse","2023"
"12","Anwar Sparrow","LB","13","21","9","30","3","2.0","0","0","","0","1","1","8","0","1","","syracuse","2023"
"13","Jayden Bellamy","CB","12","23","6","29","0","0.0","1","23","23.0","1","1","2","13","0","0","","syracuse","2023"
"14","Terry Lockett","DL","11","14","12","26","3","0.0","0","0","","0","3","3","0","0","0","","syracuse","2023"
"15","Myles Farmer","DB","13","11","10","21","2","0.0","0","0","","0","0","0","0","0","1","","syracuse","2023"
"16","Jaeden Gould","DB","13","12","7","19","0","0.0","1","17","17.0","0","1","0","0","0","0","","syracuse","2023"
"17","Jeremiah Wilson","DB","9","13","3","16","1","0.0","1","66","66.0","1","5","0","0","0","0","","syracuse","2023"
"18","Braylen Ingraham","DL","13","2","14","16","3","0.5","0","0","","0","1","0","0","0","0","","syracuse","2023"
"19","Austin Roon","LB","13","3","12","15","1","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"20","Greg Delaine","DB","13","9","4","13","0","0.0","1","0","0.0","0","1","0","0","0","0","","syracuse","2023"
"21","Kadin Bailey","LB","11","5","6","11","0","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"22","Denis Jaquez Jr.","DL","6","5","6","11","2","1.5","0","0","","0","1","0","0","0","1","","syracuse","2023"
"23","Chase Simmons","DL","10","2","8","10","2","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"24","Aman Greenwood","DB","7","4","1","5","0","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"25","Ryan Dolan","LB","13","4","1","5","1","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"26","Jalil Martin","DB","9","0","5","5","1","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"27","Elijah Fuentes-Cundiff","DL","9","1","4","5","0","0.0","0","0","","0","1","0","0","0","0","","syracuse","2023"
"28","Juwuan Price","RB","12","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"29","Quan Peterson","DB","8","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"30","Yosuke Sugano","LB","4","2","0","2","1","1.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"31","Umari Hatcher","WR","13","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"32","Berry Buxton III","DB","9","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"33","Cornell Perry","DB","10","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"34","Malcolm Folk","DB","8","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"35","Mark Petry","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"36","Deston Hawkins","RB","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"37","Maximilian Mang","TE","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"38","Dan Villari","TE","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"39","LeQuint Allen","RB","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"40","Rashard Perry","DL","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"41","Khalib Gilmore","LB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"42","Clay Masters","DB","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"43","Garrett Shrader","QB","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"44","Tom Callahan","DL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"45","Jack Stonehouse","P","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
"46","Josh Kubala","TE","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","syracuse","2023"
