"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Cal Wallerstedt","LB","12","32","63","95","15","8.0","0","0","","0","1","1","0","0","1","","texas-el-paso","2022"
"2","Tyrice Knight","LB","12","48","47","95","7","1.0","1","-2","-2.0","0","5","1","13","1","2","","texas-el-paso","2022"
"3","Kobe Hylton","CB","12","55","37","92","10","0.5","0","0","","0","3","0","0","0","2","","texas-el-paso","2022"
"4","Ty'reke James","S","12","23","29","52","3","0.0","1","0","0.0","0","3","1","26","0","1","","texas-el-paso","2022"
"5","Dennis Barnes","DB","12","27","16","43","3","0.0","0","0","","0","6","0","0","0","0","","texas-el-paso","2022"
"6","Jadrian Taylor","DE","12","21","21","42","12","9.5","0","0","","0","4","1","100","1","2","","texas-el-paso","2022"
"7","Kelton Moss","DL","11","7","26","33","3","1.5","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"8","Latrez Shelton","CB","9","18","13","31","0","0.0","0","0","","0","4","0","0","0","1","","texas-el-paso","2022"
"9","Praise Amaewhule","DL","12","11","13","24","6","2.0","0","0","","0","2","1","0","0","1","","texas-el-paso","2022"
"10","Keenan Stewart","DL","10","4","19","23","4","0.5","0","0","","0","0","1","0","0","0","","texas-el-paso","2022"
"11","Blake Thompson","DT","11","6","14","20","1","0.0","0","0","","0","1","0","0","0","0","","texas-el-paso","2022"
"12","Ilijah Johnson","CB","10","11","9","20","2","0.0","2","0","0.0","0","6","0","0","0","1","","texas-el-paso","2022"
"13","Josiah Allen","CB","11","14","4","18","1","0.0","0","0","","0","0","1","4","0","0","","texas-el-paso","2022"
"14","Maurice Westmoreland","DE","12","5","12","17","0","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"15","Justin Prince","S","3","11","5","16","2","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"16","Bryton Thompson","DE","11","5","9","14","4","3.5","0","0","","0","0","0","0","0","1","","texas-el-paso","2022"
"17","Tevita Tafuna","DT","11","1","11","12","1","0.0","0","0","","0","1","1","0","0","0","","texas-el-paso","2022"
"18","James Neal","LB","4","5","7","12","0","0.0","0","0","","0","0","1","0","0","0","","texas-el-paso","2022"
"19","Deylon Williams","DE","12","5","6","11","1","0.0","0","0","","0","0","1","0","0","0","","texas-el-paso","2022"
"20","Tyson Wilson","S","12","3","7","10","0","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"21","Amir Boyd-Matthews","CB","4","6","2","8","0","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"22","Jalen Rudolph","DL","7","3","5","8","3","1.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"23","Darius Baptist","DB","11","3","4","7","0","0.0","0","0","","0","0","0","0","0","1","","texas-el-paso","2022"
"24","McKel Broussard","DB","9","4","3","7","0","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"25","Trejon Hugue","S","7","2","4","6","0","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"26","Jerome Wilson Jr.","LB","2","3","3","6","0","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"27","Deshaun Trotter","CB","11","3","3","6","0","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"28","Sione Tonga'uiha","DT","10","1","3","4","1","0.5","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"29","Osaiasi Taueli","LB","10","3","1","4","1","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"30","Gary Theard","LB","5","0","3","3","1","0.0","1","6","6.0","0","1","0","0","0","0","","texas-el-paso","2022"
"31","Elijah Robinson","DE","10","1","2","3","1","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"32","Joshua Sloan","P","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","1","","texas-el-paso","2022"
"33","Tyler Williams","S","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"34","Trent Thompson","TE","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"35","Tyrin Smith","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"36","Tre'vion Ballard","CB","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"37","Justin Mayers","OL","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"38","Steven Hubbard","OL","10","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"39","Luke Soto","TE","9","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"40","John Burris III","CB","5","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"41","Joe Hagopian","S","7","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"42","Deion Hankins","RB","12","0","1","1","1","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"43","Davis Burns","S","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"44","Brady Wolfe","S","9","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"45","Angelo Tejada","LS","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-el-paso","2022"
"46","Tristin Tuialuuluu","OL","10","0","0","0","0","0.0","0","0","","0","0","1","0","0","0","","texas-el-paso","2022"
