"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Sione Tupou","LB","12","40","42","82","4","1.5","2","6","3.0","0","3","2","0","0","1","","texas-state","2022"
"2","London Harris","LB","12","38","43","81","3","2.0","0","0","","0","2","0","0","0","2","","texas-state","2022"
"3","Tory Spears","S","10","41","36","77","3","0.5","1","94","94.0","1","3","1","0","0","1","","texas-state","2022"
"4","Jordan Revels","LB","12","27","43","70","11","4.5","0","0","","0","1","1","0","0","0","","texas-state","2022"
"5","Levi Bell","DL","12","26","40","66","14","5.0","0","0","","0","0","0","0","0","0","","texas-state","2022"
"6","Jarron Morris","CB","12","32","33","65","5","0.0","1","0","0.0","0","3","2","0","0","1","","texas-state","2022"
"7","Brian Holloway","LB","11","22","27","49","5","1.0","0","0","","0","0","0","0","0","0","","texas-state","2022"
"8","Chris Mills","CB","11","25","17","42","1","0.0","0","0","","0","8","0","0","0","1","","texas-state","2022"
"9","DeJordan Mask","S","12","23","19","42","2","0.0","3","15","5.0","0","2","0","0","0","0","","texas-state","2022"
"10","Nico Ezidore","DL","12","16","22","38","9","3.0","0","0","","0","3","0","0","0","0","","texas-state","2022"
"11","Nelson Mbanasor","DL","12","19","15","34","10","6.0","0","0","","0","3","0","0","0","2","","texas-state","2022"
"12","Alonzo Edwards Jr.","CB","11","23","8","31","2","0.0","0","0","","0","5","0","0","0","3","","texas-state","2022"
"13","Ben Bell","DE","12","11","14","25","3","2.0","0","0","","0","0","0","0","0","1","","texas-state","2022"
"14","Kordell Rodgers","CB","9","16","8","24","1","0.0","4","73","18.3","1","1","0","0","0","0","","texas-state","2022"
"15","Kevin Anderson","S","11","13","6","19","1","0.0","0","0","","0","1","1","0","0","0","","texas-state","2022"
"16","Dominique Ratcliffe","DT","11","4","13","17","2","0.5","0","0","","0","0","0","0","0","0","","texas-state","2022"
"17","Davon Sears","DL","12","8","7","15","4","1.0","0","0","","0","2","0","0","0","0","","texas-state","2022"
"18","Peyton Tuggle","S","12","5","5","10","0","0.0","0","0","","0","1","1","0","0","0","","texas-state","2022"
"19","Devin Martinez","LB","11","5","5","10","0","0.0","0","0","","0","0","0","0","0","0","","texas-state","2022"
"20","Issiah Nixon","LB","11","7","2","9","0","0.0","0","0","","0","0","0","0","0","0","","texas-state","2022"
"21","Roderick Hockley","CB","9","4","4","8","0","0.0","0","0","","0","2","0","0","0","0","","texas-state","2022"
"22","CJ Williams","LB","9","3","3","6","0","0.0","0","0","","0","0","0","0","0","0","","texas-state","2022"
"23","Josh Emmanuel","LB","11","3","2","5","0","0.0","0","0","","0","0","0","0","0","0","","texas-state","2022"
"24","Kenny Haynes","LB","12","2","3","5","0","0.0","0","0","","0","0","1","0","0","0","","texas-state","2022"
"25","Javen Ware","S","12","1","3","4","0","0.0","0","0","","0","0","0","0","0","1","","texas-state","2022"
"26","Drake Johnson","DB","4","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","texas-state","2022"
"27","Chandler Speights","WR","11","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","texas-state","2022"
"28","Charles Brown","WR","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","texas-state","2022"
"29","Ronnie Hammrick III","DB","5","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","texas-state","2022"
"30","Durham Harris","LS","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","texas-state","2022"
"31","Myron Warren","DL","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-state","2022"
"32","Mason Shipley","K","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-state","2022"
"33","Drue Jackson","WR","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-state","2022"
"34","Richard West","OL","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-state","2022"
"35","Julian Ortega-Jones","WR","9","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-state","2022"
"36","DeMarrquese Hayes","LB","5","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-state","2022"
"37","Seamus O'Kelly","P","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-state","2022"
"38","Ashtyn Hawkins","WR","9","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-state","2022"
"39","Alex Costilla","OL","8","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-state","2022"
