"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Krishon Merriweather","LB","13","70","42","112","6","3.0","0","0","","0","0","0","0","0","2","","texas-tech","2022"
"2","Kosi Eldridge","LB","13","60","31","91","5","2.5","1","0","0.0","0","1","0","0","0","0","","texas-tech","2022"
"3","Dadrion Taylor-Demerson","DB","13","54","20","74","6","1.0","3","0","0.0","0","5","2","0","0","2","","texas-tech","2022"
"4","Tyree Wilson","DL","10","36","25","61","14","7.0","0","0","","0","0","1","0","0","1","","texas-tech","2022"
"5","Marquis Waters","DB","13","41","19","60","13","1.0","1","11","11.0","0","1","0","0","0","0","","texas-tech","2022"
"6","Reggie Pearson Jr.","DB","12","44","11","55","0","0.0","2","36","18.0","0","4","1","0","0","0","","texas-tech","2022"
"7","Jaylon Hutchings","DL","13","30","20","50","6","1.5","0","0","","0","0","1","8","0","1","","texas-tech","2022"
"8","Jesiah Pierre","LB","13","24","16","40","7","4.5","0","0","","0","1","0","0","0","1","","texas-tech","2022"
"9","Rayshad Williams","DB","13","28","9","37","1","0.0","1","0","0.0","0","7","1","0","0","0","","texas-tech","2022"
"10","Malik Dunlap","DB","12","27","6","33","1","0.0","1","0","0.0","0","12","0","0","0","0","","texas-tech","2022"
"11","Tony Bradford Jr.","DL","13","22","10","32","9","5.5","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"12","Jacob Rodriguez","LB","12","17","12","29","3","0.0","0","0","","0","0","0","0","0","1","","texas-tech","2022"
"13","Tyler Owens","DB","12","14","5","19","0","0.0","1","0","0.0","0","2","0","0","0","2","","texas-tech","2022"
"14","Joseph Adedire","LB","12","9","10","19","4","1.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"15","Philip Blidi","DL","12","13","5","18","5","2.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"16","Tyrique Matthews","LB","13","9","7","16","4","0.0","0","0","","0","0","1","0","0","0","","texas-tech","2022"
"17","Isaac Smith","LB","11","9","5","14","3","1.0","0","0","","0","0","1","0","0","0","","texas-tech","2022"
"18","Adrian Frye","DB","9","13","1","14","1","0.0","0","0","","0","2","0","0","0","0","","texas-tech","2022"
"19","Myles Cole","DE","13","8","4","12","3","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"20","Kobee Minor","DB","12","9","3","12","0","0.0","0","0","","0","2","0","0","0","0","","texas-tech","2022"
"21","Dimitri Moore","LB","9","5","3","8","1","1.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"22","Vidal Scott","DL","13","4","3","7","2","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"23","Bryce Ramirez","LB","2","4","0","4","0","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"24","Robert Wooten","LB","10","2","1","3","1","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"25","Patrick Curley","LB","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"26","Tahj Brooks","RB","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"27","Baylor Cupp","TE","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"28","Trent Low","LB","7","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"29","Keyon Blankenbaker","DB","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"30","Trey Wolff","K","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"31","Wesley Smith","LB","7","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"32","Weston Wright","OL","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"33","Xavier White","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"34","Nehemiah Martinez","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"35","Mason Tharp","TE","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"36","Loic Fouonji","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"37","J.J. Sparkman","WR","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"38","Jett Whitfield","DB","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"39","Jackson Knotts","LS","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"40","Harvey Dyson III","DL","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"41","E'Maurion Banks","DL","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"42","Donovan Smith","QB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"43","Charles Esters III","DL","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
"44","Brady Boyd","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas-tech","2022"
