"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Jaylan Ford","LB","13","61","58","119","10","2.0","4","48","12.0","0","2","2","0","0","3","","texas","2022"
"2","Demarvion Overshown","LB","12","49","47","96","10","4.0","0","0","","0","5","0","0","0","0","","texas","2022"
"3","Jerrin Thompson","DB","13","50","33","83","1","0.0","1","0","0.0","0","7","0","0","0","0","","texas","2022"
"4","Jahdae Barron","DB","13","43","35","78","12","1.0","2","50","25.0","1","3","1","48","1","0","","texas","2022"
"5","Anthony Cook","DB","13","35","26","61","4","0.5","0","0","","0","5","0","0","0","1","","texas","2022"
"6","Ovie Oghoufo","LB","13","20","34","54","9","2.5","0","0","","0","3","0","0","0","2","","texas","2022"
"7","Ryan Watts","DB","13","33","18","51","4","1.0","1","0","0.0","0","3","0","0","0","0","","texas","2022"
"8","Diamonte Tucker-Dorsey","LB","13","22","22","44","3","2.5","0","0","","0","1","0","0","0","1","","texas","2022"
"9","Barryn Sorrell","DL","13","16","28","44","9","5.5","0","0","","0","1","0","0","0","1","","texas","2022"
"10","Moro Ojomo","DL","12","16","16","32","6","3.0","0","0","","0","0","0","0","0","0","","texas","2022"
"11","T'vondre Sweat","DL","13","10","20","30","3","0.0","0","0","","0","4","0","0","0","0","","texas","2022"
"12","Keondre Coburn","DL","13","10","18","28","3","1.5","0","0","","0","0","0","0","0","1","","texas","2022"
"13","Byron Murphy II","DL","13","9","17","26","3","1.0","0","0","","0","0","0","0","0","0","","texas","2022"
"14","Michael Taaffe","DB","13","13","13","26","1","0.0","0","0","","0","1","0","0","0","0","","texas","2022"
"15","D'Shawn Jamison","DB","12","21","4","25","2","1.0","2","69","34.5","1","7","0","0","0","0","","texas","2022"
"16","Kitan Crawford","DB","13","17","8","25","0","0.0","0","0","","0","2","0","0","0","0","","texas","2022"
"17","Jaylon Guilbeau","DB","8","8","11","19","1","0.0","0","0","","0","2","0","0","0","0","","texas","2022"
"18","Alfred Collins","DL","12","7","10","17","3","1.0","0","0","","0","0","0","0","0","0","","texas","2022"
"19","Jett Bush","LB","13","10","7","17","0","0.0","0","0","","0","0","0","0","0","0","","texas","2022"
"20","David Gbenda","LB","8","8","4","12","0","0.0","0","0","","0","0","0","0","0","0","","texas","2022"
"21","Morice Blackwell Jr.","DB","12","7","4","11","1","0.0","0","0","","0","1","0","0","0","0","","texas","2022"
"22","Devin Richardson","LB","9","6","5","11","2","0.0","0","0","","0","0","0","0","0","0","","texas","2022"
"23","Terrance Brooks","DB","9","5","4","9","0","0.0","0","0","","0","3","0","0","0","0","","texas","2022"
"24","Roschon Johnson","RB","12","5","3","8","0","0.0","0","0","","0","0","0","0","0","0","","texas","2022"
"25","Justice Finkley","DL","12","1","6","7","1","0.5","0","0","","0","0","0","0","0","0","","texas","2022"
"26","Austin Jordan","DB","13","4","3","7","1","0.0","0","0","","0","0","0","0","0","0","","texas","2022"
"27","Vernon Broughton","DL","12","5","2","7","1","0.0","0","0","","0","0","0","0","0","0","","texas","2022"
"28","Prince Dorbah","LB","5","3","4","7","1","0.0","0","0","","0","0","0","0","0","0","","texas","2022"
"29","J.D. Coffey III","DB","6","3","3","6","0","0.0","0","0","","0","0","0","0","0","0","","texas","2022"
"30","Ethan Burke","DL","11","5","1","6","2","0.0","0","0","","0","0","0","0","0","0","","texas","2022"
"31","Jamier Johnson","DB","7","4","1","5","0","0.0","0","0","","0","1","0","0","0","0","","texas","2022"
"32","Keilan Robinson","RB","13","4","0","4","0","0.0","0","0","","0","0","1","0","0","0","","texas","2022"
"33","Bijan Robinson","RB","12","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","H-9,AA","texas","2022"
"34","Will Stone","K","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","texas","2022"
"35","Kristopher Ross","DL","1","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","texas","2022"
"36","Zac Swanson","DL","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas","2022"
"37","Zach Edwards","LS","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","texas","2022"
"38","X'Avion Brice","DB","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas","2022"
"39","Luke Brockermeyer","LB","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","texas","2022"
"40","Jonathon Brooks","RB","7","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","texas","2022"
"41","J'Mond Tapp","DL","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","texas","2022"
"42","Jaray Bledsoe","DL","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","texas","2022"
"43","D.J. Harris","LB","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","texas","2022"
