"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Jonathan Jones","LB","13","30","67","97","10","4.0","0","0","","0","3","1","0","0","2","","toledo","2021"
"2","Maxen Hook","S","13","38","57","95","4","1.0","0","0","","0","3","0","0","0","0","","toledo","2021"
"3","Jamal Hines","LB","13","37","51","88","15","10.0","0","0","","0","8","0","0","0","0","","toledo","2021"
"4","Dyontae Johnson","LB","13","35","51","86","8","2.5","1","27","27.0","0","4","0","0","0","0","","toledo","2021"
"5","Desjuan Johnson","DE","13","32","38","70","13","4.5","0","0","","0","0","1","0","0","2","","toledo","2021"
"6","Nate Bauer","S","13","34","21","55","7","1.5","1","41","41.0","0","1","0","0","0","0","","toledo","2021"
"7","Zach Ford","S","13","20","25","45","1","0.0","0","0","","0","3","2","35","1","0","","toledo","2021"
"8","Tycen Anderson","S","10","26","18","44","2","1.0","0","0","","0","2","0","0","0","1","","toledo","2021"
"9","Judge Culpepper","DT","13","12","31","43","4","3.0","0","0","","0","2","0","0","0","0","","toledo","2021"
"10","Jackson Barrow","LB","12","18","24","42","1","0.0","0","0","","0","1","0","0","0","0","","toledo","2021"
"11","Quinyon Mitchell","CB","13","28","6","34","2","1.0","0","0","","0","8","1","0","0","1","","toledo","2021"
"12","Samuel Womack","CB","13","16","17","33","1","0.0","2","59","29.5","0","16","1","0","0","0","","toledo","2021"
"13","Justin Clark","CB","13","17","11","28","3","1.0","1","0","0.0","0","0","0","0","0","0","","toledo","2021"
"14","Troy Simon","S","10","12","11","23","1","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"15","Cavon Butler","DT","13","4","18","22","1","0.0","0","0","","0","1","0","0","0","0","","toledo","2021"
"16","Darius Alexander","DT","13","5","16","21","1","0.0","0","0","","0","2","0","0","0","0","","toledo","2021"
"17","Nate Givhan","LB","12","14","6","20","4","4.0","0","0","","0","0","0","0","0","1","","toledo","2021"
"18","Terrance Taylor","LB","6","15","4","19","6","3.0","0","0","","0","1","0","0","0","0","","toledo","2021"
"19","David Hood","DT","13","4","13","17","3","0.0","0","0","","0","1","0","0","0","0","","toledo","2021"
"20","AJ Crider","LB","12","6","11","17","1","0.5","0","0","","0","0","0","0","0","0","","toledo","2021"
"21","Chris McDonald","CB","13","13","4","17","0","0.0","2","59","29.5","1","3","0","0","0","0","","toledo","2021"
"22","D'Andre Ragin","DE","12","7","5","12","4","2.0","0","0","","0","1","0","0","0","0","","toledo","2021"
"23","Ronald Delancy III","CB","13","8","3","11","0","0.0","1","0","0.0","0","1","0","0","0","0","","toledo","2021"
"24","Adrian Woliver","","13","4","5","9","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"25","Adrian Wolver","LB","9","4","5","9","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"26","Devan Rogers","DT","11","2","6","8","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"27","Alex Enders","TE","13","2","4","6","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"28","Jaylin Mines","S","4","2","2","4","0","0.0","0","0","","0","1","0","0","0","0","","toledo","2021"
"29","Josh Recker","LB","10","2","2","4","1","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"30","Mike Coleman","CB","4","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"31","Adam Beale","WR","10","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"32","Michael Lacey","S","13","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"33","Connor Jones","LB","2","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"34","Saeed Holt","S","3","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"35","Noah Hamlin","CB","1","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"36","C.J. Wilson Jr.","LB","3","1","1","2","2","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"37","Danzel Mckinley-Lewis","WR","13","1","1","2","0","0.0","0","0","","0","0","1","0","0","0","","toledo","2021"
"38","Jaelen Crider","DT","1","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"39","Damon Ollison II","LB","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"40","Martez Poynter","DT","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"41","Doran Ray Jr.","DT","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"42","DeAmonte King","WR","6","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"43","Chris Redmon","DE","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"44","Chris Gales","S","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"45","Jamal Turner","TE","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"46","Bailey Flint","P","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"47","Sean Mills","LS","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"48","Devin Maddox","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"49","Alex Bannister","CB","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"50","Jalynn Williams","WR","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"51","Tyler Long","OL","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
"52","Vinny Sciury","OL","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","toledo","2021"
