"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Carlton Martial","LB","12","55","80","135","4","0.5","1","21","21.0","0","2","0","0","0","1","","troy","2022"
"2","Craig Slocum","S","14","37","64","101","1","0.0","1","0","0.0","0","7","1","0","0","1","","troy","2022"
"3","TJ Harris","S","14","33","33","66","5","4.5","1","5","5.0","0","4","0","0","0","0","","troy","2022"
"4","Dell Pettus","S","14","32","34","66","1","0.0","0","0","","0","2","1","0","0","0","","troy","2022"
"5","Reddy Steward","CB","14","43","20","63","1","0.0","3","78","26.0","1","12","0","0","0","0","","troy","2022"
"6","KJ Robertson","LB","13","21","36","57","2","0.0","1","61","61.0","0","0","0","0","0","0","","troy","2022"
"7","T.J. Jackson","DE","14","22","33","55","15","8.0","0","0","","0","2","1","0","0","2","","troy","2022"
"8","Will Choloh Jr.","DT","14","17","29","46","7","5.0","0","0","","0","0","0","0","0","0","","troy","2022"
"9","Javon Solomon","DE","14","20","24","44","8","4.5","0","0","","0","0","0","0","0","0","","troy","2022"
"10","Richard Jibunor","DE","14","17","25","42","12","8.0","1","13","13.0","0","2","1","0","0","3","","troy","2022"
"11","Levon Fletcher","CB","14","26","14","40","3","0.0","0","0","","0","8","0","0","0","1","","troy","2022"
"12","Shakel Brown","DT","13","11","21","32","6","4.0","0","0","","0","1","1","0","0","1","","troy","2022"
"13","Buddha Jones","DL","14","9","19","28","3","0.0","0","0","","0","0","3","23","1","0","","troy","2022"
"14","Keyshawn Swanson","S","14","17","9","26","0","0.0","0","0","","0","2","1","0","0","2","","troy","2022"
"15","Caleb Ransaw","CB","11","15","10","25","0","0.0","0","0","","0","3","0","0","0","0","","troy","2022"
"16","Terry Thomas","LB","13","10","14","24","1","0.0","1","3","3.0","0","0","0","0","0","0","","troy","2022"
"17","Antonio Showers","DE","14","6","15","21","4","3.5","0","0","","0","0","2","13","1","1","","troy","2022"
"18","Jordan Stringer","LB","12","7","10","17","0","0.0","0","0","","0","1","0","0","0","0","","troy","2022"
"19","Jayden McDonald","LB","3","8","5","13","2","0.0","0","0","","0","0","0","0","0","0","","troy","2022"
"20","Kyle Cass","CB","13","11","2","13","1","0.0","1","0","0.0","0","3","0","0","0","0","","troy","2022"
"21","Markeis Colvin","S","14","8","3","11","0","0.0","2","44","22.0","0","1","0","0","0","0","","troy","2022"
"22","AJ Pierce","DT","12","3","6","9","4","2.0","0","0","","0","0","1","0","0","0","","troy","2022"
"23","Zion Williams","CB","13","5","3","8","0","0.0","0","0","","0","0","0","0","0","0","","troy","2022"
"24","Phillip Lee","DE","13","7","0","7","1","1.0","0","0","","0","0","0","0","0","0","","troy","2022"
"25","Jamontez Woods","RB","12","4","1","5","0","0.0","0","0","","0","0","0","0","0","0","","troy","2022"
"26","Jamarcus Chatman","DE","7","2","2","4","1","0.0","0","0","","0","0","0","0","0","0","","troy","2022"
"27","Kimani Vidal","RB","14","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","troy","2022"
"28","John Butler","S","12","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","troy","2022"
"29","Luis Medina","DT","3","1","2","3","1","0.0","0","0","","0","0","0","0","0","0","","troy","2022"
"30","Elijah Culp","CB","9","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","troy","2022"
"31","Tim Steward","S","6","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","troy","2022"
"32","Taiyon Palmer","CB","3","1","1","2","0","0.0","1","23","23.0","0","0","0","0","0","0","","troy","2022"
"33","Darrell Starling","S","4","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","troy","2022"
"34","Rorrick Steward","LB","9","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","troy","2022"
"35","Blake Matthews","LB","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","troy","2022"
"36","Peyton Higgins","WR","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","troy","2022"
"37","Caleb Robbins","LS","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","troy","2022"
"38","Damien Taylor","RB","11","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","troy","2022"
"39","Demontrez Brown","WR","11","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","troy","2022"
"40","Deshon Stoudemire","WR","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","troy","2022"
"41","Quentin Skinner","LS","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","troy","2022"
"42","Jarret Doege","QB","7","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","troy","2022"
"43","Orlando Lacey","S","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","troy","2022"
"44","Marcus Rogers","WR","7","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","troy","2022"
"45","Deyunkrea Lewis","TE","9","1","0","1","1","0.0","0","0","","0","0","0","0","0","1","","troy","2022"
"46","Jarris Williams","RB","8","0","1","1","0","0.0","0","0","","0","0","1","0","0","0","","troy","2022"
"47","Rajae' Johnson-Sanders","WR","14","0","0","0","0","0.0","0","0","","0","0","1","0","0","0","","troy","2022"
