"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Macon Clark","S","12","55","18","73","5","1.0","4","78","19.5","0","0","0","0","0","0","","tulane","2021"
"2","Dorian Williams","LB","12","44","29","73","3","1.0","0","0","","0","3","1","1","0","0","","tulane","2021"
"3","Nick Anderson","LB","11","40","16","56","10","4.0","0","0","","0","1","1","2","0","1","","tulane","2021"
"4","Jadon Candy","","12","42","13","55","3","0.0","2","0","0.0","0","3","0","0","0","0","","tulane","2021"
"5","Jadon Canady","DB","12","42","13","55","3","0.0","2","0","0.0","0","2","0","0","0","0","","tulane","2021"
"6","Kevin Henry","LB","12","40","12","52","5","2.0","2","53","26.5","1","0","0","0","0","0","","tulane","2021"
"7","Jaylon Monroe","CB","12","32","16","48","2","0.5","0","0","","0","12","1","0","0","2","","tulane","2021"
"8","Jeffery Johnson","NT","12","20","24","44","5","2.5","0","0","","0","0","0","0","0","0","","tulane","2021"
"9","Larry Brooks","S","11","33","7","40","2","1.0","0","0","","0","2","0","0","0","0","","tulane","2021"
"10","Darius Hodges","LB","11","33","7","40","17","5.0","0","0","","0","1","0","0","0","2","","tulane","2021"
"11","Marvin Moody","LB","12","24","15","39","4","1.5","0","0","","0","0","0","0","0","0","","tulane","2021"
"12","Jojo Dorceus","DL","12","27","10","37","7","4.5","0","0","","0","0","1","0","0","0","","tulane","2021"
"13","Derrion Rakestraw","S","12","24","8","32","2","0.0","1","12","12.0","0","0","0","0","0","0","","tulane","2021"
"14","Ajani Kerr","DB","12","16","13","29","0","0.0","0","0","","0","5","0","0","0","0","","tulane","2021"
"15","Rudy Dyson","DB","12","20","7","27","3","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"16","Noah Seiden","DE","12","11","13","24","5","3.5","0","0","","0","0","0","0","0","0","","tulane","2021"
"17","Adonis Friloux","DL","8","10","13","23","3","1.5","0","0","","0","2","0","0","0","0","","tulane","2021"
"18","Eric Hicks Jr.","DL","12","7","15","22","3","1.0","0","0","","0","0","0","0","0","1","","tulane","2021"
"19","Angelo Anderson","DL","10","12","10","22","4","2.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"20","Keith Cooper Jr.","LB","12","13","5","18","4","2.0","0","0","","0","1","0","0","0","1","","tulane","2021"
"21","Jesus Machado","LB","11","7","3","10","1","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"22","Lance Robinson","DB","8","6","3","9","1","0.0","1","13","13.0","0","0","0","0","0","0","","tulane","2021"
"23","DJ Douglas","CB","10","3","2","5","0","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"24","Phat Watts","WR","12","4","1","5","0","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"25","Jaetavian Toles","WR","12","5","0","5","0","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"26","Devean Deal","TE","3","2","1","3","1","1.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"27","Shi'Keem Laister","DB","7","3","0","3","0","0.0","0","0","","0","0","0","0","0","1","","tulane","2021"
"28","Alfred Thomas","DE","3","2","1","3","1","1.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"29","Reggie Neely","DB","1","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"30","Rishi Rattan","CB","2","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"31","Jha'Quan Jackson","WR","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"32","Armoni Dixon","LB","4","2","0","2","1","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"33","Jonathan Mestayer II","S","3","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"34","Jack Collins","LB","1","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"35","Casey Glover","PK","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"36","Kiland Harrison","DB","7","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"37","Corey Platt Jr.","LB","2","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"38","Ford Dickerson","S","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"39","Tyrick James","TE","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"40","Shae Wyatt","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"41","Brandon Kim","CB","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"42","Rodrek Williams II","CB","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"43","Devin Brumfield","RB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"44","Gabe Liu","S","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"45","Mandel Eugene Jr.","LB","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"46","Logan Ambroz","DL","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"47","Kevaris Hall","DB","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","tulane","2021"
"48","Kolby Phillips","DB","1","1","0","1","0","0.0","0","0","","0","1","0","0","0","0","","tulane","2021"
"49","Josh Coltrin","RB","6","0","0","0","0","0.0","0","0","","0","0","1","0","1","0","","tulane","2021"
