"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","AJ Vongphachanh","LB","13","36","65","101","11","2.0","0","0","","0","3","0","0","0","2","","utah-state","2022"
"2","Hunter Reynolds","S","13","57","36","93","3","0.0","3","6","2.0","0","7","1","55","1","0","","utah-state","2022"
"3","MJ Tafisi","LB","8","27","42","69","9","1.0","0","0","","0","1","0","0","0","0","","utah-state","2022"
"4","Kaleo Neves","LB","13","31","28","59","7","1.5","0","0","","0","3","0","0","0","1","","utah-state","2022"
"5","Byron Vaughns","DE","11","23","33","56","9","2.0","0","0","","0","0","1","0","0","1","","utah-state","2022"
"6","Daniel Grzesiak","DE","13","24","28","52","13","8.5","0","0","","0","2","1","0","0","2","","utah-state","2022"
"7","Michael Anyanwu","CB","11","34","13","47","2","0.0","1","0","0.0","0","11","0","0","0","0","","utah-state","2022"
"8","Ajani Carter","CB","10","29","15","44","1","0.0","1","8","8.0","0","5","0","0","0","2","","utah-state","2022"
"9","Max Alford","LB","13","24","15","39","4","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"10","Gurvan Hall Jr.","S","8","23","13","36","2","0.0","1","31","31.0","0","2","0","0","0","0","","utah-state","2022"
"11","Hale Motu'apuaka","DT","12","15","20","35","8","5.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"12","Ike Larsen","S","11","19","15","34","3","2.0","4","60","15.0","1","2","0","0","0","0","","utah-state","2022"
"13","Patrick Joyner","DE","13","13","18","31","3","1.0","0","0","","0","1","0","0","0","0","","utah-state","2022"
"14","Andre Grayson","CB","12","16","11","27","0","0.0","0","0","","0","3","1","0","0","0","","utah-state","2022"
"15","Tavian Coleman","DT","13","12","15","27","5","1.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"16","Dominic Tatum","S","13","20","6","26","2","1.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"17","Omari Okeke","LB","10","8","10","18","2","0.0","0","0","","0","1","0","0","0","0","","utah-state","2022"
"18","Seni Tuiaki","DT","4","5","10","15","3","0.0","0","0","","0","1","0","0","0","0","","utah-state","2022"
"19","Poukesi Vakauta","DT","12","5","8","13","3","1.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"20","Sione Moa","LB","10","5","7","12","1","1.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"21","John Ward","DE","10","3","7","10","3","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"22","Xavion Steele","CB","13","4","5","9","0","0.0","0","0","","0","2","0","0","0","0","","utah-state","2022"
"23","Bo Maile","DT","11","5","2","7","1","1.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"24","Jaden Smith","CB","12","4","1","5","0","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"25","Otto Tia","WR","13","3","2","5","0","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"26","Broc Lane","TE","9","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"27","Jamie Nance","CB","13","2","1","3","0","0.0","0","0","","0","0","3","0","0","0","","utah-state","2022"
"28","Enoka Migao","DE","7","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"29","Nyny Davis","WR","12","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"30","JD Drew","CB","5","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"31","Justin McGriff","WR","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"32","Phillip Paea","DT","3","1","1","2","0","0.0","1","16","16.0","0","1","0","0","0","0","","utah-state","2022"
"33","Elliott Nimrod","K","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"34","Alfred Edwards","OL","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"35","Wade Meacham","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"36","Terrell Vaughn","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"37","Brian Cobbs","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"38","Ron Tiavaasue","TE","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"39","Cole Joyce","LB","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"40","Connor Coles","K","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"41","Jacob Garcia","LS","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"42","Luke Marion","S","7","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"43","Logan Bonner","QB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"44","Kyle Van Leeuwen","WR","3","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"45","Josh Sterzer","TE","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
"46","Jordan Wilmore","RB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","utah-state","2022"
