"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Devin Lloyd","LB","14","65","45","110","22","8.0","4","36","9.0","2","6","1","0","0","0","AA","utah","2021"
"2","Nephi Sewell","LB","13","54","35","89","7","0.0","1","13","13.0","0","0","0","0","0","1","","utah","2021"
"3","Brandon McKinney","S","14","38","25","63","4","1.0","0","0","","0","2","0","0","0","1","","utah","2021"
"4","Clark Phillips III","CB","14","46","17","63","1","0.0","2","54","27.0","1","13","0","0","0","2","","utah","2021"
"5","Vonte Davis","S","14","49","13","62","1","0.0","1","30","30.0","0","0","0","0","0","1","","utah","2021"
"6","Cole Bishop","S","11","35","20","55","9","3.0","0","0","","0","5","1","0","0","0","","utah","2021"
"7","Mika Tafua","DE","14","31","18","49","13","9.5","0","0","","0","3","1","0","0","1","","utah","2021"
"8","Karene Reid","LB","10","22","23","45","2","1.0","1","13","13.0","0","2","0","0","0","0","","utah","2021"
"9","Van Fillinger","DE","14","25","17","42","10","5.5","0","0","","0","0","0","0","0","0","","utah","2021"
"10","Junior Tafuna","DT","13","22","11","33","6","4.5","0","0","","0","1","1","0","0","0","","utah","2021"
"11","Malone Mataele","CB","11","17","11","28","3","0.0","1","3","3.0","0","2","0","0","0","0","","utah","2021"
"12","Zemaiah Vaughn","S","13","21","4","25","3","0.5","0","0","","0","4","0","0","0","0","","utah","2021"
"13","Faybian Marks","CB","10","20","5","25","0","0.0","0","0","","0","2","0","0","0","0","","utah","2021"
"14","Kamo'i Latu","S","14","11","8","19","0","0.0","0","0","","0","3","0","0","0","0","","utah","2021"
"15","Xavier Carlton","DE","11","9","9","18","4","1.0","0","0","","0","1","0","0","0","0","","utah","2021"
"16","Hauati Pututau","DT","14","12","6","18","5","3.0","0","0","","0","4","0","0","0","0","","utah","2021"
"17","Jonah Elliss","LB","14","9","6","15","1","1.0","0","0","","0","0","2","0","0","0","","utah","2021"
"18","Devin Kaufusi","DT","14","4","9","13","2","0.0","0","0","","0","1","0","0","0","0","","utah","2021"
"19","Hayden Furey","LB","14","9","4","13","2","0.0","0","0","","0","2","0","0","0","0","","utah","2021"
"20","Micah Bernard","RB","14","10","2","12","0","0.0","0","0","","0","0","0","0","0","0","","utah","2021"
"21","Aliki Vimahi","DT","10","9","3","12","2","2.0","0","0","","0","3","0","0","0","0","","utah","2021"
"22","Connor O'Toole","WR","14","5","5","10","0","0.0","0","0","","0","0","0","0","0","0","","utah","2021"
"23","Jatravis Broughton","CB","2","7","2","9","1","0.0","0","0","","0","3","0","0","0","0","","utah","2021"
"24","Trey Reynolds","LB","14","2","4","6","0","0.0","0","0","","0","0","0","0","0","0","","utah","2021"
"25","Andrew Mata'afa","LB","13","4","1","5","0","0.0","0","0","","0","1","0","0","0","0","","utah","2021"
"26","Viane Moala","DT","3","1","3","4","0","0.0","0","0","","0","1","0","0","0","0","","utah","2021"
"27","Kyrese Rowan","WR","11","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","utah","2021"
"28","Tennessee Pututau","DT","9","2","2","4","1","1.0","0","0","","0","0","0","0","0","0","","utah","2021"
"29","Miki Suguturaga","DE","7","3","1","4","1","1.0","0","0","","0","0","0","0","0","1","","utah","2021"
"30","Aaron Lowe","CB","4","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","utah","2021"
"31","Thomas Yassmin","TE","13","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","utah","2021"
"32","Caine Savage","CB","9","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","utah","2021"
"33","LaCarea Pleasant-Johnson","CB","6","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","utah","2021"
"34","Faysal Aden","RB","3","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","utah","2021"
"35","Bryson Reeves","WR","6","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","utah","2021"
"36","Devaughn Vele","WR","14","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","utah","2021"
"37","Cameron Peasley","P","9","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","utah","2021"
"38","Cameron Rising","QB","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","utah","2021"
"39","Nick Ford","OL","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","utah","2021"
"40","Solomon Enis","WR","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","utah","2021"
"41","Charlie Brewer","QB","3","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","utah","2021"
"42","Dalton Kincaid","TE","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","utah","2021"
"43","Britain Covey","WR","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","utah","2021"
"44","Braedon E. Daniels","OL","14","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","utah","2021"
"45","Zach Vaughn","WR","1","1","0","1","0","0.0","0","0","","0","1","0","0","0","0","","utah","2021"
"46","Fua Pututau","DT","3","0","1","1","1","0.0","0","0","","0","1","0","0","0","0","","utah","2021"
