"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Ryan Smenda Jr.","LB","12","41","76","117","6","0.0","0","0","","0","3","1","18","0","0","","wake-forest","2022"
"2","Chase Jones","LB","13","33","41","74","6","2.0","1","0","0.0","0","2","2","0","0","1","","wake-forest","2022"
"3","Chelen Garnes","DB","13","43","28","71","2","1.0","1","0","0.0","0","3","1","0","0","0","","wake-forest","2022"
"4","Malik Mustapha","DB","10","32","26","58","8","3.5","0","0","","0","3","0","0","0","2","","wake-forest","2022"
"5","Isaiah Wingfield","DB","13","33","16","49","2","0.0","1","0","0.0","0","6","0","0","0","0","","wake-forest","2022"
"6","AJ Williams","DB","12","29","18","47","2","1.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"7","Evan Slocum","DB","13","28","17","45","2","0.0","0","0","","0","3","0","0","0","0","","wake-forest","2022"
"8","Kobie Turner","DL","13","21","17","38","10","2.0","0","0","","0","2","1","0","0","3","","wake-forest","2022"
"9","Jermal Martin Jr.","DB","13","25","13","38","2","0.0","1","0","0.0","0","5","0","0","0","0","","wake-forest","2022"
"10","Jasheen Davis","DL","13","18","15","33","14","7.0","0","0","","0","0","1","2","0","1","","wake-forest","2022"
"11","Dylan Hazen","LB","12","15","16","31","2","0.5","1","21","21.0","0","0","0","0","0","0","","wake-forest","2022"
"12","Rondell Bothroyd","DL","12","15","15","30","8","6.0","0","0","","0","3","1","0","0","2","","wake-forest","2022"
"13","JaCorey Johns","DE","12","12","18","30","3","1.0","0","0","","0","0","0","0","0","1","","wake-forest","2022"
"14","Tyler Williams","DL","13","14","12","26","6","3.5","0","0","","0","1","0","0","0","0","","wake-forest","2022"
"15","Gavin Holmes","DB","11","16","7","23","0","0.0","0","0","","0","9","0","0","0","0","","wake-forest","2022"
"16","DaShawn Jones","DB","11","19","4","23","1","0.0","0","0","","0","5","0","0","0","0","","wake-forest","2022"
"17","Caelen Carson","DB","8","18","4","22","1","0.0","0","0","","0","7","0","0","0","0","","wake-forest","2022"
"18","Brendon Harris","DB","12","13","7","20","0","0.0","1","36","36.0","1","0","0","0","0","0","","wake-forest","2022"
"19","J.J Roberts","DB","10","11","9","20","0","0.0","0","0","","0","7","0","0","0","0","","wake-forest","2022"
"20","Quincey Bryant","LB","12","10","10","20","1","0.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"21","Jaylen Hudson","LB","12","10","10","20","1","0.0","0","0","","0","0","0","0","0","1","","wake-forest","2022"
"22","Dion Bergan","DL","13","5","14","19","1","0.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"23","Kendron Wayman","DL","12","12","5","17","5","3.0","0","0","","0","2","0","0","0","0","","wake-forest","2022"
"24","Kevin Pointer","DL","13","10","3","13","3","1.0","0","0","","0","1","0","0","0","0","","wake-forest","2022"
"25","Zach Ranson","DB","10","2","7","9","0","0.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"26","Bernard Gooden","DL","12","1","6","7","2","0.5","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"27","Eldrick Robinson II","LB","4","4","2","6","0","0.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"28","Will Towns","RB","13","2","3","5","0","0.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"29","Jacobi Gilbert","DB","4","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"30","Coby Davis","DB","3","2","2","4","0","0.0","1","31","31.0","1","1","0","0","0","0","","wake-forest","2022"
"31","Demond Claiborne","RB","10","2","1","3","0","0.0","0","0","","0","0","1","0","0","0","","wake-forest","2022"
"32","BJ Williams","DL","5","0","3","3","0","0.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"33","Blake Whiteheart","TE","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"34","Christian Masterson","DB","4","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"35","Justin Williams","DL","3","1","1","2","1","0.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"36","Ivan Mora","P","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"37","Wyatt Crespi","DL","2","0","1","1","1","0.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"38","Trey Boll","TE","13","1","0","1","1","0.0","0","0","","0","0","0","0","0","1","","wake-forest","2022"
"39","Zamari Stevenson","DB","8","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"40","Taylor Morin","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"41","Sean Maginn","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"42","Quinton Cooley","RB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"43","Ke'Shawn Williams","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"44","Gavin Ellis","TE","12","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"45","Donavon Greene","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"46","DeVonte Gordon","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"47","A.T. Perry","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","wake-forest","2022"
"48","Will Cobb","LS","13","0","0","0","0","0.0","0","0","","0","0","1","0","0","0","","wake-forest","2022"
