"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Alex Cook","S","13","56","26","82","4","0.0","0","0","","0","1","0","0","0","0","","washington","2022"
"2","Alphonzo Tuputala","LB","13","37","34","71","7","3.0","0","0","","0","0","1","0","0","0","","washington","2022"
"3","Cam Bright","LB","13","31","29","60","5","2.5","1","0","0.0","0","0","0","0","0","0","","washington","2022"
"4","Asa Turner","S","10","33","19","52","1","0.0","2","2","1.0","0","1","0","0","0","0","","washington","2022"
"5","Carson Bruener","LB","13","29","16","45","4","0.0","0","0","","0","1","0","0","0","0","","washington","2022"
"6","Mishael Powell","CB","9","29","14","43","2","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"7","Dominique Hampton","DB","12","26","16","42","1","0.0","0","0","","0","4","0","0","0","0","","washington","2022"
"8","Kristopher Moll","LB","13","26","15","41","3","1.0","0","0","","0","0","0","0","0","0","","washington","2022"
"9","Jeremiah Martin","LB","13","24","17","41","11","8.5","0","0","","0","1","0","0","0","2","","washington","2022"
"10","Bralen Trice","LB","13","22","16","38","12","9.0","0","0","","0","0","0","0","0","0","","washington","2022"
"11","Kamren Fabiculanan","DB","13","23","15","38","0","0.0","0","0","","0","3","1","4","0","0","","washington","2022"
"12","Jordan Perryman","CB","10","25","12","37","0","0.0","0","0","","0","1","0","0","0","0","","washington","2022"
"13","Tuli Letuligasenoa","DL","13","19","11","30","5","0.0","0","0","","0","4","0","0","0","0","","washington","2022"
"14","Zion Tupuola-Fetui","LB","13","20","8","28","6","4.5","0","0","","0","1","0","0","0","1","","washington","2022"
"15","Davon Banks","CB","9","10","7","17","1","0.0","1","0","0.0","0","1","0","0","0","1","","washington","2022"
"16","Voi Tunuufi","DL","13","10","5","15","5","5.0","0","0","","0","0","0","0","0","0","","washington","2022"
"17","Sav'ell Smalls","LB","13","7","7","14","1","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"18","Faatui Tuitele","DL","13","5","7","12","1","0.5","0","0","","0","2","2","0","0","0","","washington","2022"
"19","Jacob Bandes","DL","13","6","6","12","1","1.0","0","0","","0","0","0","0","0","0","","washington","2022"
"20","Ulumoo Ale","OL","11","5","6","11","1","0.0","0","0","","0","1","0","0","0","0","","washington","2022"
"21","Edefuan Ulofoshio","LB","5","4","6","10","0","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"22","Elijah Jackson","CB","7","7","3","10","0","0.0","0","0","","0","0","0","0","0","1","","washington","2022"
"23","Drew Fowler","LB","13","6","4","10","0","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"24","Makell Esteen","S","8","5","2","7","0","0.0","2","0","0.0","0","1","0","0","0","0","","washington","2022"
"25","Sean Toomey-Stout","S","6","5","2","7","0","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"26","Julius Irvin","S","6","6","1","7","0","0.0","1","0","0.0","0","2","0","0","0","0","","washington","2022"
"27","Taj Davis","WR","13","4","2","6","0","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"28","Daniel Heimuli","LB","6","4","1","5","1","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"29","Jayvon Parker","DL","8","2","3","5","1","1.0","0","0","","0","0","0","0","0","0","","washington","2022"
"30","Jayvion Green","CB","9","4","1","5","0","0.0","0","0","","0","1","0","0","0","0","","washington","2022"
"31","Wayne Taulapapa","RB","13","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"32","Richard Newton","RB","10","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"33","Maurice Heims","LB","7","2","1","3","2","1.0","0","0","","0","0","0","0","0","0","","washington","2022"
"34","Kuao Peihopa","DL","3","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"35","Jack Westover","TE","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"36","Jaden Green","LS","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"37","Dyson McCutcheon","CB","5","1","0","1","0","0.0","0","0","","0","1","0","0","0","0","","washington","2022"
"38","Grady Gross","K","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"39","Tristan Dunn","S","5","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"40","Styles Siva-Tu'u","LB","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"41","Sekai Afoa-Asoau","LB","9","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"42","Jalen McMillan","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"43","Ruperake Fuavai","LB","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"44","Rome Odunze","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"45","Roger Rosengarten","OL","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"46","Austin Harnetiaux","LB","1","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"47","Lonyatta Alexander","WR","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"48","Bradley McGannon","DL","3","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"49","Cameron Williams","S","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","washington","2022"
"50","Will Nixon","WR","11","0","0","0","0","0.0","0","0","","0","0","1","0","0","0","","washington","2022"
