"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Josh Chandler","LB","13","68","42","110","6","1.5","2","0","0.0","0","3","0","0","0","2","","west-virginia","2021"
"2","Josh Chandler-Semedo","","13","68","42","110","6","1.5","2","0","0.0","0","3","0","0","0","2","","west-virginia","2021"
"3","Sean Mahone","S","13","54","27","81","4","0.5","2","29","14.5","0","2","0","0","0","1","","west-virginia","2021"
"4","Alonzo Addae","S","13","45","28","73","5","1.0","0","0","","0","3","1","0","0","0","","west-virginia","2021"
"5","Daryl Porter Jr.","CB","13","40","6","46","1","0.0","1","43","43.0","0","6","0","0","0","0","","west-virginia","2021"
"6","Jackie Matthews","CB","13","34","9","43","7","1.0","1","0","0.0","0","3","0","0","0","0","","west-virginia","2021"
"7","Exree Loe","LB","10","26","12","38","3","1.0","0","0","","0","0","0","0","0","1","","west-virginia","2021"
"8","Akheem Mesidor","DL","13","24","14","38","8","4.5","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"9","Taijh Alston","DL","13","23","14","37","11","5.0","0","0","","0","0","0","0","0","1","","west-virginia","2021"
"10","Dante Stills","DL","13","29","7","36","15","7.0","1","0","0.0","0","0","0","0","0","1","","west-virginia","2021"
"11","Lance Dixon","LB","10","24","12","36","1","0.0","0","0","","0","1","0","0","0","0","","west-virginia","2021"
"12","Scottie Young","S","10","27","6","33","2","0.0","0","0","","0","3","0","0","0","0","","west-virginia","2021"
"13","Charles Woods","CB","11","23","8","31","2","0.0","2","32","16.0","0","4","2","0","0","0","","west-virginia","2021"
"14","Jared Bartlett","LB","13","15","16","31","6","3.5","0","0","","0","0","1","0","0","1","","west-virginia","2021"
"15","Nicktroy Fortune","CB","7","16","9","25","2","0.0","0","0","","0","1","0","0","0","0","","west-virginia","2021"
"16","Saint McLeod","S","9","15","8","23","1","0.0","0","0","","0","0","0","0","0","2","","west-virginia","2021"
"17","Jordan Jefferson","DL","13","7","10","17","4","0.5","0","0","","0","1","0","0","0","0","","west-virginia","2021"
"18","Sean Martin","DL","13","5","11","16","1","0.0","0","0","","0","0","1","0","0","0","","west-virginia","2021"
"19","Vandarius Cowan","LB","10","11","4","15","1","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"20","Deshawn Stevens","LB","12","9","2","11","0","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"21","Malachi Ruffin","S","11","8","2","10","0","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"22","Edward Vesterinen","DL","8","1","6","7","1","0.5","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"23","Taurus Simmons","DL","12","3","3","6","0","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"24","Reese Smith","WR","13","4","1","5","0","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"25","Lanell Carr","DL","10","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"26","Kerry Martin Jr.","S","4","3","0","3","1","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"27","Jalen Thornton","DL","12","3","0","3","0","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"28","Bryce Ford-Wheaton","WR","12","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"29","Evan Matthes","P","1","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"30","Davis Mallinger","S","4","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"31","Darel Middleton","DL","2","1","1","2","1","1.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"32","Leddie Brown","RB","12","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"33","Ja'Corey Hammett","LB","1","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"34","Aubrey Burks","DB","6","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"35","Brayden Dudley","DL","1","2","0","2","2","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"36","Caleb Coleman","DB","4","1","0","1","1","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"37","Tavis Lee","DL","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"38","Andrew Wilson-Lamp","CB","4","1","0","1","0","0.0","0","0","","0","1","0","0","0","0","","west-virginia","2021"
"39","Sam James","WR","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"40","Eddie Watkins","LB","1","1","0","1","1","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"41","Markquan Rucker","RB","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"42","Kaden Prather","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"43","J.P. Hadley","LS","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
"44","Derek Ambrosino","LB","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","west-virginia","2021"
