"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Antwon Kincade","DB","14","54","46","100","2","0.0","1","29","29.0","0","4","2","0","0","0","","western-kentucky","2021"
"2","DeAngelo Malone","DE","14","44","50","94","18","9.0","0","0","","0","4","0","0","0","4","","western-kentucky","2021"
"3","Jaden Hunter","DE","13","35","31","66","5","3.0","1","0","0.0","0","1","2","2","0","1","","western-kentucky","2021"
"4","A.J. Brathwaite Jr.","DB","12","39","25","64","3","1.0","1","5","5.0","0","2","0","0","0","2","","western-kentucky","2021"
"5","Kahlef Hailassie","DB","14","34","23","57","3","0.0","2","14","7.0","0","5","0","0","0","0","","western-kentucky","2021"
"6","Demetrius Cain","LB","14","30","25","55","2","1.5","2","0","0.0","0","0","0","0","0","0","","western-kentucky","2021"
"7","Will Ignont","LB","11","32","21","53","6","3.5","1","0","0.0","0","6","1","0","0","0","","western-kentucky","2021"
"8","Juwuan Jones","DE","14","20","25","45","7","3.5","0","0","","0","0","0","0","0","1","","western-kentucky","2021"
"9","JaQues Evans","DE","14","23","21","44","4","2.0","0","0","","0","1","1","0","0","2","","western-kentucky","2021"
"10","Beanie Bishop","DB","13","33","10","43","7","0.0","3","72","24.0","1","4","0","0","0","1","","western-kentucky","2021"
"11","Darius Shipp","DT","14","19","22","41","7","2.5","0","0","","0","3","1","0","0","1","","western-kentucky","2021"
"12","Miguel Edwards","DB","12","29","9","38","0","0.0","2","33","16.5","0","4","0","0","0","0","","western-kentucky","2021"
"13","Kaleb Oliver","DB","14","16","16","32","1","0.0","0","0","","0","2","0","0","0","0","","western-kentucky","2021"
"14","Brodric Martin","DT","14","12","19","31","5","2.5","0","0","","0","1","1","0","0","0","","western-kentucky","2021"
"15","Jeremy Darvin","DT","13","13","17","30","2","1.0","0","0","","0","1","2","0","0","0","","western-kentucky","2021"
"16","Omari Alexander","DB","14","10","19","29","1","0.0","3","0","0.0","0","4","0","0","0","0","","western-kentucky","2021"
"17","Marcus Bragg","DE","14","11","15","26","3","2.5","0","0","","0","1","0","0","0","1","","western-kentucky","2021"
"18","Michael Pitts","DE","14","14","10","24","6","3.0","1","0","0.0","0","4","0","0","0","0","","western-kentucky","2021"
"19","Dominique Bradshaw","DB","10","18","6","24","0","0.0","1","5","5.0","0","5","0","0","0","0","","western-kentucky","2021"
"20","Kendrick Simpkins","DB","12","18","3","21","0","0.0","0","0","","0","3","0","0","0","0","","western-kentucky","2021"
"21","Davion Williams","DB","13","15","3","18","1","0.0","2","45","22.5","1","2","0","0","0","0","","western-kentucky","2021"
"22","Lichon Terrell","DT","13","5","12","17","1","0.0","0","0","","0","1","0","0","0","0","","western-kentucky","2021"
"23","Matthew Flint","LB","14","9","6","15","0","0.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
"24","Tre Shaw","DB","12","8","3","11","0","0.0","0","0","","0","0","0","0","0","1","","western-kentucky","2021"
"25","Mike Allen","DT","10","4","6","10","0","0.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
"26","Niko Cooper","DE","13","9","0","9","1","0.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
"27","Nick Days","LB","10","5","3","8","1","1.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
"28","Cory Munson","K","14","3","4","7","0","0.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
"29","Malik Staples","LB","8","3","3","6","2","0.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
"30","Cardavion Myers","DB","11","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
"31","Christian Gomez","LB","8","1","2","3","0","0.0","1","10","10.0","0","1","0","0","0","0","","western-kentucky","2021"
"32","Terrion Thompson","DT","6","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
"33","C.J. Jones","RB","8","2","0","2","0","0.0","0","0","","0","1","0","0","0","0","","western-kentucky","2021"
"34","Desmond Johnson","DB","3","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
"35","Bryson Washington","LB","8","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
"36","David Ndukwe","DT","6","0","2","2","0","0.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
"37","Kyle McNamara","WR","2","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
"38","Jerreth Sterns","WR","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
"39","Jarett Lucombe","DE","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
"40","Jamale Carothers","RB","4","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
"41","Mitchell Tinsley","WR","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
"42","Deangelo Wilson","WR","9","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
"43","Noah Whittington","RB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
"44","Talique Allen","DB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
"45","Dalvin Smith","WR","11","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
"46","T.J. Springer","DB","4","0","1","1","0","0.0","0","0","","0","3","0","0","0","0","","western-kentucky","2021"
"47","Colt Jackson","OL","7","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
"48","Adam Cofield","RB","14","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","western-kentucky","2021"
