"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Leo Chenal","LB","11","59","55","114","18","8.0","0","0","","0","0","0","0","0","2","","wisconsin","2021"
"2","Jack Sanborn","LB","13","45","46","91","16","5.0","0","0","","0","0","1","0","0","0","","wisconsin","2021"
"3","Nick Herbig","LB","13","41","23","64","15","9.0","0","0","","0","4","1","0","0","2","","wisconsin","2021"
"4","Scott Nelson","S","13","40","20","60","4","0.0","1","25","25.0","1","6","0","0","0","0","","wisconsin","2021"
"5","Noah Burks","LB","13","19","24","43","9","4.5","1","24","24.0","0","2","1","0","0","0","","wisconsin","2021"
"6","John Torchio","S","13","22","13","35","3","0.5","3","68","22.7","0","0","0","0","0","0","","wisconsin","2021"
"7","Collin Wilder","S","11","20","13","33","1","0.0","3","53","17.7","0","3","1","0","0","1","","wisconsin","2021"
"8","Matt Henningsen","DE","13","13","20","33","6","3.0","0","0","","0","1","0","0","0","0","","wisconsin","2021"
"9","Faion Hicks","CB","11","21","7","28","0","0.0","0","0","","0","10","0","0","0","0","","wisconsin","2021"
"10","Caesar Williams","CB","13","21","7","28","0","0.0","3","49","16.3","1","6","0","0","0","0","","wisconsin","2021"
"11","Keeanu Benton","NT","13","11","14","25","5","2.5","0","0","","0","2","2","0","0","0","","wisconsin","2021"
"12","Isaiah Mullens","DE","13","7","17","24","3","2.0","0","0","","0","1","0","0","0","0","","wisconsin","2021"
"13","Travian Blaylock","S","13","11","10","21","1","0.5","0","0","","0","0","1","0","0","0","","wisconsin","2021"
"14","Dean Engram","CB","13","15","5","20","0","0.0","1","2","2.0","0","3","0","0","0","0","","wisconsin","2021"
"15","C.J. Goetz","LB","13","8","10","18","4","2.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"16","Hunter Wohler","S","13","11","6","17","3","1.0","0","0","","0","1","0","0","0","0","","wisconsin","2021"
"17","Alexander Smith","CB","12","11","0","11","0","0.0","1","2","2.0","0","0","1","0","0","0","","wisconsin","2021"
"18","Tatum Grass","LB","13","5","4","9","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"19","Rodas Johnson","DE","12","3","4","7","1","1.0","0","0","","0","0","0","0","0","1","","wisconsin","2021"
"20","James Thompson Jr.","DE","13","1","6","7","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"21","Bryson Williams","NT","12","3","4","7","1","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"22","Jordan Turner","LB","6","2","4","6","1","0.0","2","6","3.0","0","0","0","0","0","0","","wisconsin","2021"
"23","John Chenal","FB","13","4","1","5","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"24","Mike Maskalunas","LB","7","3","2","5","1","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"25","Semar Melvin","CB","9","3","1","4","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"26","Spencer Lytle","LB","6","3","1","4","1","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"27","Donte Burton","CB","4","3","1","4","1","0.0","1","6","6.0","0","0","0","0","0","0","","wisconsin","2021"
"28","Maema Njongmeta","LB","6","2","2","4","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"29","Tyler Mais","S","9","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"30","Max Lofy","CB","8","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"31","Izayah Green-May","LB","12","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"32","Darryl Peterson","LB","3","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"33","Kaden Johnson","LB","6","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"34","Gio Paez","DE","9","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"35","Tyler Beach","OL","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"36","Peter Bowden","LS","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"37","Ricardo Hallman","CB","3","0","1","1","0","0.0","0","0","","0","1","0","0","0","0","","wisconsin","2021"
"38","Jaylan Franklin","TE","11","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"39","Kendric Pryor","WR","13","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"40","Jake Ratzlaff","LB","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"41","Jake Chaney","LB","9","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"42","Jack Van Dyke","K","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","1","","wisconsin","2021"
"43","Isacc Townsend","DE","5","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"44","Isaac Guerendo","RB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"45","Danny Davis","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"46","Braelon Allen","RB","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"47","Brady Schipper","RB","10","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
"48","Amaun Williams","CB","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","wisconsin","2021"
