"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
"1","Easton Gibbs","LB","13","47","62","109","4","2.0","1","2","2.0","0","6","1","0","0","2","","wyoming","2023"
"2","Shae Suiaunoa","LB","13","60","33","93","6","2.5","1","8","8.0","0","2","0","0","0","0","","wyoming","2023"
"3","Wyett Ekeler","DB","13","49","28","77","6","2.0","2","48","24.0","1","7","1","8","0","2","","wyoming","2023"
"4","Isaac White","S","13","33","28","61","2","1.0","1","0","0.0","0","7","0","0","0","0","","wyoming","2023"
"5","Jordan Bertagnole","DT","13","27","33","60","6","2.0","0","0","","0","2","0","0","0","1","","wyoming","2023"
"6","Sabastian Harsh","DE","12","30","20","50","9","3.0","0","0","","0","1","1","0","0","0","","wyoming","2023"
"7","Wrook Brown","LB","12","34","13","47","1","0.0","3","13","4.3","0","4","1","2","0","0","","wyoming","2023"
"8","Cole Godbout","DT","13","12","31","43","4","2.0","1","23","23.0","0","0","0","0","0","0","","wyoming","2023"
"9","Jakorey Hawkins","DB","13","31","10","41","1","0.0","1","26","26.0","0","8","0","0","0","0","","wyoming","2023"
"10","Devonne Harris","DE","13","20","15","35","4","4.0","0","0","","0","4","1","0","0","0","","wyoming","2023"
"11","Kolbey Taylor","CB","9","22","7","29","0","0.0","0","0","","0","7","1","40","0","0","","wyoming","2023"
"12","Tyrecus Davis","CB","9","24","3","27","0","0.0","1","0","0.0","0","7","2","14","0","1","","wyoming","2023"
"13","Braden Siders","DE","12","15","11","26","5","4.0","0","0","","0","2","0","0","0","0","","wyoming","2023"
"14","Gavin Meyer","DT","13","13","13","26","4","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"15","Tyce Westland","DE","13","8","10","18","5","0.5","0","0","","0","1","1","61","0","1","","wyoming","2023"
"16","Connor Shay","LB","13","8","7","15","0","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"17","Cole Demarzo","LB","13","8","6","14","1","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"18","Ben Florentine","DL","12","7","4","11","0","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"19","Buck Coors","LB","9","10","0","10","2","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"20","Caleb Robinson","DT","11","5","4","9","1","0.0","0","0","","0","1","0","0","0","0","","wyoming","2023"
"21","Andrew Johnson","S","13","4","3","7","1","0.0","0","0","","0","1","1","0","0","0","","wyoming","2023"
"22","Micah Young","LB","13","1","6","7","0","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"23","Ian Bell","CB","12","2","4","6","0","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"24","Kevin Sjogren","DE","2","1","2","3","0","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"25","Sam Scott","RB","13","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"26","Carson York","LS","13","2","1","3","0","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"27","Ryan Marquez","WR","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","1","","wyoming","2023"
"28","Jaden Williams","DL","5","1","1","2","1","1.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"29","Wyatt Wieland","WR","13","2","0","2","0","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"30","Caleb Cooley","WR","13","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"31","Caleb Driskill","FB","13","1","1","2","0","0.0","0","0","","0","0","1","0","0","0","","wyoming","2023"
"32","Nic Talich","LB","13","1","1","2","0","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"33","Read Sunn","LB","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"34","Gunner Gentry","WR","12","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"35","Mitchell Anderson","RB","1","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"36","Jeremy Hollingsworth","RB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"37","John Hoyland","K","13","0","1","1","0","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"38","Malique Singleton","LB","3","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"39","Jaylen Sargent","WR","7","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"40","Cayden Hawkins","LB","2","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
"41","Josh Dixon","CB","4","1","0","1","0","0.0","0","0","","0","0","0","0","0","0","","wyoming","2023"
