"rk","player","pos","g","solo","ast","comb","tfl","sk","int","yds","avg","int_td","pd","fr","yds_2","frtd","ff","awards","Team","Year"
1,"Trey Taylor","S",10,39,23,62,2,1,1,0,0,0,5,0,0,0,1,NA,"air-force",2021
2,"Corvan Taylor","S",13,33,27,60,0,0,3,21,7,0,4,2,3,0,0,NA,"air-force",2021
3,"Vince Sanford","LB",13,46,13,59,17,9.5,0,0,NA,0,3,1,0,0,4,NA,"air-force",2021
4,"Tre Bugg III","DB",12,45,13,58,1,0,2,8,4,0,10,0,0,0,1,NA,"air-force",2021
5,"Alec Mock","LB",11,32,21,53,2,1,0,0,NA,0,0,1,0,0,1,NA,"air-force",2021
6,"Christopher Herrera","DL",13,19,25,44,8,3.5,0,0,NA,0,0,0,0,0,0,NA,"air-force",2021
7,"Camby Goff","S",11,24,18,42,5,2,0,0,NA,0,3,0,0,0,2,NA,"air-force",2021
8,"Jordan Jackson","DT",13,24,17,41,13,7.5,0,0,NA,0,1,0,0,0,1,NA,"air-force",2021
9,"Demonte Meeks","LB",12,15,21,36,4,3.5,0,0,NA,0,0,0,0,0,0,NA,"air-force",2021
10,"Thadius Blackmon","LB",9,16,17,33,5,1,0,0,NA,0,0,0,0,0,1,NA,"air-force",2021
11,"Michael Mack II","CB",9,15,12,27,0,0,0,0,NA,0,1,0,0,0,0,NA,"air-force",2021
12,"Ethan Erickson","S",8,11,4,15,1,1,0,0,NA,0,1,0,0,0,0,NA,"air-force",2021
13,"Eian Castonguay","CB",11,11,4,15,0,0,0,0,NA,0,1,0,0,0,0,NA,"air-force",2021
14,"Johnathan Youngblood","LB",13,10,5,15,1,1,0,0,NA,0,0,0,0,0,0,NA,"air-force",2021
15,"Jayden Goodwin","S",13,10,5,15,0,0,0,0,NA,0,3,0,0,0,0,NA,"air-force",2021
16,"Bo Richter","LB",11,5,8,13,2,1.5,1,6,6,0,1,0,0,0,0,NA,"air-force",2021
17,"Zion Kelly","CB",12,8,4,12,2,0.5,0,0,NA,0,0,0,0,0,0,NA,"air-force",2021
18,"Elijah Brockman","G",10,6,6,12,3,1,0,0,NA,0,0,0,0,0,0,NA,"air-force",2021
19,"Jayd Thiergood","DE",8,5,5,10,3,1,0,0,NA,0,0,0,0,0,0,NA,"air-force",2021
20,"Kalawai'a Pescaia","G",8,4,4,8,2,0.5,0,0,NA,0,0,0,0,0,0,NA,"air-force",2021
21,"James Jones","DB",13,6,2,8,0,0,1,18,18,0,0,1,0,0,0,NA,"air-force",2021
22,"Mason Bugg","S",3,5,2,7,0,0,0,0,NA,0,2,0,0,0,0,NA,"air-force",2021
23,"Jalen Mergerson","S",11,3,4,7,0,0,0,0,NA,0,1,0,0,0,0,NA,"air-force",2021
24,"Caleb Humphrey","LB",5,4,3,7,2,1,0,0,NA,0,0,0,0,0,0,NA,"air-force",2021
25,"Jace Waters","LB",5,2,2,4,0,0,0,0,NA,0,0,0,0,0,0,NA,"air-force",2021
26,"David Eure","CB",7,2,2,4,0,0,0,0,NA,0,0,0,0,0,0,NA,"air-force",2021
27,"Kenny Ngaima","G",4,1,3,4,1,0.5,0,0,NA,0,0,0,0,0,0,NA,"air-force",2021
28,"Brandon Gooding","LB",7,2,2,4,1,0,0,0,NA,0,0,0,0,0,0,NA,"air-force",2021
29,"Brad Roberts","RB",13,2,0,2,0,0,0,0,NA,0,0,0,0,0,0,NA,"air-force",2021
30,"Jamari Bellamy","S",1,0,1,1,0,0,0,0,NA,0,0,0,0,0,0,NA,"air-force",2021
31,"Dane Kinamon","WR",12,1,0,1,0,0,0,0,NA,0,0,0,0,0,0,NA,"air-force",2021
32,"Kyle Patterson","TE",4,1,0,1,0,0,0,0,NA,0,0,1,0,0,0,NA,"air-force",2021
33,"Corey Collins","DB",3,1,0,1,0,0,0,0,NA,0,0,0,0,0,1,NA,"air-force",2021
34,"McKinley O'Neal","DT",6,1,0,1,1,0,0,0,NA,0,1,0,0,0,0,NA,"air-force",2021
35,"Charles Bein","P",11,0,1,1,0,0,0,0,NA,0,0,0,0,0,0,NA,"air-force",2021
36,"Nate Polk","LB",1,1,0,1,0,0,0,0,NA,0,0,1,0,0,0,NA,"air-force",2021
37,"Omar Fattah","FB",10,1,0,1,0,0,0,0,NA,0,0,0,0,0,0,NA,"air-force",2021
38,"Brice Honaker","PK",9,0,1,1,0,0,0,0,NA,0,0,0,0,0,0,NA,"air-force",2021
39,"Alesandro Maxwell","DE",1,1,0,1,0,0,0,0,NA,0,0,0,0,0,0,NA,"air-force",2021
1,"Jesslord Boateng","LB",11,39,41,80,8,1.5,0,0,NA,0,0,0,0,0,0,NA,"akron",2021
2,"Jaylen Kelly-Powell","S",11,33,40,73,1,1,1,0,0,0,1,1,0,0,0,NA,"akron",2021
3,"Andrew Behm","LB",11,26,37,63,2,1,0,0,NA,0,0,1,1,0,1,NA,"akron",2021
4,"Charles Amankwaa","DB",12,34,14,48,3,1,3,38,12.7,0,9,0,0,0,1,NA,"akron",2021
5,"Bubba Arslanian","LB",4,19,24,43,1,0,0,0,NA,0,0,0,0,0,0,NA,"akron",2021
6,"DiMarco Johnson","S",12,19,15,34,0,0,0,0,NA,0,0,0,0,0,0,NA,"akron",2021
7,"Zach Morton","DL",12,12,21,33,2,1,1,24,24,1,0,0,0,0,0,NA,"akron",2021
8,"Ronald Jackson Jr.","CB",10,19,14,33,1,0,0,0,NA,0,0,0,0,0,0,NA,"akron",2021
9,"Michael Scott","LB",11,12,21,33,3,1.5,0,0,NA,0,1,1,9,0,0,NA,"akron",2021
10,"A.J. Watts","CB",10,27,5,32,0,0,0,0,NA,0,1,0,0,0,0,NA,"akron",2021
