"rk","player","pos","g","xpm","xpa","xp_percent","fgm","fga","fg_percent","pts","pnt","yds","y_p","awards","Team","Year"
1,"Charles Bein","P",11,0,0,NA,0,0,NA,0,24,952,39.7,NA,"air-force",2021
2,"Matthew Dapore","PK",10,31,32,96.9,8,10,80,55,0,0,NA,NA,"air-force",2021
3,"Carson Bay","P",8,0,0,NA,0,0,NA,0,16,655,40.9,NA,"air-force",2021
4,"McKinley O'Neal","DT",6,0,0,NA,0,1,0,0,0,0,NA,NA,"air-force",2021
5,"Anth Rodriguez","PK",4,15,15,100,3,6,50,24,0,0,NA,NA,"air-force",2021
6,"Tevye Schuettpelz-Rohl","PK",1,2,2,100,0,0,NA,2,0,0,NA,NA,"air-force",2021
1,"Cory Smigel","PK",12,29,30,96.7,7,11,63.6,50,0,0,NA,NA,"akron",2021
2,"Ethan Slike","PK",12,0,0,NA,0,0,NA,0,49,2109,43,NA,"akron",2021
1,"Kyle Greenwell","P",13,0,0,NA,0,0,NA,0,59,2484,42.1,NA,"alabama-birmingham",2021
2,"Matthew Quinn","PK",13,49,50,98,11,16,68.8,82,0,0,NA,NA,"alabama-birmingham",2021
1,"James Burnip","P",15,0,0,NA,0,0,NA,0,48,1878,39.1,NA,"alabama",2021
2,"Will Reichard","PK",15,71,72,98.6,22,28,78.6,137,0,0,NA,NA,"alabama",2021
3,"Jack Martin","P",4,0,0,NA,1,1,100,3,0,0,NA,NA,"alabama",2021
1,"Chandler Staton","K",14,57,57,100,20,21,95.2,117,0,0,NA,NA,"appalachian-state",2021
2,"Clayton Howell","P",14,0,0,NA,0,0,NA,0,2,66,33,NA,"appalachian-state",2021
3,"Xavier Subotsch","P",14,0,0,NA,0,0,NA,0,49,2007,41,NA,"appalachian-state",2021
1,"Eddie Czaplicki","P",13,0,0,NA,0,0,NA,0,45,1954,43.4,NA,"arizona-state",2021
2,"Logan Tyler","P",13,3,5,60,0,2,0,3,1,44,44,NA,"arizona-state",2021
