"rk","player","pos","g","rush","rec","prtd","krtd","frtd","int_td","oth_td","td","xpm","xpa","fgm","fga","x2pm","sfty","pts","pts_g","awards","Team","Year"
1,"Brad Roberts","RB",13,13,0,0,0,0,0,0,13,0,0,0,0,0,0,78,6,NA,"air-force",2021
2,"Haaziq Daniels","QB",12,11,0,0,0,0,0,0,11,0,0,0,0,1,0,74,6.2,NA,"air-force",2021
3,"Matthew Dapore","PK",10,0,0,0,0,0,0,0,0,31,32,8,10,0,0,55,5.5,NA,"air-force",2021
4,"Dane Kinamon","WR",12,5,2,0,0,0,0,0,7,0,0,0,0,0,0,42,3.5,NA,"air-force",2021
5,"Micah Davis","WR",8,4,2,0,0,0,0,0,6,0,0,0,0,0,0,36,4.5,NA,"air-force",2021
6,"Anth Rodriguez","PK",4,0,0,0,0,0,0,0,0,15,15,3,6,0,0,24,6,NA,"air-force",2021
7,"Brandon Lewis","WR",13,1,3,0,0,0,0,0,4,0,0,0,0,0,0,24,1.8,NA,"air-force",2021
8,"DeAndre Hughes","WR",10,3,0,0,0,0,0,0,3,0,0,0,0,3,0,24,2.4,NA,"air-force",2021
9,"Emmanuel Michel","FB",12,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,1.5,NA,"air-force",2021
10,"Ben Jefferson","WR",8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.8,NA,"air-force",2021
11,"Dalton King","TE",12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0.5,NA,"air-force",2021
12,"Jensen Jones","QB",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6,NA,"air-force",2021
13,"John Lee Eldridge III","RB",8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.8,NA,"air-force",2021
14,"Zachar Larrier","QB",5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1.2,NA,"air-force",2021
15,"Tevye Schuettpelz-Rohl","PK",1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,NA,"air-force",2021
1,"Cory Smigel","PK",12,0,0,0,0,0,0,0,0,29,30,7,11,0,0,50,4.2,NA,"akron",2021
2,"Konata Mumpfield","WR",12,0,8,0,0,0,0,0,8,0,0,0,0,1,0,50,4.2,NA,"akron",2021
3,"Jonzell Norrils","RB",10,3,3,0,0,0,0,0,6,0,0,0,0,0,0,36,3.6,NA,"akron",2021
