"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Anthony Grimes","WR","12","2","17","8.5","0","0","0","","0","150","","akron","2021"
"2","Blake Hester","RB","12","2","23","11.5","0","0","0","","0","333","","akron","2021"
"3","Charles Amankwaa","DB","12","0","0","","0","1","1","1.0","0","39","","akron","2021"
"4","Kevin Dever","","12","1","0","0.0","0","0","0","","0","0","","akron","2021"
"5","Konata Mumpfield","WR","12","0","0","","0","3","14","4.7","0","765","","akron","2021"
"6","Tyson Durant","CB","12","3","33","11.0","0","0","0","","0","50","","akron","2021"
"7","Bryce Profitt","WR","11","4","32","8.0","0","0","0","","0","32","","akron","2021"
"8","Michael Mathison","WR","11","19","459","24.2","1","3","18","6.0","0","1188","","akron","2021"
"9","Jonzell Norrils","RB","10","1","0","0.0","0","0","0","","0","726","","akron","2021"
"10","Josh Bryant","RB","9","1","0","0.0","0","0","0","","0","6","","akron","2021"
"11","Oran Singleton Jr.","WR","9","5","89","17.8","0","2","17","8.5","0","232","","akron","2021"
"12","Kevin Dever Jr.","S","6","1","0","0.0","0","0","0","","0","0","","akron","2021"
