"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Calvin Turner","RB","13","13","285","21.9","0","6","46","7.7","0","1523","","hawaii","2021"
"2","Dedrick Parson","RB","13","2","23","11.5","0","3","21","7.0","0","941","","hawaii","2021"
"3","Hugh Nelson","DB","13","0","0","","0","1","0","0.0","0","2","","hawaii","2021"
"4","Khoury Bethley","DB","13","1","0","0.0","0","0","0","","0","120","","hawaii","2021"
"5","Solomon Turner","DB","13","2","33","16.5","0","0","0","","0","37","","hawaii","2021"
"6","Foi Shaw","DL","12","1","0","0.0","0","0","0","","0","0","","hawaii","2021"
"7","Jalen Perdue","DB","12","7","148","21.1","0","0","0","","0","148","","hawaii","2021"
"8","Tru Edwards","WR","10","3","55","18.3","0","0","0","","0","92","","hawaii","2021"
"9","Koali Nishigaya","WR","6","0","0","","0","1","2","2.0","0","26","","hawaii","2021"
"10","Dior Scott","RB","4","1","21","21.0","0","0","0","","0","56","","hawaii","2021"
