"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Alec Burton","TE","12","2","9","4.5","0","0","0","","0","63","","ohio","2021"
"2","De'Montre Tuggle","RB","12","25","506","20.2","1","0","0","","0","1466","","ohio","2021"
"3","Jake Neatherton","RB","12","3","57","19.0","0","0","0","","0","145","","ohio","2021"
"4","Kyle Kelly","LB","12","1","11","11.0","0","0","0","","0","11","","ohio","2021"
"5","Tyler Walton","WR","12","0","0","","0","4","28","7.0","0","436","","ohio","2021"
"6","Ben Johnson","LB","11","5","41","8.2","0","0","0","","0","41","","ohio","2021"
"7","Phillip Cole","WR","11","5","119","23.8","0","0","0","","0","120","","ohio","2021"
"8","Isiah Cox","WR","10","2","25","12.5","0","1","6","6.0","0","449","","ohio","2021"
"9","JJ Conner","WR","10","0","0","","0","4","17","4.3","0","21","","ohio","2021"
"10","Jerome Buckner","WR","5","0","0","","0","1","3","3.0","0","112","","ohio","2021"
"11","Keegan Wilburn","WR","4","1","9","9.0","0","0","0","","0","9","","ohio","2021"
"12","Julian Ross","RB","2","1","19","19.0","0","0","0","","0","19","","ohio","2021"
"13","Casey Clanton","TE","1","1","-2","-2.0","0","0","0","","0","-2","","ohio","2021"
