"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Deshaun Fenwick","RB","13","1","5","5.0","0","0","0","","0","596","","oregon-state","2023"
"2","Jake Reichle","RB","13","1","5","5.0","0","0","0","","0","40","","oregon-state","2023"
"3","Jermaine Terry II","TE","13","1","-1","-1.0","0","0","0","","0","51","","oregon-state","2023"
"4","Semisi Saluni","DL","13","1","11","11.0","0","0","0","","0","11","","oregon-state","2023"
"5","Silas Bolden","WR","13","17","392","23.1","0","3","97","32.3","1","1319","","oregon-state","2023"
"6","Cory Stover","LB","12","1","0","0.0","0","0","0","","0","0","","oregon-state","2023"
"7","Jesiah Irish","WR","12","1","29","29.0","0","0","0","","0","345","","oregon-state","2023"
"8","Akili Arnold","DB","11","4","70","17.5","0","0","0","","0","83","","oregon-state","2023"
"9","Anthony Gould","WR","11","0","0","","0","7","113","16.1","0","853","","oregon-state","2023"
"10","Jake Overman","TE","4","1","7","7.0","0","0","0","","0","7","","oregon-state","2023"
"11","Zachary Card","WR","4","0","0","","0","1","13","13.0","0","48","","oregon-state","2023"
"12","David Wells Jr.","WR","2","0","0","","0","2","11","5.5","0","17","","oregon-state","2023"
