"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Bub Means","WR","13","1","29","29.0","0","0","0","","0","440","","pittsburgh","2022"
"2","Erick Hallett","DB","13","1","0","0.0","0","0","0","","0","1","","pittsburgh","2022"
"3","Marlin Devonshire","DB","13","1","0","0.0","0","24","233","9.7","1","318","","pittsburgh","2022"
"4","Tylar Wiltz","LB","13","0","0","","0","1","3","3.0","0","3","","pittsburgh","2022"
"5","Vincent Davis","RB","13","2","31","15.5","0","2","14","7.0","0","425","","pittsburgh","2022"
"6","C'Bo Flemister","RB","12","3","54","18.0","0","0","0","","0","275","","pittsburgh","2022"
"7","Karter Johnson","TE","12","1","1","1.0","0","0","0","","0","90","","pittsburgh","2022"
"8","Konata Mumpfield","WR","12","0","0","","0","2","1","0.5","0","555","","pittsburgh","2022"
"9","Israel Abanikanda","RB","11","12","228","19.0","0","0","0","","0","1805","","pittsburgh","2022"
"10","Jaylon Barden","WR","8","0","0","","0","2","-3","-1.5","0","16","","pittsburgh","2022"
"11","Rodney Hammond Jr.","RB","8","7","124","17.7","0","0","0","","0","657","","pittsburgh","2022"
