"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Cam Davis","RB","13","1","27","27.0","0","0","0","","0","188","","san-diego-state","2022"
"2","Jesse Matthews","WR","13","0","0","","0","3","11","3.7","0","520","","san-diego-state","2022"
"3","Jordan Byrd","RB","13","23","571","24.8","1","18","118","6.6","1","1139","","san-diego-state","2022"
"4","Kenan Christon","RB","13","3","36","12.0","0","0","0","","0","504","","san-diego-state","2022"
"5","Mark Redman","TE","13","1","0","0.0","0","0","0","","0","233","","san-diego-state","2022"
"6","Max Garrison","DB","13","3","40","13.3","0","0","0","","0","40","","san-diego-state","2022"
"7","Mekhi Shaw","WR","13","1","0","0.0","0","2","-3","-1.5","0","353","","san-diego-state","2022"
"8","Brionne Penny","WR","12","2","47","23.5","0","0","0","","0","213","","san-diego-state","2022"
"9","Chris Johnson","DB","12","0","0","","0","1","0","0.0","0","0","","san-diego-state","2022"
"10","Aaron Greene","TE","10","2","18","9.0","0","0","0","","0","23","","san-diego-state","2022"
"11","Trey White","LB","3","1","14","14.0","0","0","0","","0","14","","san-diego-state","2022"
