"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Gage Haskin","TE","13","1","13","13.0","0","0","0","","0","78","","southern-methodist","2022"
"2","Tyler Lavine","RB","13","1","9","9.0","0","0","0","","0","773","","southern-methodist","2022"
"3","Dylan Goffney","WR","12","2","15","7.5","0","0","0","","0","384","","southern-methodist","2022"
"4","Kelvontay Dixon","WR","12","0","0","","0","2","39","19.5","0","416","","southern-methodist","2022"
"5","Roderick Daniels Jr.","WR","12","1","24","24.0","0","9","104","11.6","0","473","","southern-methodist","2022"
"6","Bryan Massey","S","11","9","205","22.8","0","0","0","","0","205","","southern-methodist","2022"
"7","Jordan Kerley","WR","10","0","0","","0","4","-1","-0.3","0","587","","southern-methodist","2022"
"8","Ben Redding","TE","9","1","12","12.0","0","0","0","","0","123","","southern-methodist","2022"
"9","Brandon Epton Jr.","RB","4","1","21","21.0","0","0","0","","0","32","","southern-methodist","2022"
"10","Jayleen Record","WR","4","2","63","31.5","0","0","0","","0","63","","southern-methodist","2022"
