"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Jose Barbon","WR","12","1","3","3.0","0","4","4","1.0","0","925","","temple","2022"
"2","Trey Blair","RB","12","1","19","19.0","0","0","0","","0","58","","temple","2022"
"3","Amad Anderson Jr.","WR","11","2","23","11.5","0","8","41","5.1","0","539","","temple","2022"
"4","Darvon Hubbard","RB","10","1","11","11.0","0","0","0","","0","254","","temple","2022"
"5","Zae Baines","WR","10","0","0","","0","1","0","0.0","0","237","","temple","2022"
"6","Corey Cuascut-Palmer","S","9","14","226","16.1","0","0","0","","0","226","","temple","2022"
"7","Malik Cooper","WR","8","8","115","14.4","0","0","0","","0","121","","temple","2022"
"8","De'Von Fox","WR","5","4","56","14.0","0","0","0","","0","56","","temple","2022"
"9","Jakari Norwood","RB","5","1","15","15.0","0","0","0","","0","81","","temple","2022"
"10","Sam Martin","S","4","8","189","23.6","0","0","0","","0","189","","temple","2022"
"11","Keyshawn Paul","CB","3","1","16","16.0","0","0","0","","0","16","","temple","2022"
