"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Jahmyl Jeter","RB","12","2","46","23.0","0","0","0","","0","459","","texas-state","2021"
"2","Ashtyn Hawkins","WR","11","0","0","","0","3","2","0.7","0","300","","texas-state","2021"
"3","Chris Mills","CB","11","0","0","","0","1","2","2.0","0","2","","texas-state","2021"
"4","DeJordan Mask","S","11","1","22","22.0","0","0","0","","0","22","","texas-state","2021"
"5","Caleb Twyford","RB","10","21","351","16.7","0","0","0","","0","434","","texas-state","2021"
"6","Chandler Speights","WR","10","0","0","","0","2","-2","-1.0","0","70","","texas-state","2021"
"7","Michael Lovett III","CB","8","1","4","4.0","0","0","0","","0","4","","texas-state","2021"
"8","Rontavious Groves","WR","8","0","0","","0","4","45","11.3","0","112","","texas-state","2021"
"9","Donovan Moorer","WR","7","15","336","22.4","0","0","0","","0","406","","texas-state","2021"
"10","Jake Lynch","DL","7","3","10","3.3","0","0","0","","0","10","","texas-state","2021"
"11","Jarron Morris","CB","3","0","0","","0","1","37","37.0","0","37","","texas-state","2021"
