"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
"1","Deshon Stoudemire","WR","14","0","0","","0","6","39","6.5","0","546","","troy","2022"
"2","Kimani Vidal","RB","14","1","10","10.0","0","0","0","","0","1282","","troy","2022"
"3","Michael Vice","TE","14","1","1","1.0","0","0","0","","0","106","","troy","2022"
"4","Rajae' Johnson-Sanders","WR","14","1","14","14.0","0","0","0","","0","727","","troy","2022"
"5","Tez Johnson","WR","13","0","0","","0","6","69","11.5","0","943","","troy","2022"
"6","Jamontez Woods","RB","12","3","64","21.3","0","0","0","","0","122","","troy","2022"
"7","Orlando Lacey","S","12","1","12","12.0","0","2","24","12.0","0","36","","troy","2022"
"8","Peyton Higgins","WR","12","3","35","11.7","0","0","0","","0","127","","troy","2022"
"9","Jarris Williams","RB","8","4","62","15.5","0","0","0","","0","66","","troy","2022"
"10","Jabre Barber","WR","6","5","130","26.0","0","0","0","","0","481","","troy","2022"
