rk,player,pos,g,ret,yds,y_ret,krtd,ret_2,yds_2,y_ret_2,prtd,ap_yd,awards,Team,Year
1,Brandon Lewis,WR,13,1,19,19.0,0,0,0,,0,830,,air-force,2021
2,Dane Kinamon,WR,12,1,0,0.0,0,2,9,4.5,0,315,,air-force,2021
3,Jake Spiewak,WR,12,0,0,,0,1,7,7.0,0,38,,air-force,2021
4,Omar Fattah,FB,10,1,0,0.0,0,0,0,,0,220,,air-force,2021
5,Micah Davis,WR,8,2,47,23.5,0,2,20,10.0,0,648,,air-force,2021
6,Owen Burk,RB,4,1,4,4.0,0,0,0,,0,26,,air-force,2021
1,Amari Terry,WR,13,2,43,21.5,0,4,11,2.8,0,252,,air-force,2022
2,Ben Jefferson,WR,13,1,11,11.0,0,0,0,,0,95,,air-force,2022
3,Brad Roberts,RB,13,1,0,0.0,0,0,0,,0,1737,,air-force,2022
4,Omar Fattah,FB,12,1,0,0.0,0,0,0,,0,130,,air-force,2022
1,Aiden Calvert,RB,13,1,18,18.0,0,0,0,,0,195,,air-force,2023
2,Cade Harris,WR,13,0,0,,0,3,1,0.3,0,261,,air-force,2023
3,John Lee Eldridge III,RB,13,2,39,19.5,0,0,0,,0,677,,air-force,2023
4,Dane Kinamon,WR,8,1,19,19.0,0,5,22,4.4,0,188,,air-force,2023
5,Kade Frew,RB,3,1,16,16.0,0,0,0,,0,19,,air-force,2023
1,Anthony Grimes,WR,12,2,17,8.5,0,0,0,,0,150,,akron,2021
2,Blake Hester,RB,12,2,23,11.5,0,0,0,,0,333,,akron,2021
3,Charles Amankwaa,DB,12,0,0,,0,1,1,1.0,0,39,,akron,2021
4,Kevin Dever,,12,1,0,0.0,0,0,0,,0,0,,akron,2021
5,Konata Mumpfield,WR,12,0,0,,0,3,14,4.7,0,765,,akron,2021
6,Tyson Durant,CB,12,3,33,11.0,0,0,0,,0,50,,akron,2021
7,Bryce Profitt,WR,11,4,32,8.0,0,0,0,,0,32,,akron,2021
8,Michael Mathison,WR,11,19,459,24.2,1,3,18,6.0,0,1188,,akron,2021
9,Jonzell Norrils,RB,10,1,0,0.0,0,0,0,,0,726,,akron,2021
10,Josh Bryant,RB,9,1,0,0.0,0,0,0,,0,6,,akron,2021
11,Oran Singleton Jr.,WR,9,5,89,17.8,0,2,17,8.5,0,232,,akron,2021
12,Kevin Dever Jr.,S,6,1,0,0.0,0,0,0,,0,0,,akron,2021
1,Angelo Howze,DL,12,2,20,10.0,0,0,0,,0,20,,akron,2022
2,Blake Hester,RB,12,20,464,23.2,0,1,0,0.0,0,474,,akron,2022
3,Clyde Price,RB,12,1,11,11.0,0,0,0,,0,459,,akron,2022
4,Shocky Jacques-Louis,WR,12,13,305,23.5,0,2,3,1.5,0,1239,,akron,2022
5,Anthony Grimes,WR,9,2,37,18.5,0,13,93,7.2,0,217,,akron,2022
6,Bobby Golden,WR,9,5,90,18.0,0,3,26,8.7,0,121,,akron,2022
1,Blake Hester,RB,12,31,580,18.7,0,0,0,,0,580,,akron,2023
2,Bobby Golden,WR,12,0,0,,0,16,86,5.4,0,237,,akron,2023
3,Lorenzo Lingard,RB,12,5,52,10.4,0,0,0,,0,1061,,akron,2023
1,Gerrit Prince,TE,13,1,7,7.0,0,0,0,,0,706,,alabama-birmingham,2021
