rk,player,pos,g,xpm,xpa,xp_percent,fgm,fga,fg_percent,pts,pnt,yds,y_p,awards,Team,Year
1,Charles Bein,P,11,0,0,,0,0,,0,24,952,39.7,,air-force,2021
2,Matthew Dapore,PK,10,31,32,96.9,8,10,80.0,55,0,0,,,air-force,2021
3,Carson Bay,P,8,0,0,,0,0,,0,16,655,40.9,,air-force,2021
4,McKinley O'Neal,DT,6,0,0,,0,1,0.0,0,0,0,,,air-force,2021
5,Anth Rodriguez,PK,4,15,15,100.0,3,6,50.0,24,0,0,,,air-force,2021
6,Tevye Schuettpelz-Rohl,PK,1,2,2,100.0,0,0,,2,0,0,,,air-force,2021
1,Carson Bay,P,13,0,0,,0,0,,0,31,1167,37.6,,air-force,2022
2,Matthew Dapore,P,13,37,38,97.4,16,21,76.2,85,0,0,,,air-force,2022
3,Anth Rodriguez,K,4,7,7,100.0,0,0,,7,0,0,,,air-force,2022
4,Luke Freer,K,1,0,0,,0,0,,0,2,95,47.5,,air-force,2022
1,Carson Bay,P,13,0,0,,0,0,,0,25,985,39.4,,air-force,2023
2,Reagan Tubbs,K,13,8,8,100.0,1,1,100.0,11,0,0,,,air-force,2023
3,Matthew Dapore,P,12,34,35,97.1,15,19,78.9,79,0,0,,,air-force,2023
4,Luke Freer,K,8,0,0,,0,0,,0,15,640,42.7,,air-force,2023
1,Cory Smigel,PK,12,29,30,96.7,7,11,63.6,50,0,0,,,akron,2021
2,Ethan Slike,PK,12,0,0,,0,0,,0,49,2109,43.0,,akron,2021
1,Noah Gettman,P,12,0,0,,0,0,,0,61,2478,40.6,,akron,2022
2,Cory Smigel,K,9,17,18,94.4,7,12,58.3,38,0,0,,,akron,2022
3,Noah Perez,K,5,11,11,100.0,6,9,66.7,29,0,0,,,akron,2022
1,Dante Jackson,K,12,3,3,100.0,2,3,66.7,9,64,2400,37.5,,akron,2023
2,Noah Perez,K,5,9,9,100.0,3,7,42.9,18,0,0,,,akron,2023
3,Owen Wiley,K,5,12,12,100.0,4,6,66.7,24,0,0,,,akron,2023
1,Kyle Greenwell,P,13,0,0,,0,0,,0,59,2484,42.1,,alabama-birmingham,2021
2,Matthew Quinn,PK,13,49,50,98.0,11,16,68.8,82,0,0,,,alabama-birmingham,2021
1,Kyle Greenwell,P,13,0,0,,0,0,,0,44,1992,45.3,,alabama-birmingham,2022
2,Matthew Quinn,K,13,45,45,100.0,14,19,73.7,87,0,0,,,alabama-birmingham,2022
3,Reese Burkhardt,K,13,2,2,100.0,0,0,,2,0,0,,,alabama-birmingham,2022
1,Matthew Quinn,K,12,38,39,97.4,11,18,61.1,71,0,0,,,alabama-birmingham,2023
2,Patrick Foley,P,12,0,0,,0,0,,0,40,1715,42.9,,alabama-birmingham,2023
1,James Burnip,P,15,0,0,,0,0,,0,48,1878,39.1,,alabama,2021
2,Will Reichard,PK,15,71,72,98.6,22,28,78.6,137,0,0,,,alabama,2021
3,Jack Martin,P,4,0,0,,1,1,100.0,3,0,0,,,alabama,2021
1,James Burnip,P,13,0,0,,0,0,,0,44,1861,42.3,,alabama,2022
2,Will Reichard,K,13,64,64,100.0,22,26,84.6,130,0,0,,,alabama,2022
1,James Burnip,P,14,0,0,,0,0,,0,59,2806,47.6,,alabama,2023
2,Will Reichard,K,14,55,55,100.0,22,25,88.0,121,4,165,41.3,,alabama,2023
3,Conor Talty,K,3,1,1,100.0,0,0,,1,0,0,,,alabama,2023
1,Chandler Staton,K,14,57,57,100.0,20,21,95.2,117,0,0,,,appalachian-state,2021
2,Clayton Howell,P,14,0,0,,0,0,,0,2,66,33.0,,appalachian-state,2021
3,Xavier Subotsch,P,14,0,0,,0,0,,0,49,2007,41.0,,appalachian-state,2021
1,Clayton Howell,P,12,0,0,,0,0,,0,42,1631,38.8,,appalachian-state,2022
2,Michael Hughes,K,12,50,50,100.0,9,12,75.0,77,0,0,,,appalachian-state,2022
1,Michael Hughes,K,14,54,54,100.0,19,22,86.4,111,0,0,,,appalachian-state,2023
2,Mitchell Lake,P,14,0,0,,0,0,,0,54,2107,39.0,,appalachian-state,2023
1,Eddie Czaplicki,P,13,0,0,,0,0,,0,45,1954,43.4,,arizona-state,2021
2,Logan Tyler,P,13,3,5,60.0,0,2,0.0,3,1,44,44.0,,arizona-state,2021
3,Cristian Zendejas,PK,12,40,41,97.6,8,11,72.7,64,0,0,,,arizona-state,2021
1,Carter Brown,K,12,33,33,100.0,11,14,78.6,66,0,0,,,arizona-state,2022
2,Eddie Czaplicki,P,12,0,0,,0,0,,0,49,2257,46.1,,arizona-state,2022
3,Jace Feely,K,4,1,1,100.0,0,0,,1,1,37,37.0,,arizona-state,2022
1,Cameron Skattebo,RB,12,0,0,,0,0,,0,8,338,42.3,,arizona-state,2023
2,Dario Longhetto,K,12,20,20,100.0,11,16,68.8,53,3,131,43.7,,arizona-state,2023
3,Josh Carlson,P,12,0,0,,0,0,,0,25,956,38.2,,arizona-state,2023
4,Ian Hershey,K,4,0,0,,0,0,,0,16,634,39.6,,arizona-state,2023
1,Kyle Ostendorp,P,12,0,0,,0,0,,0,58,2852,49.2,,arizona,2021
2,Lucas Havrisik,K,12,3,3,100.0,9,14,64.3,30,0,0,,,arizona,2021
3,Tyler Loop,K,8,12,12,100.0,12,12,100.0,48,0,0,,,arizona,2021
1,Jayden De Laura,QB,12,0,0,,0,0,,0,2,83,41.5,,arizona,2022
2,Kyle Ostendorp,P,12,0,0,,0,0,,0,34,1546,45.5,,arizona,2022
3,Tyler Loop,K,12,38,38,100.0,18,21,85.7,92,0,0,,,arizona,2022
1,Kyle Ostendorp,P,13,0,0,,0,0,,0,35,1485,42.4,,arizona,2023
2,Tyler Loop,K,13,53,53,100.0,19,24,79.2,110,0,0,,,arizona,2023
3,Noah Fifita,QB,12,0,0,,0,0,,0,2,90,45.0,,arizona,2023
4,Jayden De Laura,QB,7,0,0,,0,0,,0,1,31,31.0,,arizona,2023
1,Blake Grupe,K,12,31,32,96.9,20,25,80.0,91,0,0,,,arkansas-state,2021
2,Ryan Hanson,P,12,0,0,,0,0,,0,68,2995,44.0,,arkansas-state,2021
1,Dominic Zvada,K,12,30,31,96.8,17,18,94.4,81,0,0,,,arkansas-state,2022
2,Ryan Hanson,P,12,0,0,,0,0,,0,47,2057,43.8,,arkansas-state,2022
3,William Przystup,P,8,0,0,,0,0,,0,21,913,43.5,,arkansas-state,2022
4,Aidan Ellison,K,1,1,1,100.0,0,0,,1,0,0,,,arkansas-state,2022
1,Dominic Zvada,K,13,41,41,100.0,17,22,77.3,92,0,0,,,arkansas-state,2023
2,William Przystup,P,13,0,0,,0,0,,0,61,2635,43.2,,arkansas-state,2023
1,Cam Little,K,13,46,46,100.0,20,24,83.3,106,0,0,,,arkansas,2021
2,Reid Bauer,P,13,0,0,,0,0,,0,58,2510,43.3,,arkansas,2021
3,Sam Loy,P,1,0,0,,0,0,,0,1,37,37.0,,arkansas,2021
1,Cam Little,K,13,50,50,100.0,13,16,81.3,89,0,0,,,arkansas,2022
2,Reid Bauer,P,12,0,0,,0,0,,0,23,1025,44.6,,arkansas,2022
3,Max Fletcher,P,9,0,0,,0,0,,0,38,1424,37.5,,arkansas,2022
1,Cam Little,K,12,33,33,100.0,20,24,83.3,93,0,0,,,arkansas,2023
2,Max Fletcher,P,12,0,0,,0,0,,0,59,2770,46.9,,arkansas,2023
