rk,player,pos,g,solo,ast,comb,tfl,sk,int,yds,avg,int_td,pd,fr,yds_2,frtd,ff,awards,Team,Year,ret,y_ret,krtd,ret_2,y_ret_2,prtd,ap_yd,xpm,xpa,xp_percent,fgm,fga,fg_percent,pts,pnt,y_p,Rk,Player,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,att,y_a,td,y_g,rec,y_r,td_2,y_g_2,plays,yds_3,td_3,rush,oth_td,x2pm,sfty,pts_g
13.0,A'Jon Vivens,RB,9.0,1.0,0.0,1.0,0.0,0.0,0.0,324.0,4.0,0.0,0.0,0.0,73.0,0.0,0.0,,colorado-state,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,3.6,0.0,36.0,10.0,7.3,0.0,8.1,100.0,397.0,0.0,,,,,
15.0,A'Jon Vivens,RB,5.0,,,,,,,104.0,3.0,,,,26.0,,,,colorado-state,2022,6.0,22.2,0.0,0.0,,0.0,263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,2.7,0.0,20.8,4.0,6.5,0.0,5.2,43.0,130.0,0.0,,,,,
19.0,A'Khori Jones,S,11.0,15.0,3.0,18.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,liberty,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,A'Khori Jones,S,12.0,9.0,7.0,16.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,liberty,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,A'Marion McCoy,CB,14.0,24.0,7.0,31.0,2.0,1.0,3.0,41.0,13.7,0.0,6.0,0.0,0.0,0.0,0.0,,boise-state,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,A'Marion Peterson,RB,2.0,,,,,,,14.0,7.0,,,,0.0,,,,southern-california,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,0.0,7.0,0.0,,0.0,0.0,2.0,14.0,0.0,,,,,
36.0,A'Mauri Washington,DL,8.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,oregon,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,A'varius Sparrow,RB,3.0,,,,,,,18.0,4.9,,,,46.0,,,,middle-tennessee-state,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.3,0.0,6.0,5.0,9.2,0.0,15.3,13.0,64.0,0.0,,,,,
8.0,A'varius Sparrow,RB,4.0,,,,,,,4.0,1.3,0.0,,,0.0,0.0,,,west-virginia,2021,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,6.0,,,,,,,,,,,,,,,,,,,,,3.0,1.3,1.0,1.0,0.0,,0.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,1.5
26.0,A.D. Diamond,CB,7.0,1.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,alabama-birmingham,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,A.J. Abbott,WR,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.2,0.0,0.0,0.0,61.0,0.0,0.0,,western-michigan,2022,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,6.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,0.0,1.0,12.2,1.0,15.3,5.0,61.0,1.0,0.0,0.0,0.0,0.0,1.5
18.0,A.J. Abbott,WR,3.0,,,,,,,0.0,7.0,,,,7.0,,,,wisconsin,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1.0,7.0,0.0,2.3,1.0,7.0,0.0,,,,,
4.0,A.J. Brathwaite Jr.,DB,12.0,39.0,25.0,64.0,3.0,1.0,1.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,,western-kentucky,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,A.J. Brathwaite Jr.,DB,8.0,12.0,4.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,western-kentucky,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,A.J. Brown,RB,1.0,,,,,,,2.0,2.0,,,,0.0,,,,georgia-southern,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0.0,2.0,0.0,,0.0,0.0,1.0,2.0,0.0,,,,,
