"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Amari Terry","WR","13","2","11","5.5","0","0.8","7","187","26.7","1","14.4","9","198","22.0","1","","air-force","2022"
"2","John Lee Eldridge III","RB","13","99","766","7.7","4","58.9","1","4","4.0","0","0.3","100","770","7.7","4","","air-force","2022"
"3","James Bryant","TE","13","0","0","","0","0.0","1","7","7.0","0","0.5","1","7","7.0","0","","air-force","2022"
"4","Haaziq Daniels","QB","13","138","695","5.0","8","53.5","0","0","","0","0.0","138","695","5.0","8","","air-force","2022"
"5","David Cormier","WR","13","0","0","","0","0.0","15","404","26.9","4","31.1","15","404","26.9","4","","air-force","2022"
"6","Caleb Rillos","TE","13","0","0","","0","0.0","2","30","15.0","1","2.3","2","30","15.0","1","","air-force","2022"
"7","Brandon Engel","WR","13","0","0","","0","0.0","3","40","13.3","0","3.1","3","40","13.3","0","","air-force","2022"
"8","Brad Roberts","RB","13","345","1728","5.0","17","132.9","1","9","9.0","0","0.7","346","1737","5.0","17","","air-force","2022"
"9","Ben Jefferson","WR","13","8","67","8.4","0","5.2","1","17","17.0","0","1.3","9","84","9.3","0","","air-force","2022"
"10","Omar Fattah","FB","12","28","130","4.6","0","10.8","0","0","","0","0.0","28","130","4.6","0","","air-force","2022"
"11","Emmanuel Michel","FB","10","52","252","4.8","2","25.2","0","0","","0","0.0","52","252","4.8","2","","air-force","2022"
"12","DeAndre Hughes","RB","9","23","113","4.9","1","12.6","1","22","22.0","0","2.4","24","135","5.6","1","","air-force","2022"
"13","Jensen Jones","QB","7","14","82","5.9","2","11.7","0","0","","0","0.0","14","82","5.9","2","","air-force","2022"
"14","Kyle Patterson","TE","7","0","0","","0","0.0","3","32","10.7","0","4.6","3","32","10.7","0","","air-force","2022"
"15","Jalen Johnson","RB","6","2","102","51.0","1","17.0","0","0","","0","0.0","2","102","51.0","1","","air-force","2022"
"16","Owen Burk","RB","6","16","43","2.7","0","7.2","0","0","","0","0.0","16","43","2.7","0","","air-force","2022"
"17","Zachar Larrier","QB","6","12","60","5.0","0","10.0","2","31","15.5","0","5.2","14","91","6.5","0","","air-force","2022"
"18","Ben Brittain","QB","5","3","25","8.3","0","5.0","0","0","","0","0.0","3","25","8.3","0","","air-force","2022"
"19","Cade Harris","WR","4","1","2","2.0","0","0.5","2","45","22.5","1","11.3","3","47","15.7","1","","air-force","2022"
"20","Aiden Calvert","RB","4","4","45","11.3","1","11.3","0","0","","0","0.0","4","45","11.3","1","","air-force","2022"
"21","Jet Harris","FB","3","17","70","4.1","0","23.3","0","0","","0","0.0","17","70","4.1","0","","air-force","2022"
"22","Dane Kinamon","WR","3","5","98","19.6","1","32.7","2","88","44.0","1","29.3","7","186","26.6","2","","air-force","2022"
"23","Cannon Turner","QB","3","2","12","6.0","0","4.0","0","0","","0","0.0","2","12","6.0","0","","air-force","2022"
"24","Sione Angilau","RB","2","3","9","3.0","0","4.5","0","0","","0","0.0","3","9","3.0","0","","air-force","2022"
"25","Kale Gibbs","RB","1","1","4","4.0","0","4.0","0","0","","0","0.0","1","4","4.0","0","","air-force","2022"
"26","Wesley Erwin","RB","1","1","5","5.0","0","5.0","0","0","","0","0.0","1","5","5.0","0","","air-force","2022"
