"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Trea Shropshire","WR","13","0","0","","0","0.0","27","703","26.0","7","54.1","27","703","26.0","7","","alabama-birmingham","2021"
"2","DeWayne McBride","RB","13","204","1371","6.7","13","105.5","3","19","6.3","0","1.5","207","1390","6.7","13","","alabama-birmingham","2021"
"3","Dylan Hopkins","QB","13","85","19","0.2","5","1.5","0","0","","0","0.0","85","19","0.2","5","","alabama-birmingham","2021"
"4","Gerrit Prince","TE","13","1","0","0.0","0","0.0","36","699","19.4","10","53.8","37","699","18.9","10","","alabama-birmingham","2021"
"5","Hayden Pittman","TE","13","0","0","","0","0.0","22","192","8.7","1","14.8","22","192","8.7","1","","alabama-birmingham","2021"
"6","Jermaine Brown Jr.","RB","13","123","631","5.1","7","48.5","23","200","8.7","0","15.4","146","831","5.7","7","","alabama-birmingham","2021"
"7","Kyle Greenwell","P","13","1","16","16.0","0","1.2","0","0","","0","0.0","1","16","16.0","0","","alabama-birmingham","2021"
"8","Lucious Stanley","RB","13","38","213","5.6","1","16.4","5","56","11.2","0","4.3","43","269","6.3","1","","alabama-birmingham","2021"
"9","Rajae' Johnson-Sanders","WR","12","2","-1","-0.5","0","-0.1","23","394","17.1","1","32.8","25","393","15.7","1","","alabama-birmingham","2021"
"10","Samario Rudolph","WR","12","1","9","9.0","0","0.8","6","41","6.8","1","3.4","7","50","7.1","1","","alabama-birmingham","2021"
"11","Tejhaun Palmer","WR","12","0","0","","0","0.0","6","72","12.0","0","6.0","6","72","12.0","0","","alabama-birmingham","2021"
"12","A.J. Davis","WR","11","1","-3","-3.0","0","-0.3","10","95","9.5","0","8.6","11","92","8.4","0","","alabama-birmingham","2021"
"13","Larry Wooden","RB","11","19","68","3.6","1","6.2","0","0","","0","0.0","19","68","3.6","1","","alabama-birmingham","2021"
"14","Ryan Davis","WR","9","0","0","","0","0.0","13","161","12.4","0","17.9","13","161","12.4","0","","alabama-birmingham","2021"
"15","TJ Jones","WR","8","3","13","4.3","0","1.6","8","50","6.3","0","6.3","11","63","5.7","0","","alabama-birmingham","2021"
"16","Tyler Johnston III","QB","6","12","9","0.8","0","1.5","0","0","","0","0.0","12","9","0.8","0","","alabama-birmingham","2021"
"17","A.J. Gates","RB","3","7","24","3.4","0","8.0","0","0","","0","0.0","7","24","3.4","0","","alabama-birmingham","2021"
"18","Tyetus Smith-Lindsey","","2","1","-5","-5.0","0","-2.5","0","0","","0","0.0","1","-5","-5.0","0","","alabama-birmingham","2021"
"19","Bryson Lucero","QB","1","1","3","3.0","0","3.0","0","0","","0","0.0","1","3","3.0","0","","alabama-birmingham","2021"
"20","Tyetus Smith-Lindsay","RB","1","1","-5","-5.0","0","-5.0","0","0","","0","0.0","1","-5","-5.0","0","","alabama-birmingham","2021"
