"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Bryce Young","QB","15","81","0","0.0","3","0.0","0","0","","0","0.0","81","0","0.0","3","H-1,Maxwell,AA","alabama","2021"
"2","Cameron Latu","TE","15","0","0","","0","0.0","26","410","15.8","8","27.3","26","410","15.8","8","","alabama","2021"
"3","Traeshon Holden","WR","15","0","0","","0","0.0","21","239","11.4","1","15.9","21","239","11.4","1","","alabama","2021"
"4","Ja'Corey Brooks","WR","15","0","0","","0","0.0","15","192","12.8","2","12.8","15","192","12.8","2","","alabama","2021"
"5","Jahleel Billingsley","TE","15","0","0","","0","0.0","17","256","15.1","3","17.1","17","256","15.1","3","","alabama","2021"
"6","Slade Bolden","WR","15","1","0","0.0","0","0.0","42","408","9.7","3","27.2","43","408","9.5","3","","alabama","2021"
"7","Jameson Williams","WR","15","3","23","7.7","0","1.5","79","1572","19.9","15","104.8","82","1595","19.5","15","","alabama","2021"
"8","Brian Robinson Jr.","RB","14","271","1343","5.0","14","95.9","35","296","8.5","2","21.1","306","1639","5.4","16","","alabama","2021"
"9","Demouy Kennedy","LB","14","7","16","2.3","0","1.1","0","0","","0","0.0","7","16","2.3","0","","alabama","2021"
"10","Trey Sanders","RB","13","72","314","4.4","2","24.2","6","55","9.2","0","4.2","78","369","4.7","2","","alabama","2021"
"11","John Metchie","WR","13","1","8","8.0","0","0.6","96","1142","11.9","8","87.8","97","1150","11.9","8","","alabama","2021"
"12","Jojo Earle","WR","12","0","0","","0","0.0","12","148","12.3","0","12.3","12","148","12.3","0","","alabama","2021"
"13","Javon Baker","WR","11","0","0","","0","0.0","7","101","14.4","1","9.2","7","101","14.4","1","","alabama","2021"
"14","Robbie Ouzts","TE","11","0","0","","0","0.0","1","8","8.0","0","0.7","1","8","8.0","0","","alabama","2021"
"15","Roydell Williams","RB","10","48","284","5.9","1","28.4","5","57","11.4","1","5.7","53","341","6.4","2","","alabama","2021"
"16","Christian Leary","WR","8","3","22","7.3","0","2.8","2","4","2.0","1","0.5","5","26","5.2","1","","alabama","2021"
"17","Agiye Hall","WR","7","0","0","","0","0.0","4","72","18.0","0","10.3","4","72","18.0","0","","alabama","2021"
"18","Jase McClellan","RB","5","40","191","4.8","1","38.2","10","97","9.7","3","19.4","50","288","5.8","4","","alabama","2021"
"19","Thaiu Jones-Bell","WR","5","0","0","","0","0.0","2","16","8.0","0","3.2","2","16","8.0","0","","alabama","2021"
"20","Jalen Milroe","QB","4","15","57","3.8","0","14.3","0","0","","0","0.0","15","57","3.8","0","","alabama","2021"
