"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Cam Johnson","WR","12","0","0","","0","0.0","10","84","8.4","0","7.0","10","84","8.4","0","","arizona-state","2022"
"2","Case Hatch","FB","12","1","0","0.0","0","0.0","0","0","","0","0.0","1","0","0.0","0","","arizona-state","2022"
"3","Xazavian Valladay","RB","12","215","1192","5.5","16","99.3","37","289","7.8","2","24.1","252","1481","5.9","18","","arizona-state","2022"
"4","Elijhah Badger","WR","12","4","23","5.8","0","1.9","70","866","12.4","7","72.2","74","889","12.0","7","","arizona-state","2022"
"5","Andre Johnson","WR","12","0","0","","0","0.0","15","130","8.7","1","10.8","15","130","8.7","1","","arizona-state","2022"
"6","Giovanni Sanders","WR","12","1","0","0.0","0","0.0","40","500","12.5","1","41.7","41","500","12.2","1","","arizona-state","2022"
"7","Jalin Conyers","TE","12","0","0","","0","0.0","38","422","11.1","5","35.2","38","422","11.1","5","","arizona-state","2022"
"8","Messiah Swinson","TE","12","0","0","","0","0.0","15","185","12.3","2","15.4","15","185","12.3","2","","arizona-state","2022"
"9","Bryan Thompson","WR","11","0","0","","0","0.0","25","377","15.1","0","34.3","25","377","15.1","0","","arizona-state","2022"
"10","Charles Hall","WR","11","2","37","18.5","0","3.4","9","104","11.6","0","9.5","11","141","12.8","0","","arizona-state","2022"
"11","Daniyel Ngata","RB","11","54","272","5.0","1","24.7","9","53","5.9","0","4.8","63","325","5.2","1","","arizona-state","2022"
"12","George Hart III","RB","10","3","6","2.0","0","0.6","0","0","","0","0.0","3","6","2.0","0","","arizona-state","2022"
"13","Emory Jones","QB","8","59","31","0.5","4","3.9","0","0","","0","0.0","59","31","0.5","4","","arizona-state","2022"
"14","Trenton Bourguet","QB","7","24","10","0.4","0","1.4","0","0","","0","0.0","24","10","0.4","0","","arizona-state","2022"
"15","Tevin White","RB","5","14","67","4.8","0","13.4","1","8","8.0","0","1.6","15","75","5.0","0","","arizona-state","2022"
"16","Chad Johnson Jr.","WR","4","0","0","","0","0.0","1","5","5.0","0","1.3","1","5","5.0","0","","arizona-state","2022"
"17","Zeek Freeman","WR","3","1","4","4.0","0","1.3","0","0","","0","0.0","1","4","4.0","0","","arizona-state","2022"
