"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Jacob Cowing","WR","13","5","26","5.2","0","2.0","90","848","9.4","13","65.2","95","874","9.2","13","","arizona","2023"
"2","Jonah Coleman","RB","13","128","871","6.8","5","67.0","25","283","11.3","1","21.8","153","1154","7.5","6","","arizona","2023"
"3","Keyan Burnett","TE","13","0","0","","0","0.0","3","34","11.3","0","2.6","3","34","11.3","0","","arizona","2023"
"4","Montana Lemonious-Craig","WR","13","0","0","","0","0.0","28","296","10.6","3","22.8","28","296","10.6","3","","arizona","2023"
"5","Nazar Bombata","RB","13","1","11","11.0","0","0.8","0","0","","0","0.0","1","11","11.0","0","","arizona","2023"
"6","Rayshon Luke","RB","13","37","153","4.1","1","11.8","4","95","23.8","0","7.3","41","248","6.0","1","","arizona","2023"
"7","Roberto Miranda","TE","13","0","0","","0","0.0","1","0","0.0","0","0.0","1","0","0.0","0","","arizona","2023"
"8","Tanner McLachlan","TE","13","0","0","","0","0.0","45","528","11.7","4","40.6","45","528","11.7","4","","arizona","2023"
"9","Tetairoa McMillan","WR","13","1","3","3.0","0","0.2","90","1402","15.6","10","107.8","91","1405","15.4","10","","arizona","2023"
"10","D.J. Williams","RB","12","85","372","4.4","5","31.0","1","2","2.0","0","0.2","86","374","4.3","5","","arizona","2023"
"11","Noah Fifita","QB","12","38","-33","-0.9","0","-2.8","0","0","","0","0.0","38","-33","-0.9","0","","arizona","2023"
"12","Kevin Green Jr.","WR","11","0","0","","0","0.0","8","97","12.1","0","8.8","8","97","12.1","0","","arizona","2023"
"13","Malachi Riley","WR","11","0","0","","0","0.0","4","90","22.5","0","8.2","4","90","22.5","0","","arizona","2023"
"14","AJ Jones","WR","10","0","0","","0","0.0","5","27","5.4","0","2.7","5","27","5.4","0","","arizona","2023"
"15","Michael Wiley","RB","10","70","311","4.4","3","31.1","28","306","10.9","5","30.6","98","617","6.3","8","","arizona","2023"
"16","Jayden De Laura","QB","7","21","121","5.8","3","17.3","0","0","","0","0.0","21","121","5.8","3","","arizona","2023"
