"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Corey Rucker","WR","13","1","6","6.0","0","0.5","36","705","19.6","2","54.2","37","711","19.2","2","","arkansas-state","2023"
"2","Courtney Jackson","WR","13","1","5","5.0","0","0.4","39","689","17.7","7","53.0","40","694","17.4","7","","arkansas-state","2023"
"3","Ja'Quez Cross","RB","13","128","716","5.6","7","55.1","24","161","6.7","0","12.4","152","877","5.8","7","","arkansas-state","2023"
"4","Jeff Foreman","WR","13","0","0","","0","0.0","29","573","19.8","4","44.1","29","573","19.8","4","","arkansas-state","2023"
"5","Reagan Ealy","WR","13","0","0","","0","0.0","19","205","10.8","1","15.8","19","205","10.8","1","","arkansas-state","2023"
"6","Kevin Diaz","TE","13","0","0","","0","0.0","3","27","9.0","0","2.1","3","27","9.0","0","","arkansas-state","2023"
"7","Zak Wallace","RB","12","126","575","4.6","6","47.9","6","23","3.8","0","1.9","132","598","4.5","6","","arkansas-state","2023"
"8","DeAndra Burns Jr.","WR","12","1","1","1.0","0","0.1","0","0","","0","0.0","1","1","1.0","0","","arkansas-state","2023"
"9","Miller McCrumby","TE","12","0","0","","0","0.0","14","129","9.2","0","10.8","14","129","9.2","0","","arkansas-state","2023"
"10","Adam Jones","WR","11","0","0","","0","0.0","11","195","17.7","1","17.7","11","195","17.7","1","","arkansas-state","2023"
"11","Jaylen Raynor","QB","11","123","373","3.0","5","33.9","0","0","","0","0.0","123","373","3.0","5","","arkansas-state","2023"
"12","Tennel Bryant","WR","9","0","0","","0","0.0","5","39","7.8","0","4.3","5","39","7.8","0","","arkansas-state","2023"
"13","Cedric Hawkins","RB","8","31","156","5.0","2","19.5","2","32","16.0","0","4.0","33","188","5.7","2","","arkansas-state","2023"
"14","Emmanual Stevenson","TE","8","0","0","","0","0.0","18","129","7.2","2","16.1","18","129","7.2","2","","arkansas-state","2023"
"15","Mike Sharpe II","RB","8","9","34","3.8","0","4.3","0","0","","0","0.0","9","34","3.8","0","","arkansas-state","2023"
"16","Jaxon Dailey","QB","5","11","29","2.6","0","5.8","0","0","","0","0.0","11","29","2.6","0","","arkansas-state","2023"
"17","Brian Snead","RB","4","16","39","2.4","0","9.8","1","7","7.0","0","1.8","17","46","2.7","0","","arkansas-state","2023"
"18","JT Shrout","QB","2","4","-12","-3.0","0","-6.0","1","24","24.0","0","12.0","5","12","2.4","0","","arkansas-state","2023"
"19","Chauncy Cobb","WR","1","1","8","8.0","0","8.0","0","0","","0","0.0","1","8","8.0","0","","arkansas-state","2023"
