"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Bryce Stephens","WR","13","1","21","21.0","0","1.6","9","109","12.1","1","8.4","10","130","13.0","1","","arkansas","2022"
"2","Rashod Dubinion","RB","13","71","293","4.1","5","22.5","12","108","9.0","1","8.3","83","401","4.8","6","","arkansas","2022"
"3","Raheim Sanders","RB","13","222","1443","6.5","10","111.0","28","271","9.7","2","20.8","250","1714","6.9","12","","arkansas","2022"
"4","Matt Landers","WR","13","2","21","10.5","0","1.6","47","901","19.2","8","69.3","49","922","18.8","8","","arkansas","2022"
"5","AJ Green","RB","13","87","414","4.8","3","31.8","6","75","12.5","0","5.8","93","489","5.3","3","","arkansas","2022"
"6","Ketron Jackson Jr.","WR","12","1","19","19.0","0","1.6","16","277","17.3","3","23.1","17","296","17.4","3","","arkansas","2022"
"7","Trey Knox","WR","12","1","0","0.0","0","0.0","26","287","11.0","5","23.9","27","287","10.6","5","","arkansas","2022"
"8","Jadon Haselwood","WR","12","8","7","0.9","0","0.6","59","704","11.9","3","58.7","67","711","10.6","3","","arkansas","2022"
"9","Harper Cole","WR","12","0","0","","0","0.0","1","10","10.0","0","0.8","1","10","10.0","0","","arkansas","2022"
"10","K.J. Jefferson","QB","11","158","640","4.1","9","58.2","0","0","","0","0.0","158","640","4.1","9","","arkansas","2022"
"11","Nathan Bax","TE","11","0","0","","0","0.0","3","16","5.3","0","1.5","3","16","5.3","0","","arkansas","2022"
"12","Hudson Henry","TE","10","0","0","","0","0.0","4","27","6.8","0","2.7","4","27","6.8","0","","arkansas","2022"
"13","Warren Thompson","WR","9","0","0","","0","0.0","12","178","14.8","2","19.8","12","178","14.8","2","","arkansas","2022"
"14","Jaedon Wilson","WR","8","0","0","","0","0.0","3","49","16.3","0","6.1","3","49","16.3","0","","arkansas","2022"
"15","Malik Hornsby","QB","8","31","172","5.5","0","21.5","2","8","4.0","0","1.0","33","180","5.5","0","","arkansas","2022"
"16","Ty Washington","TE","5","0","0","","0","0.0","1","17","17.0","1","3.4","1","17","17.0","1","","arkansas","2022"
"17","Isaiah Sategna","WR","4","0","0","","0","0.0","2","12","6.0","0","3.0","2","12","6.0","0","","arkansas","2022"
"18","Dominique Johnson","RB","4","8","43","5.4","0","10.8","0","0","","0","0.0","8","43","5.4","0","","arkansas","2022"
"19","Cade Fortin","QB","3","7","17","2.4","0","5.7","0","0","","0","0.0","7","17","2.4","0","","arkansas","2022"
"20","James Jointer","RB","1","3","9","3.0","0","9.0","0","0","","0","0.0","3","9","3.0","0","","arkansas","2022"
