"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Amir Abdur-Rahman","WR","12","0","0","","0","0.0","23","229","10.0","1","19.1","23","229","10.0","1","","ball-state","2022"
"2","Brady Hunt","TE","12","0","0","","0","0.0","46","498","10.8","5","41.5","46","498","10.8","5","","ball-state","2022"
"3","Carson Steele","RB","12","289","1556","5.4","14","129.7","29","166","5.7","1","13.8","318","1722","5.4","15","","ball-state","2022"
"4","Jayson Jackson","WR","12","13","105","8.1","0","8.8","73","823","11.3","3","68.6","86","928","10.8","3","","ball-state","2022"
"5","John Paddock","QB","12","27","-84","-3.1","0","-7.0","0","0","","0","0.0","27","-84","-3.1","0","","ball-state","2022"
"6","Ryan Lezon","TE","12","1","3","3.0","0","0.3","5","33","6.6","0","2.8","6","36","6.0","0","","ball-state","2022"
"7","Tanner Koziol","TE","12","0","0","","0","0.0","35","373","10.7","7","31.1","35","373","10.7","7","","ball-state","2022"
"8","Vaughn Pemberton","RB","12","35","133","3.8","0","11.1","7","29","4.1","0","2.4","42","162","3.9","0","","ball-state","2022"
"9","Will Jones","RB","12","15","41","2.7","0","3.4","9","69","7.7","0","5.8","24","110","4.6","0","","ball-state","2022"
"10","Casey Coll","TE","11","0","0","","0","0.0","2","27","13.5","0","2.5","2","27","13.5","0","","ball-state","2022"
"11","Yo'Heinz Tyler","WR","11","0","0","","0","0.0","49","441","9.0","1","40.1","49","441","9.0","1","","ball-state","2022"
"12","Nick Presley","WR","10","1","5","5.0","0","0.5","6","35","5.8","0","3.5","7","40","5.7","0","","ball-state","2022"
"13","Dean Tate","WR","7","1","0","0.0","0","0.0","3","19","6.3","0","2.7","4","19","4.8","0","","ball-state","2022"
"14","Donny Marcus","RB","3","3","1","0.3","0","0.3","0","0","","0","0.0","3","1","0.3","0","","ball-state","2022"
"15","Rico Barfield","RB","3","15","60","4.0","0","20.0","0","0","","0","0.0","15","60","4.0","0","","ball-state","2022"
"16","Kiael Kelly","QB","1","8","83","10.4","0","83.0","0","0","","0","0.0","8","83","10.4","0","","ball-state","2022"
