"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Grant Miller","OL","14","0","0","","0","0.0","1","-2","-2.0","0","-0.1","1","-2","-2.0","0","","baylor","2021"
"2","Tyquan Thornton","WR","14","1","-11","-11.0","0","-0.8","62","948","15.3","10","67.7","63","937","14.9","10","","baylor","2021"
"3","Trestan Ebner","RB","14","148","799","5.4","2","57.1","28","284","10.1","2","20.3","176","1083","6.2","4","","baylor","2021"
"4","R.J. Sneed","WR","14","2","0","0.0","0","0.0","46","573","12.5","2","40.9","48","573","11.9","2","","baylor","2021"
"5","Abram Smith","RB","14","257","1621","6.3","12","115.8","13","75","5.8","0","5.4","270","1696","6.3","12","","baylor","2021"
"6","Drake Dabney","TE","14","0","0","","0","0.0","10","91","9.1","2","6.5","10","91","9.1","2","","baylor","2021"
"7","Dillon Doyle","LB","14","3","7","2.3","1","0.5","1","2","2.0","1","0.1","4","9","2.3","2","","baylor","2021"
"8","Ben Sims","TE","14","1","1","1.0","1","0.1","31","361","11.6","6","25.8","32","362","11.3","7","","baylor","2021"
"9","Gavin Yates","TE","13","1","2","2.0","1","0.2","4","35","8.8","0","2.7","5","37","7.4","1","","baylor","2021"
"10","Jacoby Clarke","RB","13","2","9","4.5","0","0.7","0","0","","0","0.0","2","9","4.5","0","","baylor","2021"
"11","Drew Estrada","WR","12","8","4","0.5","0","0.3","30","367","12.2","1","30.6","38","371","9.8","1","","baylor","2021"
"12","Gerry Bohanon","QB","12","76","323","4.3","9","26.9","1","0","0.0","0","0.0","77","323","4.2","9","","baylor","2021"
"13","Taye McWilliams","RB","10","17","181","10.6","2","18.1","0","0","","0","0.0","17","181","10.6","2","","baylor","2021"
"14","Josh Fleeks","WR","9","3","11","3.7","0","1.2","7","89","12.7","0","9.9","10","100","10.0","0","","baylor","2021"
"15","Hal Presley","WR","8","1","13","13.0","0","1.6","1","15","15.0","0","1.9","2","28","14.0","0","","baylor","2021"
"16","Monaray Baldwin","WR","8","6","87","14.5","1","10.9","1","7","7.0","0","0.9","7","94","13.4","1","","baylor","2021"
"17","Blake Shapen","QB","6","21","59","2.8","0","9.8","0","0","","0","0.0","21","59","2.8","0","","baylor","2021"
"18","Craig Williams","RB","2","4","15","3.8","0","7.5","0","0","","0","0.0","4","15","3.8","0","","baylor","2021"
"19","Jacob Zeno","QB","2","3","-3","-1.0","0","-1.5","0","0","","0","0.0","3","-3","-1.0","0","","baylor","2021"
"20","Jaylen Ellis","WR","2","0","0","","0","0.0","1","3","3.0","0","1.5","1","3","3.0","0","","baylor","2021"
"21","Brandon Bass","QB","1","1","1","1.0","0","1.0","0","0","","0","0.0","1","1","1.0","0","","baylor","2021"
