"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Billy Bowens","WR","14","1","12","12.0","0","0.9","32","462","14.4","4","33.0","33","474","14.4","4","","boise-state","2022"
"2","Ashton Jeanty","RB","14","156","821","5.3","7","58.6","14","155","11.1","0","11.1","170","976","5.7","7","","boise-state","2022"
"3","Tyler Crowe","RB","14","15","109","7.3","0","7.8","2","30","15.0","0","2.1","17","139","8.2","0","","boise-state","2022"
"4","Matt Lauter","TE","14","0","0","","0","0.0","4","40","10.0","0","2.9","4","40","10.0","0","","boise-state","2022"
"5","Latrell Caples","WR","14","2","6","3.0","0","0.4","51","549","10.8","4","39.2","53","555","10.5","4","","boise-state","2022"
"6","Tyneil Hopper","TE","13","0","0","","0","0.0","13","108","8.3","0","8.3","13","108","8.3","0","","boise-state","2022"
"7","Taylen Green","QB","13","81","588","7.3","10","45.2","0","0","","0","0.0","81","588","7.3","10","","boise-state","2022"
"8","Scott Matlock","DT","13","0","0","","0","0.0","1","1","1.0","1","0.1","1","1","1.0","1","","boise-state","2022"
"9","Kurt Rafdal","TE","13","0","0","","0","0.0","1","2","2.0","0","0.2","1","2","2.0","0","","boise-state","2022"
"10","George Holani","RB","13","221","1157","5.2","10","89.0","24","151","6.3","3","11.6","245","1308","5.3","13","","boise-state","2022"
"11","Eric McAlister","WR","13","0","0","","0","0.0","11","259","23.5","4","19.9","11","259","23.5","4","","boise-state","2022"
"12","Elelyon Noa","RB","12","33","133","4.0","0","11.1","2","16","8.0","0","1.3","35","149","4.3","0","","boise-state","2022"
"13","Shea Whiting","WR","12","0","0","","0","0.0","3","1","0.3","0","0.1","3","1","0.3","0","","boise-state","2022"
"14","Stefan Cobbs","WR","12","1","7","7.0","0","0.6","29","396","13.7","2","33.0","30","403","13.4","2","","boise-state","2022"
"15","Davis Koetter","WR","12","1","-6","-6.0","0","-0.5","14","221","15.8","1","18.4","15","215","14.3","1","","boise-state","2022"
"16","Riley Smith","TE","11","0","0","","0","0.0","25","214","8.6","1","19.5","25","214","8.6","1","","boise-state","2022"
"17","Cole Wright","WR","10","0","0","","0","0.0","2","59","29.5","0","5.9","2","59","29.5","0","","boise-state","2022"
"18","Kaden Dudley","RB","8","8","16","2.0","0","2.0","1","4","4.0","0","0.5","9","20","2.2","0","","boise-state","2022"
"19","Hank Bachmeier","QB","4","12","-26","-2.2","0","-6.5","0","0","","0","0.0","12","-26","-2.2","0","","boise-state","2022"
"20","Ethan Mikita","RB","4","1","3","3.0","0","0.8","0","0","","0","0.0","1","3","3.0","0","","boise-state","2022"
"21","Sam Vidlak","QB","3","2","-15","-7.5","0","-5.0","0","0","","0","0.0","2","-15","-7.5","0","","boise-state","2022"
"22","Colt Fulton","QB","2","1","7","7.0","0","3.5","0","0","","0","0.0","1","7","7.0","0","","boise-state","2022"
"23","Maddux Madsen","QB","1","1","1","1.0","0","1.0","0","0","","0","0.0","1","1","1.0","0","","boise-state","2022"
