"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Zay Flowers","WR","12","12","40","3.3","0","3.3","78","1077","13.8","12","89.8","90","1117","12.4","12","","boston-college","2022"
"2","Taji Johnson","WR","12","0","0","","0","0.0","9","91","10.1","0","7.6","9","91","10.1","0","","boston-college","2022"
"3","Danny Longman","K","12","1","24","24.0","0","2.0","0","0","","0","0.0","1","24","24.0","0","","boston-college","2022"
"4","Dino Tomlin","WR","12","0","0","","0","0.0","10","181","18.1","0","15.1","10","181","18.1","0","","boston-college","2022"
"5","Patrick Garwo","RB","12","132","402","3.0","3","33.5","29","241","8.3","0","20.1","161","643","4.0","3","","boston-college","2022"
"6","Hans Lillis","TE","12","0","0","","0","0.0","1","10","10.0","0","0.8","1","10","10.0","0","","boston-college","2022"
"7","Jack Conley","OL","12","0","0","","0","0.0","1","-1","-1.0","0","-0.1","1","-1","-1.0","0","","boston-college","2022"
"8","Jaelen Gill","WR","12","0","0","","0","0.0","27","388","14.4","0","32.3","27","388","14.4","0","","boston-college","2022"
"9","Spencer Witter","TE","11","0","0","","0","0.0","4","40","10.0","0","3.6","4","40","10.0","0","","boston-college","2022"
"10","Alex Broome","RB","10","50","225","4.5","1","22.5","26","166","6.4","1","16.6","76","391","5.1","2","","boston-college","2022"
"11","Joe Griffin","WR","10","0","0","","0","0.0","18","234","13.0","5","23.4","18","234","13.0","5","","boston-college","2022"
"12","Emmett Morehead","QB","10","43","-22","-0.5","0","-2.2","0","0","","0","0.0","43","-22","-0.5","0","","boston-college","2022"
"13","Jeremiah Franklin","TE","9","0","0","","0","0.0","5","27","5.4","0","3.0","5","27","5.4","0","","boston-college","2022"
"14","George Takacs","TE","9","0","0","","0","0.0","26","256","9.8","1","28.4","26","256","9.8","1","","boston-college","2022"
"15","Alec Sinkfield","RB","9","3","4","1.3","0","0.4","4","23","5.8","0","2.6","7","27","3.9","0","","boston-college","2022"
"16","Phil Jurkovec","QB","8","68","-43","-0.6","1","-5.4","0","0","","0","0.0","68","-43","-0.6","1","","boston-college","2022"
"17","Xavier Coleman","RB","8","21","91","4.3","0","11.4","3","6","2.0","0","0.8","24","97","4.0","0","","boston-college","2022"
"18","Cam Barfield","RB","7","25","53","2.1","0","7.6","3","-1","-0.3","0","-0.1","28","52","1.9","0","","boston-college","2022"
"19","Jaden Williams","WR","6","2","8","4.0","1","1.3","11","170","15.5","2","28.3","13","178","13.7","3","","boston-college","2022"
"20","Lewis Bond","WR","6","0","0","","0","0.0","5","51","10.2","0","8.5","5","51","10.2","0","","boston-college","2022"
"21","Dante Reynolds","WR","6","0","0","","0","0.0","2","6","3.0","0","1.0","2","6","3.0","0","","boston-college","2022"
