"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Tyrone Broden","WR","13","0","0","","0","0.0","32","506","15.8","7","38.9","32","506","15.8","7","","bowling-green-state","2022"
"2","Pasean Wimberly","RB","13","17","59","3.5","0","4.5","0","0","","0","0.0","17","59","3.5","0","","bowling-green-state","2022"
"3","Odieu Hiliare","WR","13","6","5","0.8","0","0.4","58","747","12.9","6","57.5","64","752","11.8","6","","bowling-green-state","2022"
"4","Nick Mosley","RB","13","23","92","4.0","0","7.1","2","14","7.0","0","1.1","25","106","4.2","0","","bowling-green-state","2022"
"5","Mason Lawler","K","13","1","-9","-9.0","0","-0.7","0","0","","0","0.0","1","-9","-9.0","0","","bowling-green-state","2022"
"6","Levi Gazarek","TE","13","1","2","2.0","0","0.2","3","12","4.0","0","0.9","4","14","3.5","0","","bowling-green-state","2022"
"7","Andrew Bench","TE","13","0","0","","0","0.0","10","125","12.5","2","9.6","10","125","12.5","2","","bowling-green-state","2022"
"8","Jaison Patterson","RB","13","135","583","4.3","1","44.8","7","31","4.4","0","2.4","142","614","4.3","1","","bowling-green-state","2022"
"9","Harold Fannin Jr.","TE","12","10","53","5.3","4","4.4","19","218","11.5","1","18.2","29","271","9.3","5","","bowling-green-state","2022"
"10","Taron Keith","RB","12","47","195","4.1","1","16.3","34","333","9.8","4","27.8","81","528","6.5","5","","bowling-green-state","2022"
"11","CJ Lewis","WR","12","1","-1","-1.0","0","-0.1","26","352","13.5","2","29.3","27","351","13.0","2","","bowling-green-state","2022"
"12","Christian Sims","TE","12","2","7","3.5","0","0.6","45","458","10.2","2","38.2","47","465","9.9","2","","bowling-green-state","2022"
"13","Matt McDonald","QB","12","71","10","0.1","1","0.8","1","-2","-2.0","0","-0.2","72","8","0.1","1","","bowling-green-state","2022"
"14","Jamal Johnson","RB","10","55","250","4.5","0","25.0","5","16","3.2","0","1.6","60","266","4.4","0","","bowling-green-state","2022"
"15","Cavon Croom","WR","10","3","8","2.7","0","0.8","18","159","8.8","1","15.9","21","167","8.0","1","","bowling-green-state","2022"
"16","Camden Orth","QB","10","19","51","2.7","1","5.1","0","0","","0","0.0","19","51","2.7","1","","bowling-green-state","2022"
"17","Jhaylin Embry","WR","8","3","26","8.7","0","3.3","2","42","21.0","0","5.3","5","68","13.6","0","","bowling-green-state","2022"
"18","Griffin Little","TE","6","0","0","","0","0.0","2","17","8.5","0","2.8","2","17","8.5","0","","bowling-green-state","2022"
"19","Jaylen Jennings","RB","4","6","28","4.7","0","7.0","0","0","","0","0.0","6","28","4.7","0","","bowling-green-state","2022"
"20","Austin Osborne","WR","4","0","0","","0","0.0","2","23","11.5","0","5.8","2","23","11.5","0","","bowling-green-state","2022"
"21","Jordan Jackson","RB","1","3","5","1.7","0","5.0","0","0","","0","0.0","3","5","1.7","0","","bowling-green-state","2022"
