"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Tyler Batty","DL","12","0","0","","0","0.0","1","36","36.0","0","3.0","1","36","36.0","0","","brigham-young","2023"
"2","Chase Roberts","WR","12","2","12","6.0","0","1.0","42","573","13.6","5","47.8","44","585","13.3","5","","brigham-young","2023"
"3","Isaac Rex","TE","12","0","0","","0","0.0","34","422","12.4","3","35.2","34","422","12.4","3","","brigham-young","2023"
"4","Ryan Rehkow","P","12","1","-5","-5.0","0","-0.4","0","0","","0","0.0","1","-5","-5.0","0","","brigham-young","2023"
"5","Parker Kingston","WR","12","6","4","0.7","0","0.3","19","207","10.9","1","17.3","25","211","8.4","1","","brigham-young","2023"
"6","Mata'ava Ta'ase","TE","12","0","0","","0","0.0","1","4","4.0","0","0.3","1","4","4.0","0","","brigham-young","2023"
"7","Keelan Marion","WR","12","9","40","4.4","3","3.3","20","216","10.8","0","18.0","29","256","8.8","3","","brigham-young","2023"
"8","Mason Fakahua","RB","12","0","0","","0","0.0","6","27","4.5","0","2.3","6","27","4.5","0","","brigham-young","2023"
"9","Enoch Nawahine","RB","11","1","1","1.0","0","0.1","0","0","","0","0.0","1","1","1.0","0","","brigham-young","2023"
"10","Talmage Gunther","WR","11","0","0","","0","0.0","1","3","3.0","0","0.3","1","3","3.0","0","","brigham-young","2023"
"11","Darius Lassiter","WR","10","1","5","5.0","0","0.5","29","365","12.6","4","36.5","30","370","12.3","4","","brigham-young","2023"
"12","Deion Smith","RB","10","23","64","2.8","1","6.4","10","65","6.5","1","6.5","33","129","3.9","2","","brigham-young","2023"
"13","Ray Paulo","TE","10","1","-2","-2.0","0","-0.2","1","-1","-1.0","0","-0.1","2","-3","-1.5","0","","brigham-young","2023"
"14","LJ Martin","RB","10","109","518","4.8","4","51.8","11","45","4.1","1","4.5","120","563","4.7","5","","brigham-young","2023"
"15","Kedon Slovis","QB","8","29","-41","-1.4","3","-5.1","1","2","2.0","0","0.3","30","-39","-1.3","3","","brigham-young","2023"
"16","Kody Epps","WR","8","3","6","2.0","0","0.8","21","259","12.3","0","32.4","24","265","11.0","0","","brigham-young","2023"
"17","Aidan Robbins","RB","8","101","485","4.8","1","60.6","7","33","4.7","0","4.1","108","518","4.8","1","","brigham-young","2023"
"18","Keanu Hill","WR","8","0","0","","0","0.0","12","187","15.6","1","23.4","12","187","15.6","1","","brigham-young","2023"
"19","Ethan Erickson","TE","7","0","0","","0","0.0","2","24","12.0","0","3.4","2","24","12.0","0","","brigham-young","2023"
"20","Miles Davis","RB","5","16","78","4.9","0","15.6","1","-7","-7.0","0","-1.4","17","71","4.2","0","","brigham-young","2023"
"21","Jake Retzlaff","QB","4","51","116","2.3","3","29.0","0","0","","0","0.0","51","116","2.3","3","","brigham-young","2023"
"22","Jojo Phillips","WR","3","0","0","","0","0.0","1","5","5.0","1","1.7","1","5","5.0","1","","brigham-young","2023"
"23","Cade Fennegan","QB","1","2","-5","-2.5","0","-5.0","0","0","","0","0.0","2","-5","-2.5","0","","brigham-young","2023"
