"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Asher Alberding","TE","13","0","0","","0","0.0","1","5","5.0","0","0.4","1","5","5.0","0","","california","2023"
"2","Trond Grizzell","WR","13","0","0","","0","0.0","39","590","15.1","5","45.4","39","590","15.1","5","","california","2023"
"3","Monroe Young","WR","13","3","8","2.7","0","0.6","19","208","10.9","1","16.0","22","216","9.8","1","","california","2023"
"4","Jeremiah Hunter","WR","13","0","0","","0","0.0","63","731","11.6","7","56.2","63","731","11.6","7","","california","2023"
"5","Jack Endries","TE","13","0","0","","0","0.0","35","407","11.6","2","31.3","35","407","11.6","2","","california","2023"
"6","Jaydn Ott","RB","12","246","1315","5.3","12","109.6","25","169","6.8","2","14.1","271","1484","5.5","14","","california","2023"
"7","Brian Hightower","WR","11","0","0","","0","0.0","10","101","10.1","0","9.2","10","101","10.1","0","","california","2023"
"8","Marquis Montgomery","WR","11","0","0","","0","0.0","3","31","10.3","0","2.8","3","31","10.3","0","","california","2023"
"9","Taj Davis","WR","11","1","1","1.0","0","0.1","39","399","10.2","3","36.3","40","400","10.0","3","","california","2023"
"10","Ashton Stredick","RB","10","42","200","4.8","2","20.0","4","27","6.8","0","2.7","46","227","4.9","2","","california","2023"
"11","Fernando Mendoza","QB","9","48","92","1.9","2","10.2","0","0","","0","0.0","48","92","1.9","2","","california","2023"
"12","Mavin Anderson","WR","9","1","6","6.0","0","0.7","8","87","10.9","0","9.7","9","93","10.3","0","","california","2023"
"13","Isaiah Ifanse","RB","8","70","365","5.2","7","45.6","8","50","6.3","1","6.3","78","415","5.3","8","","california","2023"
"14","Jaivian Thomas","RB","8","18","110","6.1","1","13.8","3","24","8.0","1","3.0","21","134","6.4","2","","california","2023"
"15","Ben Finley","QB","7","12","8","0.7","0","1.1","0","0","","0","0.0","12","8","0.7","0","","california","2023"
"16","Justin Williams-Thomas","RB","6","21","91","4.3","0","15.2","1","7","7.0","0","1.2","22","98","4.5","0","","california","2023"
"17","Sam Jackson","QB","5","26","59","2.3","1","11.8","0","0","","0","0.0","26","59","2.3","1","","california","2023"
"18","Andy Alfieri","FB","1","2","4","2.0","0","4.0","0","0","","0","0.0","2","4","2.0","0","","california","2023"
