"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Isaiah Bowser","RB","14","205","799","3.9","16","57.1","14","185","13.2","0","13.2","219","984","4.5","16","","central-florida","2022"
"2","Javon Baker","WR","14","0","0","","0","0.0","56","796","14.2","5","56.9","56","796","14.2","5","","central-florida","2022"
"3","Xavier Townsend","WR","14","5","27","5.4","1","1.9","23","127","5.5","0","9.1","28","154","5.5","1","","central-florida","2022"
"4","Johnny Richardson","RB","14","54","370","6.9","0","26.4","22","122","5.5","1","8.7","76","492","6.5","1","","central-florida","2022"
"5","Tylan Grable","OL","14","1","5","5.0","0","0.4","0","0","","0","0.0","1","5","5.0","0","","central-florida","2022"
"6","Alec Holler","TE","14","0","0","","0","0.0","22","276","12.5","1","19.7","22","276","12.5","1","","central-florida","2022"
"7","John Rhys Plumlee","QB","13","159","862","5.4","11","66.3","1","16","16.0","0","1.2","160","878","5.5","11","","central-florida","2022"
"8","Jordan McDonald","RB","13","11","43","3.9","1","3.3","0","0","","0","0.0","11","43","3.9","1","","central-florida","2022"
"9","R.J. Harvey","RB","13","118","796","6.7","5","61.2","22","215","9.8","0","16.5","140","1011","7.2","5","","central-florida","2022"
"10","Ryan O'Keefe","WR","13","23","222","9.7","0","17.1","73","725","9.9","5","55.8","96","947","9.9","5","","central-florida","2022"
"11","Zach Marsh-Wojan","TE","12","0","0","","0","0.0","1","21","21.0","1","1.8","1","21","21.0","1","","central-florida","2022"
"12","Kobe Hudson","WR","12","0","0","","0","0.0","39","641","16.4","7","53.4","39","641","16.4","7","","central-florida","2022"
"13","Stephen Martin","WR","12","0","0","","0","0.0","4","58","14.5","1","4.8","4","58","14.5","1","","central-florida","2022"
"14","Mark-Antony Richards","RB","11","1","0","0.0","0","0.0","0","0","","0","0.0","1","0","0.0","0","","central-florida","2022"
"15","Trillion Coles","RB","11","3","0","0.0","0","0.0","1","0","0.0","0","0.0","4","0","0.0","0","","central-florida","2022"
"16","Kemore Gamble","TE","11","0","0","","0","0.0","7","118","16.9","1","10.7","7","118","16.9","1","","central-florida","2022"
"17","Jaylon Griffin","WR","7","0","0","","0","0.0","4","47","11.8","0","6.7","4","47","11.8","0","","central-florida","2022"
"18","Thomas Castellanos","QB","5","14","120","8.6","1","24.0","0","0","","0","0.0","14","120","8.6","1","","central-florida","2022"
"19","Mikey Keene","QB","4","13","-13","-1.0","0","-3.3","0","0","","0","0.0","13","-13","-1.0","0","","central-florida","2022"
"20","Dwartney Wortham","WR","2","0","0","","0","0.0","2","30","15.0","0","15.0","2","30","15.0","0","","central-florida","2022"
