"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Marcus Young","TE","12","0","0","","0","0.0","3","16","5.3","0","1.3","3","16","5.3","0","","central-michigan","2022"
"2","Daniel Richardson","QB","12","33","-55","-1.7","0","-4.6","0","0","","0","0.0","33","-55","-1.7","0","","central-michigan","2022"
"3","Josh Rolston","K","12","1","8","8.0","0","0.7","0","0","","0","0.0","1","8","8.0","0","","central-michigan","2022"
"4","Finn Hogan","WR","12","0","0","","0","0.0","19","155","8.2","1","12.9","19","155","8.2","1","","central-michigan","2022"
"5","Carlos Carriere","WR","11","0","0","","0","0.0","45","520","11.6","2","47.3","45","520","11.6","2","","central-michigan","2022"
"6","De'Javion Stepney","DB","11","11","5","0.5","1","0.5","1","2","2.0","0","0.2","12","7","0.6","1","","central-michigan","2022"
"7","Irone Jackson","WR","11","0","0","","0","0.0","3","19","6.3","0","1.7","3","19","6.3","0","","central-michigan","2022"
"8","Jalen McGaughy","WR","11","2","14","7.0","0","1.3","20","313","15.7","2","28.5","22","327","14.9","2","","central-michigan","2022"
"9","Sam Hicks","WR","10","1","4","4.0","0","0.4","1","8","8.0","0","0.8","2","12","6.0","0","","central-michigan","2022"
"10","Christian Brown","RB","10","6","28","4.7","0","2.8","2","21","10.5","0","2.1","8","49","6.1","0","","central-michigan","2022"
"11","Kenny Brewer III","WR","10","0","0","","0","0.0","3","25","8.3","0","2.5","3","25","8.3","0","","central-michigan","2022"
"12","Jake Tafelski","RB","10","3","4","1.3","1","0.4","4","37","9.3","0","3.7","7","41","5.9","1","","central-michigan","2022"
"13","Bryant Kieft","WR","9","0","0","","0","0.0","2","30","15.0","0","3.3","2","30","15.0","0","","central-michigan","2022"
"14","Lew Nichols","RB","9","176","616","3.5","6","68.4","21","128","6.1","0","14.2","197","744","3.8","6","","central-michigan","2022"
"15","Joel Wilson","TE","9","3","1","0.3","0","0.1","44","445","10.1","6","49.4","47","446","9.5","6","","central-michigan","2022"
"16","Cade Conley","TE","9","0","0","","0","0.0","11","168","15.3","0","18.7","11","168","15.3","0","","central-michigan","2022"
"17","Marion Lukes","RB","8","51","323","6.3","3","40.4","5","81","16.2","1","10.1","56","404","7.2","4","","central-michigan","2022"
"18","Myles Bailey","RB","7","32","176","5.5","0","25.1","9","83","9.2","1","11.9","41","259","6.3","1","","central-michigan","2022"
"19","Noah Koenigsknecht","WR","7","0","0","","0","0.0","10","167","16.7","1","23.9","10","167","16.7","1","","central-michigan","2022"
"20","Jase Bauer","QB","6","53","312","5.9","4","52.0","0","0","","0","0.0","53","312","5.9","4","","central-michigan","2022"
"21","Langston Lewis","WR","6","0","0","","0","0.0","2","52","26.0","1","8.7","2","52","26.0","1","","central-michigan","2022"
"22","Chris Parker","WR","6","0","0","","0","0.0","4","33","8.3","0","5.5","4","33","8.3","0","","central-michigan","2022"
"23","Tyson Davis","WR","5","0","0","","0","0.0","3","54","18.0","1","10.8","3","54","18.0","1","","central-michigan","2022"
"24","Bert Emanuel Jr.","QB","4","67","496","7.4","7","124.0","0","0","","0","0.0","67","496","7.4","7","","central-michigan","2022"
"25","D.C. Temple","TE","3","0","0","","0","0.0","1","44","44.0","0","14.7","1","44","44.0","0","","central-michigan","2022"
"26","Dallas Dixon","WR","2","0","0","","0","0.0","6","96","16.0","0","48.0","6","96","16.0","0","","central-michigan","2022"
