"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Shadrick Byrd","RB","12","149","620","4.2","4","51.7","21","222","10.6","1","18.5","170","842","5.0","5","","charlotte","2022"
"2","Elijah Spencer","WR","12","0","0","","0","0.0","57","943","16.5","9","78.6","57","943","16.5","9","","charlotte","2022"
"3","Eugene Minter","WR","12","1","-4","-4.0","0","-0.3","10","114","11.4","0","9.5","11","110","10.0","0","","charlotte","2022"
"4","Grant Dubose","WR","12","0","0","","0","0.0","64","792","12.4","9","66.0","64","792","12.4","9","","charlotte","2022"
"5","Jake Clemons","TE","12","0","0","","0","0.0","5","25","5.0","1","2.1","5","25","5.0","1","","charlotte","2022"
"6","Taylor Thompson","TE","12","0","0","","0","0.0","14","263","18.8","0","21.9","14","263","18.8","0","","charlotte","2022"
"7","Kendric Blake","WR","11","0","0","","0","0.0","1","16","16.0","0","1.5","1","16","16.0","0","","charlotte","2022"
"8","Chris Reynolds","QB","10","46","-40","-0.9","1","-4.0","0","0","","0","0.0","46","-40","-0.9","1","","charlotte","2022"
"9","Quinton Patten","WR","10","0","0","","0","0.0","9","88","9.8","0","8.8","9","88","9.8","0","","charlotte","2022"
"10","Nolan Groulx","WR","10","1","-5","-5.0","0","-0.5","7","89","12.7","0","8.9","8","84","10.5","0","","charlotte","2022"
"11","Victor Tucker","WR","10","3","8","2.7","0","0.8","41","406","9.9","6","40.6","44","414","9.4","6","","charlotte","2022"
"12","Hashaun Wilson","RB","9","1","4","4.0","0","0.4","0","0","","0","0.0","1","4","4.0","0","","charlotte","2022"
"13","Calvin Camp","RB","8","20","193","9.7","4","24.1","0","0","","0","0.0","20","193","9.7","4","","charlotte","2022"
"14","Henry Rutledge","RB","8","18","91","5.1","0","11.4","12","187","15.6","1","23.4","30","278","9.3","1","","charlotte","2022"
"15","Chavon McEachern","RB","7","56","256","4.6","1","36.6","6","40","6.7","0","5.7","62","296","4.8","1","","charlotte","2022"
"16","Trey Blount","WR","6","0","0","","0","0.0","3","14","4.7","0","2.3","3","14","4.7","0","","charlotte","2022"
"17","Xavier Williams","QB","6","26","108","4.2","2","18.0","0","0","","0","0.0","26","108","4.2","2","","charlotte","2022"
"18","James Foster","QB","6","11","17","1.5","0","2.8","0","0","","0","0.0","11","17","1.5","0","","charlotte","2022"
"19","Jack Reynolds","WR","5","0","0","","0","0.0","3","17","5.7","0","3.4","3","17","5.7","0","","charlotte","2022"
"20","Sean Brown","WR","4","0","2","","0","0.5","1","9","9.0","0","2.3","1","11","11.0","0","","charlotte","2022"
"21","Johnny Martin","RB","4","31","144","4.6","1","36.0","3","27","9.0","0","6.8","34","171","5.0","1","","charlotte","2022"
"22","Micah Bell","RB","1","2","9","4.5","0","9.0","0","0","","0","0.0","2","9","4.5","0","","charlotte","2022"
"23","Trexler Ivey","QB","1","2","-1","-0.5","0","-1.0","0","0","","0","0.0","2","-1","-0.5","0","","charlotte","2022"
