"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Charles McClelland","RB","13","146","849","5.8","7","65.3","14","116","8.3","0","8.9","160","965","6.0","7","","cincinnati","2022"
"2","Chris Scott","WR","13","0","0","","0","0.0","4","32","8.0","0","2.5","4","32","8.0","0","","cincinnati","2022"
"3","Josh Whyle","TE","12","0","0","","0","0.0","32","326","10.2","3","27.2","32","326","10.2","3","","cincinnati","2022"
"4","Wyatt Fischer","WR","12","0","0","","0","0.0","2","31","15.5","1","2.6","2","31","15.5","1","","cincinnati","2022"
"5","Tre Tucker","WR","12","1","8","8.0","0","0.7","52","671","12.9","3","55.9","53","679","12.8","3","","cincinnati","2022"
"6","Payten Singletary","TE","12","0","0","","0","0.0","1","11","11.0","0","0.9","1","11","11.0","0","","cincinnati","2022"
"7","Nick Mardner","WR","12","1","3","3.0","0","0.3","19","218","11.5","3","18.2","20","221","11.1","3","","cincinnati","2022"
"8","Jadon Thompson","WR","12","0","0","","0","0.0","27","393","14.6","1","32.8","27","393","14.6","1","","cincinnati","2022"
"9","Ben Bryant","QB","11","47","-118","-2.5","0","-10.7","0","0","","0","0.0","47","-118","-2.5","0","","cincinnati","2022"
"10","Leonard Taylor","TE","11","1","10","10.0","0","0.9","18","170","9.4","2","15.5","19","180","9.5","2","","cincinnati","2022"
"11","Tyler Scott","WR","11","0","0","","0","0.0","54","899","16.6","9","81.7","54","899","16.6","9","","cincinnati","2022"
"12","Corey Kiner","RB","10","81","362","4.5","5","36.2","2","2","1.0","0","0.2","83","364","4.4","5","","cincinnati","2022"
"13","Evan Prater","QB","9","49","166","3.4","1","18.4","0","0","","0","0.0","49","166","3.4","1","","cincinnati","2022"
"14","Ryan Montgomery","RB","9","63","270","4.3","5","30.0","4","65","16.3","0","7.2","67","335","5.0","5","","cincinnati","2022"
"15","Will Pauling","WR","9","1","-8","-8.0","0","-0.9","12","122","10.2","0","13.6","13","114","8.8","0","","cincinnati","2022"
"16","Blue Smith","WR","9","0","0","","0","0.0","5","62","12.4","0","6.9","5","62","12.4","0","","cincinnati","2022"
"17","Ethan Wright","RB","8","8","43","5.4","0","5.4","0","0","","0","0.0","8","43","5.4","0","","cincinnati","2022"
"18","Myles Montgomery","RB","6","14","120","8.6","1","20.0","1","4","4.0","0","0.7","15","124","8.3","1","","cincinnati","2022"
"19","Chamon Metayer","TE","6","0","0","","0","0.0","1","32","32.0","0","5.3","1","32","32.0","0","","cincinnati","2022"
"20","Brady Lichtenberg","QB","2","1","5","5.0","0","2.5","0","0","","0","0.0","1","5","5.0","0","","cincinnati","2022"
