"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Antonio Williams","WR","14","5","8","1.6","0","0.6","56","604","10.8","4","43.1","61","612","10.0","4","","clemson","2022"
"2","Will Shipley","RB","14","210","1182","5.6","15","84.4","38","242","6.4","0","17.3","248","1424","5.7","15","","clemson","2022"
"3","Brannon Spector","WR","14","0","0","","0","0.0","15","195","13.0","2","13.9","15","195","13.0","2","","clemson","2022"
"4","Sage Ennis","TE","14","0","0","","0","0.0","2","17","8.5","0","1.2","2","17","8.5","0","","clemson","2022"
"5","Phil Mafah","RB","14","98","515","5.3","4","36.8","9","48","5.3","0","3.4","107","563","5.3","4","","clemson","2022"
"6","Luke Price","TE","14","0","0","","0","0.0","1","3","3.0","1","0.2","1","3","3.0","1","","clemson","2022"
"7","Davis Allen","TE","14","0","0","","0","0.0","39","443","11.4","5","31.6","39","443","11.4","5","","clemson","2022"
"8","Joseph Ngata","WR","14","0","0","","0","0.0","41","526","12.8","2","37.6","41","526","12.8","2","","clemson","2022"
"9","Jake Briningstool","TE","14","0","0","","0","0.0","25","285","11.4","4","20.4","25","285","11.4","4","","clemson","2022"
"10","Drew Swinney","WR","14","1","2","2.0","0","0.1","8","63","7.9","0","4.5","9","65","7.2","0","","clemson","2022"
"11","E.J. Williams","WR","13","0","0","","0","0.0","7","70","10.0","0","5.4","7","70","10.0","0","","clemson","2022"
"12","D.J. Uiagalelei","QB","13","142","545","3.8","7","41.9","1","6","6.0","0","0.5","143","551","3.9","7","","clemson","2022"
"13","Adam Randall","WR","12","0","0","","0","0.0","10","128","12.8","0","10.7","10","128","12.8","0","","clemson","2022"
"14","Cade Klubnik","QB","10","42","139","3.3","2","13.9","1","19","19.0","0","1.9","43","158","3.7","2","","clemson","2022"
"15","Beaux Collins","WR","10","0","0","","0","0.0","22","373","17.0","5","37.3","22","373","17.0","5","","clemson","2022"
"16","Will Taylor","WR","10","0","0","","0","0.0","5","16","3.2","1","1.6","5","16","3.2","1","","clemson","2022"
"17","Kobe Pace","RB","8","30","77","2.6","3","9.6","6","35","5.8","0","4.4","36","112","3.1","3","","clemson","2022"
"18","Domonique Thomas","RB","4","7","31","4.4","0","7.8","0","0","","0","0.0","7","31","4.4","0","","clemson","2022"
"19","Tye Herbstreit","WR","4","0","0","","0","0.0","1","4","4.0","0","1.0","1","4","4.0","0","","clemson","2022"
"20","Dacari Collins","WR","3","0","0","","0","0.0","1","8","8.0","0","2.7","1","8","8.0","0","","clemson","2022"
"21","Cole Turner","WR","3","0","0","","0","0.0","8","161","20.1","0","53.7","8","161","20.1","0","","clemson","2022"
"22","Hamp Greene","WR","2","0","0","","0","0.0","2","7","3.5","0","3.5","2","7","3.5","0","","clemson","2022"
"23","Keith Adams Jr.","RB","2","3","21","7.0","0","10.5","0","0","","0","0.0","3","21","7.0","0","","clemson","2022"
