"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Tyson Mobley","WR","13","2","1","0.5","0","0.1","40","490","12.3","5","37.7","42","491","11.7","5","","coastal-carolina","2022"
"2","Tyler Roberts","WR","13","0","0","","0","0.0","7","150","21.4","3","11.5","7","150","21.4","3","","coastal-carolina","2022"
"3","CJ Beasley","RB","13","140","719","5.1","5","55.3","19","193","10.2","1","14.8","159","912","5.7","6","","coastal-carolina","2022"
"4","Sam Pinckney","WR","13","0","0","","0","0.0","71","996","14.0","3","76.6","71","996","14.0","3","","coastal-carolina","2022"
"5","Jared Brown","WR","13","20","187","9.4","1","14.4","49","789","16.1","6","60.7","69","976","14.1","7","","coastal-carolina","2022"
"6","Bryce Carpenter","QB","12","39","94","2.4","1","7.8","0","0","","0","0.0","39","94","2.4","1","","coastal-carolina","2022"
"7","Patrick McSweeney","TE","12","0","0","","0","0.0","1","8","8.0","0","0.7","1","8","8.0","0","","coastal-carolina","2022"
"8","Kyre Duplessis","WR","12","1","-2","-2.0","0","-0.2","2","28","14.0","0","2.3","3","26","8.7","0","","coastal-carolina","2022"
"9","TJ Ivy Jr.","TE","11","0","0","","0","0.0","2","29","14.5","0","2.6","2","29","14.5","0","","coastal-carolina","2022"
"10","Grayson McCall","QB","11","91","195","2.1","6","17.7","0","0","","0","0.0","91","195","2.1","6","","coastal-carolina","2022"
"11","Jacob Jenkins","TE","11","0","0","","0","0.0","11","149","13.5","5","13.5","11","149","13.5","5","","coastal-carolina","2022"
"12","Reese White","RB","10","99","544","5.5","5","54.4","8","42","5.3","2","4.2","107","586","5.5","7","","coastal-carolina","2022"
"13","Xavier Gravette","TE","9","0","0","","0","0.0","20","190","9.5","2","21.1","20","190","9.5","2","","coastal-carolina","2022"
"14","Deon Fountain","WR","9","0","0","","0","0.0","1","32","32.0","0","3.6","1","32","32.0","0","","coastal-carolina","2022"
"15","Max Balthazar","RB","8","27","141","5.2","1","17.6","0","0","","0","0.0","27","141","5.2","1","","coastal-carolina","2022"
"16","Jarrett Guest","QB","7","36","60","1.7","1","8.6","0","0","","0","0.0","36","60","1.7","1","","coastal-carolina","2022"
"17","Aaron Bedgood","RB","5","8","45","5.6","1","9.0","0","0","","0","0.0","8","45","5.6","1","","coastal-carolina","2022"
"18","Nate Hope II","RB","4","10","43","4.3","1","10.8","0","0","","0","0.0","10","43","4.3","1","","coastal-carolina","2022"
"19","Elijah Hopkins","CB","4","4","19","4.8","0","4.8","0","0","","0","0.0","4","19","4.8","0","","coastal-carolina","2022"
"20","Braydon Bennett","RB","4","16","83","5.2","0","20.8","4","86","21.5","0","21.5","20","169","8.5","0","","coastal-carolina","2022"
"21","Logan Mauldin","TE","3","0","0","","0","0.0","1","9","9.0","0","3.0","1","9","9.0","0","","coastal-carolina","2022"
"22","Dami'on Thompson","WR","2","0","0","","0","0.0","1","9","9.0","0","4.5","1","9","9.0","0","","coastal-carolina","2022"
"23","Ty Lyles","RB","2","1","-4","-4.0","0","-2.0","0","0","","0","0.0","1","-4","-4.0","0","","coastal-carolina","2022"
"24","Bryce Archie","QB","2","3","18","6.0","0","9.0","0","0","","0","0.0","3","18","6.0","0","","coastal-carolina","2022"
"25","Logan Adkins","RB","1","1","2","2.0","0","2.0","0","0","","0","0.0","1","2","2.0","0","","coastal-carolina","2022"
"26","DeAndre Coleman","WR","1","1","5","5.0","0","5.0","0","0","","0","0.0","1","5","5.0","0","","coastal-carolina","2022"
