"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Brayden Fowler-Nicolosi","QB","12","33","-27","-0.8","1","-2.3","0","0","","0","0.0","33","-27","-0.8","1","","colorado-state","2023"
"2","Vince Brown II","TE","12","0","0","","0","0.0","4","32","8.0","0","2.7","4","32","8.0","0","","colorado-state","2023"
"3","Tory Horton","WR","12","0","0","","0","0.0","96","1136","11.8","8","94.7","96","1136","11.8","8","","colorado-state","2023"
"4","Louis Brown","WR","12","3","5","1.7","0","0.4","47","481","10.2","5","40.1","50","486","9.7","5","","colorado-state","2023"
"5","Justus Ross-Simmons","WR","12","0","0","","0","0.0","45","724","16.1","3","60.3","45","724","16.1","3","","colorado-state","2023"
"6","Dane Olson","WR","12","0","0","","0","0.0","1","16","16.0","0","1.3","1","16","16.0","0","","colorado-state","2023"
"7","Dallin Holker","TE","12","1","1","1.0","1","0.1","64","767","12.0","6","63.9","65","768","11.8","7","","colorado-state","2023"
"8","Dawson Menegatti","WR","11","0","0","","0","0.0","6","54","9.0","0","4.9","6","54","9.0","0","","colorado-state","2023"
"9","Dylan Goffney","WR","11","0","0","","0","0.0","23","298","13.0","2","27.1","23","298","13.0","2","","colorado-state","2023"
"10","Peter Montini","TE","11","2","2","1.0","0","0.2","3","21","7.0","0","1.9","5","23","4.6","0","","colorado-state","2023"
"11","Caleb Goodie","WR","9","0","0","","0","0.0","1","-1","-1.0","0","-0.1","1","-1","-1.0","0","","colorado-state","2023"
"12","Vann Schield","RB","9","90","389","4.3","3","43.2","11","79","7.2","0","8.8","101","468","4.6","3","","colorado-state","2023"
"13","Avery Morrow","RB","9","81","262","3.2","2","29.1","3","8","2.7","0","0.9","84","270","3.2","2","","colorado-state","2023"
"14","Jamari Person","WR","5","0","0","","0","0.0","1","8","8.0","0","1.6","1","8","8.0","0","","colorado-state","2023"
"15","Kobe Johnson","RB","4","44","128","2.9","1","32.0","4","32","8.0","0","8.0","48","160","3.3","1","","colorado-state","2023"
"16","Justin Marshall","RB","3","57","311","5.5","2","103.7","2","23","11.5","0","7.7","59","334","5.7","2","","colorado-state","2023"
"17","Damian Henderson","RB","2","12","50","4.2","0","25.0","0","0","","0","0.0","12","50","4.2","0","","colorado-state","2023"
"18","KJ Edwards","RB","1","2","18","9.0","0","18.0","0","0","","0","0.0","2","18","9.0","0","","colorado-state","2023"
"19","Clay Millen","QB","1","2","-8","-4.0","0","-8.0","0","0","","0","0.0","2","-8","-4.0","0","","colorado-state","2023"
