"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Michael Harrison","TE","12","0","0","","0","0.0","2","12","6.0","0","1.0","2","12","6.0","0","","colorado","2022"
"2","Maurice Bell","WR","12","3","17","5.7","0","1.4","13","42","3.2","0","3.5","16","59","3.7","0","","colorado","2022"
"3","Jaylon Jackson","WR","12","0","0","","0","0.0","3","46","15.3","0","3.8","3","46","15.3","0","","colorado","2022"
"4","Casey Roddick","OL","12","1","0","0.0","0","0.0","0","0","","0","0.0","1","0","0.0","0","","colorado","2022"
"5","Charlie Offerdahl","RB","12","37","150","4.1","0","12.5","2","47","23.5","0","3.9","39","197","5.1","0","","colorado","2022"
"6","Erik Olsen","TE","12","0","0","","0","0.0","5","21","4.2","0","1.8","5","21","4.2","0","","colorado","2022"
"7","Daniel Arias","WR","12","0","0","","0","0.0","19","309","16.3","1","25.8","19","309","16.3","1","","colorado","2022"
"8","Ty Robinson","WR","11","0","0","","0","0.0","3","31","10.3","0","2.8","3","31","10.3","0","","colorado","2022"
"9","R.J. Sneed","WR","11","1","6","6.0","0","0.5","20","168","8.4","0","15.3","21","174","8.3","0","","colorado","2022"
"10","Montana Lemonious-Craig","WR","11","0","0","","0","0.0","23","359","15.6","3","32.6","23","359","15.6","3","","colorado","2022"
"11","Jack Hestera","WR","11","2","8","4.0","0","0.7","14","157","11.2","0","14.3","16","165","10.3","0","","colorado","2022"
"12","Brady Russell","TE","11","2","0","0.0","0","0.0","20","153","7.7","0","13.9","22","153","7.0","0","","colorado","2022"
"13","Deion Smith","RB","10","83","393","4.7","2","39.3","11","84","7.6","0","8.4","94","477","5.1","2","","colorado","2022"
"14","Frank Fillip","OL","10","0","0","","0","0.0","1","1","1.0","1","0.1","1","1","1.0","1","","colorado","2022"
"15","Jordyn Tyson","WR","9","3","-4","-1.3","0","-0.4","22","470","21.4","4","52.2","25","466","18.6","4","","colorado","2022"
"16","JT Shrout","QB","9","30","-15","-0.5","1","-1.7","0","0","","0","0.0","30","-15","-0.5","1","","colorado","2022"
"17","Jayle Stacks","RB","9","35","114","3.3","1","12.7","1","2","2.0","0","0.2","36","116","3.2","1","","colorado","2022"
"18","Anthony Hankerson","RB","8","68","274","4.0","3","34.3","5","24","4.8","0","3.0","73","298","4.1","3","","colorado","2022"
"19","Caleb Fauria","TE","7","0","0","","0","0.0","3","23","7.7","0","3.3","3","23","7.7","0","","colorado","2022"
"20","Austin Smith","TE","7","0","0","","0","0.0","1","4","4.0","1","0.6","1","4","4.0","1","","colorado","2022"
"21","Alex Fontenot","RB","6","65","315","4.8","2","52.5","6","56","9.3","0","9.3","71","371","5.2","2","","colorado","2022"
"22","Chase Penry","WR","4","0","0","","0","0.0","2","25","12.5","0","6.3","2","25","12.5","0","","colorado","2022"
"23","Owen McCown","QB","4","27","38","1.4","2","9.5","0","0","","0","0.0","27","38","1.4","2","","colorado","2022"
"24","Dante Capolungo","WR","3","1","-2","-2.0","0","-0.7","1","18","18.0","0","6.0","2","16","8.0","0","","colorado","2022"
"25","Chase Sowell","WR","3","0","0","","0","0.0","2","23","11.5","0","7.7","2","23","11.5","0","","colorado","2022"
"26","Drew Carter","QB","3","7","14","2.0","0","4.7","0","0","","0","0.0","7","14","2.0","0","","colorado","2022"
"27","Maddox Kopp","QB","2","4","9","2.3","0","4.5","0","0","","0","0.0","4","9","2.3","0","","colorado","2022"
"28","Brendon Lewis","QB","2","12","43","3.6","0","21.5","0","0","","0","0.0","12","43","3.6","0","","colorado","2022"
